compn,pKa,correct name,reference,smiles,smarts,inchi,inchiKey
110phenanthroline_cation->neut,4.9,"1,10 phenanthroline",doi.org/10.3390/molecules24213951,['[H]c1nc2c(c([H])c1[H])c([H])c([H])c1c([H])c([H])c([H])nc12'],['[#7]1:[#6]2:[#6]3:[#7]:[#6](:[#6](:[#6](:[#6]:3:[#6](:[#6](:[#6]:2:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[H])-[H])-[H]'],['InChI=1S/C12H8N2/c1-3-9-5-6-10-4-2-8-14-12(10)11(9)13-7-1/h1-8H'],['DGEZNRSVGBDHLK-UHFFFAOYSA-N']
1133tetramethylguanidine_cation->neut,13.6,"1,1,3,3-tetramethylguanidine",10.1002/jcc.23068,['[H]N=C(N(C([H])([H])[H])C([H])([H])[H])N(C([H])([H])[H])C([H])([H])[H]'],['[#6](-[#7](-[#6@@](-[H])(-[H])-[H])-[#6@@](-[H])(-[H])-[H])(=[#7]-[H])-[#7](-[#6@@](-[H])(-[H])-[H])-[#6@@](-[H])(-[H])-[H]'],"['InChI=1S/C5H13N3/c1-7(2)5(6)8(3)4/h6H,1-4H3']",['KYVBNYUBXIEUFW-UHFFFAOYSA-N']
11dinitroethane_neut->an,5.21,"1,1-dinitroethane",Lange's handbook of chemistry,"['[H]C([H])([H])C([H])([N+](=O)[O-])[N+](=O)[O-]', '[H]O/[N+]([O-])=C(\\[N+](=O)[O-])C([H])([H])[H]']","['[H]-[#6@@](-[#7+](=[#8])-[#8-])(-[#7+](=[#8])-[#8-])-[#6@@](-[H])(-[H])-[H]', '[#6](\\[#7+](=[#8])-[#8-])(=[#7+](/[#8-])-[#8]-[H])-[#6@@](-[H])(-[H])-[H]']","['InChI=1S/C2H4N2O4/c1-2(3(5)6)4(7)8/h2H,1H3', 'InChI=1S/C2H4N2O4/c1-2(3(5)6)4(7)8/h1H3,(H,5,6)']","['LKKHEZBRRGJBGH-UHFFFAOYSA-N', 'CDHZRRRSMKMOJI-UHFFFAOYSA-N']"
123Nmethyltriazole_cation->neut,1.25,1-methyltriazole,10.1002/jcc.23068,['[H]c1nnn(C([H])([H])[H])c1[H]'],['[#6]1(:[#6](-[H]):[#7]:[#7]:[#7]:1-[#6@@](-[H])(-[H])-[H])-[H]'],"['InChI=1S/C3H5N3/c1-6-3-2-4-5-6/h2-3H,1H3']",['JWAWEQBUZOGIBZ-UHFFFAOYSA-N']
123triazole_cation->neut,1.17,"1,2,3 triazole",10.1002/jcc.23068,"['[H]c1nnn([H])c1[H]', '[H]c1nn([H])nc1[H]']","['[#1]-[#7]1:[#6](:[#6](:[#7]:[#7]:1)-[H])-[H]', '[#1]-[#7]1:[#7]:[#6](:[#6](:[#7]:1)-[H])-[H]']","['InChI=1S/C2H3N3/c1-2-4-5-3-1/h1-2H,(H,3,4,5)']",['QWENRTYMTSOGBR-UHFFFAOYSA-N']
123triazole_neut->an,9.26,"1,2,3 triazole",Lange's handbook of chemistry,"['[H]c1nnn([H])c1[H]', '[H]c1nn([H])nc1[H]']","['[#1]-[#7]1:[#6](:[#6](:[#7]:[#7]:1)-[H])-[H]', '[#1]-[#7]1:[#7]:[#6](:[#6](:[#7]:1)-[H])-[H]']","['InChI=1S/C2H3N3/c1-2-4-5-3-1/h1-2H,(H,3,4,5)']",['QWENRTYMTSOGBR-UHFFFAOYSA-N']
124Nmethyltriazole_cation->neut,3.2,"1-methyl-1,2,4-triazole",10.1002/jcc.23068,['[H]c1nc([H])n(C([H])([H])[H])n1'],['[#7]1:[#6](:[#7]:[#6](:[#7]:1-[#6@@](-[H])(-[H])-[H])-[H])-[H]'],"['InChI=1S/C3H5N3/c1-6-3-4-2-5-6/h2-3H,1H3']",['MWZDIEIXRBWPLG-UHFFFAOYSA-N']
124triazole_cation->neut,2.39,"1,2,4triazole",Lange's handbook of chemistry,"['[H]c1nc([H])n([H])n1', '[H]c1nnc([H])n1[H]']","['[#7]1:[#6](:[#7]:[#6](:[#7]:1-[H])-[H])-[H]', '[#7]1:[#6](:[#7](:[#6](:[#7]:1)-[H])-[H])-[H]']","['InChI=1S/C2H3N3/c1-3-2-5-4-1/h1-2H,(H,3,4,5)']",['NSPMIYGKQJPBQR-UHFFFAOYSA-N']
124triazole_neut->an,10.26,"1,2,4triazole",https://www.scripps.edu/baran/heterocycles/Essentials1-2009.pdf,"['[H]c1nc([H])n([H])n1', '[H]c1nnc([H])n1[H]']","['[#7]1:[#6](:[#7]:[#6](:[#7]:1-[H])-[H])-[H]', '[#7]1:[#6](:[#7](:[#6](:[#7]:1)-[H])-[H])-[H]']","['InChI=1S/C2H3N3/c1-3-2-5-4-1/h1-2H,(H,3,4,5)']",['NSPMIYGKQJPBQR-UHFFFAOYSA-N']
125trimethylpyrrole_cation->neut,-0.05,"1,2,5-trimethylpyrrole",doi.org/10.1021/ja00901a020,['[H]c1c([H])c(C([H])([H])[H])n(C([H])([H])[H])c1C([H])([H])[H]'],['[#6]1(:[#6](:[#6](:[#6](:[#7]:1-[#6@@](-[H])(-[H])-[H])-[#6@@](-[H])(-[H])-[H])-[H])-[H])-[#6@@](-[H])(-[H])-[H]'],"['InChI=1S/C7H11N/c1-6-4-5-7(2)8(6)3/h4-5H,1-3H3']",['YRABRACUKBOTKB-UHFFFAOYSA-N']
