,compn,exp.pKa,pred.pKa,M.U.E
0,"1,10 phenanthroline (+1 -> +0)",4.9,4.942187136990515,0.04218713699051424
1,"1,1,3,3-tetramethylguanidine (+1 -> +0)",13.6,13.555116664582787,0.04488333541721268
2,"1,1-dinitroethane (+0 -> -1)",5.21,4.1905429008826935,1.0194570991173064
3,1-methyltriazole (+1 -> +0),1.25,1.8388239864454654,0.5888239864454654
4,"1,2,3 triazole (+1 -> +0)",1.17,1.4152957399487107,0.2452957399487108
5,"1,2,3 triazole (+0 -> -1)",9.26,9.333403097065474,0.07340309706547465
6,"1-methyl-1,2,4-triazole (+1 -> +0)",3.2,2.692155116507471,0.5078448834925293
7,"1,2,4triazole (+1 -> +0)",2.39,2.4190967423771097,0.029096742377109575
8,"1,2,4triazole (+0 -> -1)",10.26,9.905146773220519,0.35485322677948083
9,"1,1-cyclopentanediacetic acid (+0 -> -1)",3.8,3.534231483931457,0.265768516068543
10,"1,1-cyclopentanediacetic acid (-1 -> -2)",6.77,7.328392943837738,0.5583929438377382
11,1-methyl-2(1h)-pyrazinone (+1 -> +0),-0.04,0.15218014028521498,0.192180140285215
12,"1,2-dimethylindole (+1 -> +0)",0.33,0.9172590404983385,0.5872590404983384
13,"1,2-dimethylurazole (+0 -> -1)",7.5,7.716276791788314,0.21627679178831372
14,"1,2-ethanediamine (+2 -> +1)",6.85,7.0046750664225375,0.1546750664225378
15,"1,2-ethanediamine (+1 -> +0)",9.92,9.988082777745277,0.0680827777452766
16,"1,2 phenylenediamine (+2 -> +1)",0.8,0.6566372283713413,0.14336277162865874
17,"1,2 phenylenediamine (+1 -> +0)",4.47,5.232594045210493,0.7625940452104931
18,"1,3 cyclohexanedione (+0 -> -1)",5.26,4.886517527079638,0.37348247292036163
19,"1,3,5-benzenetricarboxylic acid (+0 -> -1)",3.12,2.541681240777983,0.5783187592220171
20,"1,3,5-benzenetricarboxylic acid (-1 -> -2)",3.89,4.21699962608664,0.3269996260866397
21,"1,3,5-benzenetricarboxylic acid (-2 -> -3)",4.7,4.66743978578319,0.03256021421680977
22,"1,3 phenylenediamine (+2 -> +1)",2.54,2.4601816392857776,0.07981836071422244
23,"1,3 phenylenediamine (+1 -> +0)",4.88,4.821711492842521,0.0582885071574788
24,"1,3-propanediamine (+2 -> +1)",8.49,8.103318096164553,0.38668190383544676
25,"1,3-propanediamine (+1 -> +0)",10.47,10.213590373286909,0.25640962671309175
26,"1,4-dimethylurazole (+0 -> -1)",5.3,6.133007273741476,0.833007273741476
27,"1,4-phenylenediamine (+2 -> +1)",2.97,3.1041902202484914,0.13419022024849125
28,"1,4-phenylenediamine (+1 -> +0)",5.94,6.345476362711831,0.4054763627118305
29,"1,7-phenanthroline (+1 -> +0)",4.3,4.449656557651955,0.14965655765195507
30,1-amino-2-naphthalenesulfonic acid (+0 -> -1),1.71,2.145922285403847,0.4359222854038469
31,4-amino-2-naphthalenesulfonic acid (+0 -> -1),3.2,3.1936653666687027,0.006334633331297468
32,1-amino-4-naphthalenesulfonic acid (+0 -> -1),2.81,2.762579085747644,0.04742091425235584
33,1-amino-5-naphthalenesulfonic acid (+0 -> -1),3.69,3.560609446188524,0.12939055381147613
34,1-amino-6-naphthalenesulfonic acid (+0 -> -1),3.8,3.762527021229067,0.03747297877093292
35,1-amino-7-naphthalenesulfonic acid (+0 -> -1),3.66,3.599126488974229,0.06087351102577099
36,1-amino-8-naphthalenesulfonic acid (+0 -> -1),5.03,4.772646413034113,0.2573535869658876
37,1-aminoacridine (+1 -> +0),6.02,6.422254938670281,0.40225493867028117
38,aminocyclopropane (+1 -> +0),9.1,9.404608858186432,0.30460885818643213
39,1-cyanomethylpiperidine (+1 -> +0),4.55,4.418837744267794,0.13116225573220586
40,1-acridinol (+1 -> +0),5.72,5.400594108924032,0.3194058910759674
41,1-acridinol (+0 -> -1),8.51,8.57221311717247,0.06221311717247069
42,n-methylpyrroline (+1 -> +0),9.88,8.375817962123138,1.5041820378768627
43,1 methylhistidine (+2 -> +1),1.69,1.9492234623914548,0.2592234623914549
44,1 methylhistidine (+1 -> +0),6.48,5.902965530599096,0.5770344694009042
45,1 methylhistidine (+0 -> -1),8.85,9.204173334748713,0.3541733347487135
46,1-methylimidazole (+1 -> +0),7.31,7.142334205629108,0.16766579437089124
47,1-methylxanthine (-1 -> -2),12.0,11.62330903483826,0.3766909651617407
48,1-naphthoic acid (+0 -> -1),3.7,4.096155032836957,0.3961550328369565
49,1-naphtol (+0 -> -1),9.34,9.455831745487675,0.11583174548767516
50,1-naphtylamine (+1 -> +0),3.92,3.8623741437093875,0.057625856290612454
51,1-phenylurazole (+0 -> -1),4.8,4.857687272107703,0.05768727210770308
52,2-methylpropanoic acid (+0 -> -1),4.84,4.755702736742523,0.08429726325747655
53,2'2-bipyridine (+2 -> +1),0.05,0.08986255784535668,0.03986255784535668
54,2'2-bipyridine (+1 -> +0),4.4,4.409557384537911,0.009557384537910885
55,"2,2-dibromopropanoic acid (+0 -> -1)",1.48,2.1428350820742983,0.6628350820742983
56,"2,2-dichloropropanoic acid (+0 -> -1)",2.06,1.3845297837289046,0.6754702162710955
57,"2,3,4,5-tetramethylpyrrole (+1 -> +0)",3.78,3.4943669486318036,0.28563305136819617
58,"2,3,4-trimethylpyrrole (+1 -> +0)",3.92,3.8529825694129194,0.06701743058708054
59,"(+)-2,3-butanediamine (+2 -> +1)",6.91,6.731474272413281,0.17852572758671936
60,"(+)-2,3-butanediamine (+1 -> +0)",10.0,10.255226456362326,0.2552264563623261
61,"2,3 dichlorophenol (+0 -> -1)",7.44,8.04701806729615,0.60701806729615
62,"2,3 dimethylaniline (+1 -> +0)",4.7,4.328156803908181,0.3718431960918194
63,"2,3-dimethylbenzoic acid (+0 -> -1)",3.77,4.52379366408577,0.7537936640857699
64,"2,3-dimethylphenol (+0 -> -1)",10.5,10.618636281037592,0.11863628103759183
65,"2,3-dimethylquinoline (+1 -> +0)",4.94,5.383239678745869,0.44323967874586856
66,"2,3-dinitrobenzoic acid (+0 -> -1)",1.85,1.3544741162907936,0.49552588370920647
67,"2,3-dimethylsuccinic acid (+0 -> -1)",3.93,3.7055877745919688,0.2244122254080314
68,"2,3-dimethylsuccinic acid (-1 -> -2)",6.0,5.885629610665009,0.114370389334991
69,"2,3,4-trimethylphenol (+0 -> -1)",10.59,10.699225544354345,0.10922554435434506
70,"2,4,5-trifluorophenol (+0 -> -1)",7.37,7.707403950020079,0.3374039500200787
71,"2,4,5-trimethylimidazole (+1 -> +0)",8.92,8.652258145647117,0.26774185435288267
72,"2,4,5-trimethylthiazole (+1 -> +0)",4.55,4.667393483795272,0.11739348379527215
73,"2,4,6-trimethylbenzoic acid (+0 -> -1)",3.45,3.8181124073704,0.36811240737039963
74,"2,4,6-trimethylphenol (+0 -> -1)",10.88,11.094629022062076,0.21462902206207524
75,"2,4,6 trimethylpyridine (+1 -> +0)",7.43,7.5713448857335734,0.14134488573357373
76,"2,4,6-trinitrobenzoic acid (+0 -> -1)",0.65,0.7098903090036401,0.05989030900364012
77,"2,4,6-tribromobenzoic acid (+0 -> -1)",1.41,1.0764904417537515,0.3335095582462484
78,"2,4,6-trimethylpyridine1-oxide (+1 -> +0)",1.99,1.4984942060081705,0.4915057939918295
79,"2,4-dichloro-6-nitroaniline (+1 -> +0)",-3.0,-3.1456148457563686,0.14561484575636863
80,24-dichlorophenol (+0 -> -1),7.85,7.924203239733486,0.07420323973348619
81,"2,4-dimethyl-8-hydroxyquinoline (+1 -> +0)",6.2,6.034666655214053,0.16533334478594686
82,"2,4-dimethyl-8-hydroxyquinoline (+0 -> -1)",10.6,10.230550524734856,0.36944947526514405
83,"2,4-dimethylaniline (+1 -> +0)",4.89,5.061307876781555,0.17130787678155546
84,"2,4-dimethylbenzoic acid (+0 -> -1)",4.22,4.3784300086467445,0.15843000864674472
85,"2,4-dimethylimidazole (+1 -> +0)",8.38,8.266877829514737,0.11312217048526385
86,"2,4-dimethylphenol (+0 -> -1)",10.58,10.6131818627854,0.033181862785399474
87,"2,4-dimethylpyridine (+1 -> +0)",6.74,6.519512603090768,0.22048739690923203
88,"2,4-dimethyl-pyridine1-oxide (+1 -> +0)",1.63,1.6077204974266692,0.022279502573330667
89,"2,4 dimethylthiazole (+1 -> +0)",3.76,3.5828297780689544,0.17717022193104537
90,"2,4-dinitrobenzoic acid (+0 -> -1)",1.43,1.8810511218516517,0.45105112185165175
91,"2,4-dinitrophenol (+0 -> -1)",4.08,4.831090121990389,0.7510901219903889
92,"2,5-dichloro-4-nitroaniline (+1 -> +0)",-1.74,-1.6528849897065663,0.08711501029343371
93,"2,5-dimethylaniline (+1 -> +0)",4.53,4.5699900495391095,0.03999004953910923
94,"2,5-dimethylbenzoic acid (+0 -> -1)",3.99,4.299210965985491,0.3092109659854909
95,"2,5-dimethylphenol (+0 -> -1)",10.22,10.223673912073178,0.0036739120731770214
96,"2,5-dimethylpiperazine (+2 -> +1)",5.2,5.869852989870099,0.6698529898700984
97,"2,5-dimethylpiperazine (+1 -> +0)",9.66,9.878134326115314,0.21813432611531347
98,"2,5-dimethylpyrazine (+1 -> +0)",1.9,1.7880764169614896,0.11192358303851035
99,"2,5-dimethylpyridine (+1 -> +0)",6.43,6.44225911074626,0.012259110746260404
100,"2,5-dimethylpyridine1-oxide (+1 -> +0)",1.21,1.4494800605273435,0.2394800605273435
101,"2,5-dimethylthiazole (+1 -> +0)",3.91,3.930183692134479,0.020183692134478903
102,"2,5-dinitrobenzoic acid (+0 -> -1)",1.62,1.7087323019697154,0.08873230196971527
103,"2,5-dinitrophenol (+0 -> -1)",5.22,5.287111925081368,0.06711192508136854
104,"2,5-dihydroxybenzoquinone (+0 -> -1)",2.71,2.676629415132875,0.033370584867125075
105,"2,5-dihydroxybenzoquinone (-1 -> -2)",5.18,4.964289090571721,0.21571090942827897
106,"2,5-dihydroxy-3,6-dinitro-1,4-benzoquinone (-1 -> -2)",-0.5,0.5158994979667826,1.0158994979667826
107,"2,6-dichloro-4nitroaniline (+1 -> +0)",-3.31,-3.1276870929169474,0.1823129070830527
108,"2,6 dichlorophenol (+0 -> -1)",6.78,6.332027799932454,0.44797220006754657
109,"2,6-dihydroxybenzoic acid (+0 -> -1)",1.3,0.9644576012492863,0.3355423987507138
110,"2,6-dimethylquinoline (+1 -> +0)",5.46,5.402855938788264,0.05714406121173621
111,"2,6-dimethyl4-nitrophenol (+0 -> -1)",7.19,6.69077814016809,0.49922185983191003
112,"2,6 dimethylaniline (+1 -> +0)",3.95,4.212468881060857,0.2624688810608564
113,"2,6-dimethylbenzoic acid (+0 -> -1)",3.36,3.284880347650194,0.07511965234980567
114,"2,6 dimethylphenol (+0 -> -1)",10.59,10.496278624838919,0.09372137516108126
115,"cis-2,6-dimethylpiperidine (+1 -> +0)",11.07,10.806038378693845,0.2639616213061551
116,"2,6-dimethylpyrazine (+1 -> +0)",2.2,1.9636441516100236,0.23635584838997659
117,"2,6-dimethylpyridine (+1 -> +0)",6.71,6.216900130163215,0.4930998698367848
118,"2,6-dimethylpyridine oxide (+1 -> +0)",1.37,1.2890171382371935,0.08098286176280656
119,"2,6-dimethylpyrimidine (+1 -> +0)",2.7,3.2659976823977033,0.5659976823977031
120,"2,6-dinitrobenzoic acid (+0 -> -1)",1.14,0.9586174277571082,0.18138257224289167
121,"2,6-dinitrophenol (+0 -> -1)",3.71,3.467143260534284,0.24285673946571595
122,2-acetamidobenzoic acid (+0 -> -1),3.63,3.0627551405064777,0.5672448594935222
123,n-[bis(dimethylamino)methylidene]acetamide (+1 -> +0),7.5,7.854676192571111,0.3546761925711106
124,2-acetylbenzoic acid (+0 -> -1),4.13,2.8933057378593423,1.2366942621406576
125,(S)-2-acetamidobutanoic acid (+0 -> -1),3.72,3.685196800048658,0.03480319995134229
126,2-acetylphenol (+0 -> -1),9.19,9.575582031129244,0.3855820311292444
127,2-acetylpyridine (+1 -> +0),2.64,2.482668298688984,0.15733170131101604
128,2-(S)-amino-butanoic acid (+1 -> +0),2.29,2.458505400429183,0.16850540042918283
129,2-(S)-amino-butanoic acid (+0 -> -1),9.83,9.589467026765348,0.24053297323465195
130,2-amino-1-naphtalenesulfonic acid (+0 -> -1),2.35,2.8987655695696555,0.5487655695696554
131,2-amino-2-cyanopropane (+1 -> +0),5.3,5.264417140658074,0.0355828593419254
132,2-amino-3-methylpyridine (+1 -> +0),7.14,6.851150516308091,0.28884948369190866
133,2-amino-4-methylpyridine (+1 -> +0),7.48,7.530895838437068,0.05089583843706791
134,3-amino-1-naphthalenesulfonic acid (+0 -> -1),3.79,3.401072799528569,0.38892720047143126
135,"2-amino-5,6-dihydro-1h-pyrimidin-4-one (+1 -> +0)",7.05,7.027519552481465,0.02248044751853495
136,2-amino-5methylpyridine (+1 -> +0),7.22,6.990170992145988,0.22982900785401217
137,2-amino-6methylpyridine (+1 -> +0),7.41,7.120786633409097,0.2892133665909036
138,2-amino-6-naphthalenesulfonic acid (+0 -> -1),3.79,3.7038642437466764,0.08613575625332359
139,2-amino-8-naphthalenesulfonic acid (+0 -> -1),3.89,3.7532051738265126,0.13679482617348748
140,2-aminoacridine (+1 -> +0),5.9,6.030570866889955,0.130570866889955
141,2-aminobenzoic acid (+1 -> +0),2.09,2.118659707866497,0.028659707866497186
142,2-aminobenzoic acid (+0 -> -1),4.79,4.642950682142297,0.1470493178577028
143,2-aminobenzoic acid methyl ester (+1 -> +0),2.36,2.3395399711054417,0.020460028894558224
144,2-aminobenzenesulfonic acid (+0 -> -1),2.46,2.845657779390095,0.3856577793900948
145,2-aminobenzothiazole (+1 -> +0),4.48,4.008589505189864,0.4714104948101365
146,2-aminobiphenyl (+1 -> +0),3.78,3.6602611957180065,0.11973880428199335
147,2-aminoethylphosphonic acid (-1 -> -2),10.8,9.242089567793968,1.5579104322060324
148,2-aminoethylphosphonic acid (+1 -> +0),2.45,1.5413631934625043,0.9086368065374959
149,2-aminoethylphosphonic acid (+0 -> -1),7.0,8.738382682373771,1.7383826823737714
150,2-aminoimidazole (+1 -> +0),8.46,8.365786888455354,0.09421311154464718
151,2-aminopyrazine (+1 -> +0),3.07,2.9460936659139945,0.12390633408600538
152,2-aminopyridine (+1 -> +0),6.71,6.656623937993643,0.053376062006356584
153,2-aminopyrimidine (+1 -> +0),3.55,3.8072768348458537,0.25727683484585384
154,2-aminopropanol (+1 -> +0),9.47,9.513871902564837,0.04387190256483642
155,2-aminoquinoline (+1 -> +0),7.34,7.341362914796712,0.0013629147967124666
156,2-aminothiazole (+1 -> +0),5.36,5.3507443675622675,0.009255632437732864
157,2-aminothiophenol (+0 -> -1),5.9,5.676739425598231,0.2232605744017695
158,2-bromo-6-nitrobenzoic acid (+0 -> -1),1.37,2.116030673183281,0.7460306731832809
159,2-bromoaniline (+1 -> +0),2.53,2.5575343778032122,0.02753437780321244
160,2-bromobenzoic acid (+0 -> -1),2.85,2.4811124339915054,0.3688875660084947
161,2-bromophenol (+0 -> -1),8.45,8.835541690992823,0.38554169099282376
162,2-bromo-2-phenylacetic acid (+0 -> -1),2.21,3.0811024575134276,0.8711024575134276
163,2-bromophenylphosphonic acid (-1 -> -2),7.37,7.591995023977173,0.22199502397717286
164,2-bromophenylphosphonic acid (+0 -> -1),1.53,1.960018102164458,0.430018102164458
165,2-bromopropanoic acid (+0 -> -1),2.97,2.9534388452373657,0.016561154762634533
166,2-bromopyridine (+1 -> +0),0.84,0.5593710186104524,0.2806289813895476
167,2-bromoquinoline (+1 -> +0),1.5,0.3347580903759386,1.1652419096240614
168,carbamoyl pyridine-2-carboxylate (+1 -> +0),2.1,1.5026053809806035,0.5973946190193966
169,2-chloro-2-methylpropanoic acid (+0 -> -1),2.98,3.231188455996029,0.2511884559960289
170,2-chloro-3-nitrobenzoic acid (+0 -> -1),2.02,2.660322354153762,0.6403223541537622
