,compn,exp.pKa,pred.pKa,M.U.E
0,110phenanthroline_cation->neut (+1 -> +0),4.9,5.060985105853004,0.16098510585300385
1,1133tetramethylguanidine_cation->neut (+1 -> +0),13.6,13.424514631646883,0.175485368353117
2,11dinitroethane_neut->an (+0 -> -1),5.21,4.064342362563164,1.1456576374368357
3,123Nmethyltriazole_cation->neut (+1 -> +0),1.25,1.8041804235203065,0.5541804235203065
4,123triazole_cation->neut (+1 -> +0),1.17,1.4039858351914987,0.23398583519149874
5,123triazole_neut->an (+0 -> -1),9.26,9.187752489748645,0.0722475102513549
6,124Nmethyltriazole_cation->neut (+1 -> +0),3.2,2.858906721574029,0.34109327842597104
7,124triazole_cation->neut (+1 -> +0),2.39,2.5693910779933766,0.1793910779933765
8,124triazole_neut->an (+0 -> -1),10.26,9.797171229110859,0.462828770889141
9,11cyclopentanediacetic_neut->an (+0 -> -1),3.8,3.3374246233735976,0.46257537662640225
10,11cyclopentanediacetic_an->2an (-1 -> -2),6.77,7.0100332907510445,0.24003329075104496
11,12dihydro1methyl2oxopyrazine_cation->neut (+1 -> +0),-0.04,0.14689498311730098,0.186894983117301
12,12dimethylindole_cation->neut (+1 -> +0),0.33,0.8283227503614929,0.4983227503614929
13,12dimethylurazole_neut->an (+0 -> -1),7.5,7.599366039559421,0.09936603955942136
14,12ethanediamine_2cation->cation (+2 -> +1),6.85,6.92729526376174,0.07729526376174078
15,12ethanediamine_cation->neut (+1 -> +0),9.92,9.992725527152443,0.07272552715244274
16,12phenylenediamine_2cation->cation (+2 -> +1),0.8,0.619762547902809,0.180237452097191
17,12phenylenediamine_cation->neut (+1 -> +0),4.47,5.474150949774883,1.0041509497748828
18,13cyclohexanedione_neut->an (+0 -> -1),5.26,4.758585594394132,0.5014144056058676
19,135benzenetricarboxylic_neut->an (+0 -> -1),3.12,2.4503540168071387,0.6696459831928614
20,135benzenetricarboxylic_an->2an (-1 -> -2),3.89,4.27359360953267,0.3835936095326695
21,135benzenetricarboxylic_2an->3an (-2 -> -3),4.7,4.647302241241768,0.05269775875823246
22,13phenylenediamine_2cation->cation (+2 -> +1),2.54,2.5986285342602757,0.0586285342602757
23,13phenylenediamine_cation->neut (+1 -> +0),4.88,4.770863380818123,0.10913661918187678
24,13propanediamine_2cation->cation (+2 -> +1),8.49,7.892422884698534,0.5975771153014664
25,13propanediamine_cation->neut (+1 -> +0),10.47,10.112311282546177,0.3576887174538239
26,14dimethylurazole_neut->an (+0 -> -1),5.3,5.948918382778505,0.648918382778505
27,14phenylenediamine_2cation->cation (+2 -> +1),2.97,2.962591064777924,0.007408935222076085
28,14phenylenediamine_cation->neut (+1 -> +0),5.94,6.310389361085897,0.3703893610858966
29,17phenanthroline_cation->neut (+1 -> +0),4.3,4.456849027129085,0.156849027129085
30,1amino2naphtalenesulfonic_neut->an (+0 -> -1),1.71,2.2074619531044073,0.49746195310440733
31,1amino3naphtalenesulfonic_neut->an (+0 -> -1),3.2,3.074914224477298,0.1250857755227024
32,1amino4naphtalenesulfonic_neut->an (+0 -> -1),2.81,2.621491594124935,0.18850840587506523
33,1amino5naphtalenesulfonic_neut->an (+0 -> -1),3.69,3.5857389992573596,0.10426100074264033
34,1amino6naphtalenesulfonic_neut->an (+0 -> -1),3.8,3.7911176277909124,0.008882372209087386
35,1amino7naphtalenesulfonic_neut->an (+0 -> -1),3.66,3.608326398612011,0.051673601387989265
36,1amino8naphtalenesulfonic_neut->an (+0 -> -1),5.03,4.97093971451554,0.05906028548446063
37,1aminoacridine_cation->neut (+1 -> +0),6.02,6.210288452567053,0.19028845256705385
38,1aminocyclopropane_cation->neut (+1 -> +0),9.1,9.460308836593509,0.360308836593509
39,1cyanomethylpiperidine_cation->neut (+1 -> +0),4.55,4.492528828141453,0.057471171858546555
40,1hydroxyacridine_cation->neut (+1 -> +0),5.72,5.35659840193324,0.3634015980667593
41,1hydroxyacridine_neut->an (+0 -> -1),8.51,8.832901486884797,0.32290148688479725
42,1methyl3pyrroline_cation->neut (+1 -> +0),9.88,8.367551668029272,1.5124483319707291
