,compn,exp.pKa,pred.pKa,M.U.E
0,110phenanthroline_cation->neut (+1 -> +0),4.9,5.067119342427301,0.1671193424273003
1,1133tetramethylguanidine_cation->neut (+1 -> +0),13.6,13.290538927805233,0.3094610721947664
2,11dinitroethane_neut->an (+0 -> -1),5.21,4.05667221835935,1.15332778164065
3,123Nmethyltriazole_cation->neut (+1 -> +0),1.25,2.2249271232564993,0.9749271232564993
4,123triazole_cation->neut (+1 -> +0),1.17,1.7260165063489836,0.5560165063489837
5,123triazole_neut->an (+0 -> -1),9.26,9.225478524189445,0.0345214758105552
6,124Nmethyltriazole_cation->neut (+1 -> +0),3.2,2.589825124726893,0.6101748752731071
7,124triazole_cation->neut (+1 -> +0),2.39,2.34097783073884,0.0490221692611601
8,124triazole_neut->an (+0 -> -1),10.26,10.14821536433216,0.11178463566784025
9,11cyclopentanediacetic_neut->an (+0 -> -1),3.8,3.333011348740552,0.4669886512594479
10,11cyclopentanediacetic_an->2an (-1 -> -2),6.77,7.001551966931423,0.23155196693142344
11,12dihydro1methyl2oxopyrazine_cation->neut (+1 -> +0),-0.04,0.2535950011142134,0.2935950011142134
12,12dimethylindole_cation->neut (+1 -> +0),0.33,0.7556315953531199,0.42563159535311984
13,12dimethylurazole_neut->an (+0 -> -1),7.5,7.993413019236995,0.49341301923699543
14,12ethanediamine_2cation->cation (+2 -> +1),6.85,6.720183874524326,0.12981612547567334
15,12ethanediamine_cation->neut (+1 -> +0),9.92,9.788263673037672,0.1317363269623275
16,12phenylenediamine_2cation->cation (+2 -> +1),0.8,0.2327787977134621,0.5672212022865379
17,12phenylenediamine_cation->neut (+1 -> +0),4.47,5.251765649276102,0.7817656492761023
18,13cyclohexanedione_neut->an (+0 -> -1),5.26,4.898687027557314,0.36131297244268534
19,135benzenetricarboxylic_neut->an (+0 -> -1),3.12,2.6881644994553406,0.43183550054465947
20,135benzenetricarboxylic_an->2an (-1 -> -2),3.89,4.103690905519116,0.21369090551911585
21,135benzenetricarboxylic_2an->3an (-2 -> -3),4.7,4.5146034043257215,0.18539659567427869
22,13phenylenediamine_2cation->cation (+2 -> +1),2.54,2.5896838149690504,0.04968381496905039
23,13phenylenediamine_cation->neut (+1 -> +0),4.88,4.801945598707712,0.07805440129228813
24,13propanediamine_2cation->cation (+2 -> +1),8.49,7.816746435702076,0.6732535642979238
25,13propanediamine_cation->neut (+1 -> +0),10.47,10.143785461337291,0.32621453866270933
26,14dimethylurazole_neut->an (+0 -> -1),5.3,6.584262965334368,1.284262965334368
27,14phenylenediamine_2cation->cation (+2 -> +1),2.97,3.17574671293558,0.2057467129355799
28,14phenylenediamine_cation->neut (+1 -> +0),5.94,6.521105770846809,0.5811057708468086
29,17phenanthroline_cation->neut (+1 -> +0),4.3,4.374998961082476,0.07499896108247661
30,1amino2naphtalenesulfonic_neut->an (+0 -> -1),1.71,2.146020518308987,0.4360205183089869
31,1amino3naphtalenesulfonic_neut->an (+0 -> -1),3.2,3.10361740378685,0.09638259621315015
32,1amino4naphtalenesulfonic_neut->an (+0 -> -1),2.81,2.868520052453234,0.058520052453233884
33,1amino5naphtalenesulfonic_neut->an (+0 -> -1),3.69,3.6458014715676192,0.0441985284323807
34,1amino6naphtalenesulfonic_neut->an (+0 -> -1),3.8,3.802786682868944,0.0027866828689440126
35,1amino7naphtalenesulfonic_neut->an (+0 -> -1),3.66,3.64652012303483,0.013479876965170057
36,1amino8naphtalenesulfonic_neut->an (+0 -> -1),5.03,4.637842874907169,0.3921571250928313
37,1aminoacridine_cation->neut (+1 -> +0),6.02,6.296239997882882,0.27623999788288245
38,1aminocyclopropane_cation->neut (+1 -> +0),9.1,9.106568158826832,0.00656815882683226
39,1cyanomethylpiperidine_cation->neut (+1 -> +0),4.55,4.707871236539848,0.15787123653984825
40,1hydroxyacridine_cation->neut (+1 -> +0),5.72,5.374849128222974,0.34515087177702597
41,1hydroxyacridine_neut->an (+0 -> -1),8.51,8.663504709937655,0.1535047099376552
42,1methyl3pyrroline_cation->neut (+1 -> +0),9.88,8.069014512335997,1.810985487664004
43,1methylhistidine_2cation->cation (+2 -> +1),1.69,1.980681646127926,0.290681646127926
44,1methylhistidine_cation->neut (+1 -> +0),6.48,5.745750356157952,0.7342496438420483
45,1methylhistidine_neut->an (+0 -> -1),8.85,9.119133014213478,0.26913301421347846
46,1methylimidazole_cation->neut (+1 -> +0),7.31,7.048216919318584,0.26178308068141565
47,1methylxanthine_an->2an (-1 -> -2),12.0,11.819499955771985,0.18050004422801535
48,1naphtoic_neut->an (+0 -> -1),3.7,4.146488855336994,0.4464888553369937
49,1naphtol_neut->an (+0 -> -1),9.34,9.522012157034577,0.18201215703457763
50,1naphtylamine_cation->neut (+1 -> +0),3.92,3.8455967976005274,0.07440320239947251
51,1phenylurazole_neut->an (+0 -> -1),4.8,5.060154794778544,0.2601547947785443
52,2-methylpropanoic_neut->an (+0 -> -1),4.84,4.79053995227657,0.04946004772342949
53,22bipyridine_2cation->cation (+2 -> +1),0.05,1.006906897101282,0.956906897101282
54,22bipyridine_cation->neut (+1 -> +0),4.4,4.418642587938905,0.018642587938904498
55,22dibromopropanoic_neut->an (+0 -> -1),1.48,1.8473775924046683,0.3673775924046683
56,22dichloropropanoic_neut->an (+0 -> -1),2.06,1.4994470452167326,0.5605529547832675
57,2345tetramethylpyrrole_cation->neut (+1 -> +0),3.78,3.48852047931366,0.29147952068633964
58,234trimethylpyrrole_cation->neut (+1 -> +0),3.92,3.4313009965434667,0.4886990034565333
59,23butanediamine_2cation->cation (+2 -> +1),6.91,6.637419343499084,0.27258065650091634
60,23butanediamine_cation->neut (+1 -> +0),10.0,10.268156759906852,0.2681567599068515
61,23dichlorophenol_neut->an (+0 -> -1),7.44,7.965099187017088,0.525099187017088
62,23dimethylaniline_cation->neut (+1 -> +0),4.7,4.277205962236407,0.4227940377635928
63,23dimethylbenzoic_neut->an (+0 -> -1),3.77,4.44529513030199,0.6752951303019903
64,23dimethylphenol_neut->an (+0 -> -1),10.5,10.547058597544758,0.047058597544758385
65,23dimethylquinoline_cation->neut (+1 -> +0),4.94,5.329100278684197,0.3891002786841966
66,23dinitrobenzoic_neut->an (+0 -> -1),1.85,1.3683682905194,0.4816317094806002
67,23dimethylsuccinic_neut->an (+0 -> -1),3.93,3.5918991847598427,0.33810081524015745
68,23dimethylsuccinic_an->2an (-1 -> -2),6.0,6.68837961563072,0.68837961563072
69,234trimethylphenol_neut->an (+0 -> -1),10.59,10.729093172404962,0.13909317240496222
70,245trifluorophenol_neut->an (+0 -> -1),7.37,7.628752639223559,0.25875263922355884
71,245trimethylimidazole_cation->neut (+1 -> +0),8.92,8.984790653868146,0.06479065386814575
72,245trimethylthiazole_cation->neut (+1 -> +0),4.55,4.344688954585153,0.20531104541484702
73,246trimethylbenzoic_neut->an (+0 -> -1),3.45,3.8744564378799247,0.4244564378799245
74,246trimethylphenol_neut->an (+0 -> -1),10.88,10.998840527879256,0.11884052787925548
75,246trimethylpyridine_cation->neut (+1 -> +0),7.43,7.432818728340487,0.00281872834048702
76,246trinitrobenzoic_neut->an (+0 -> -1),0.65,0.6807825367919449,0.03078253679194487
77,246tribromobenzoic_neut->an (+0 -> -1),1.41,1.4827999708389061,0.07279997083890621
78,246trimethylpyridineNoxyde_cation->neut (+1 -> +0),1.99,1.4888250060131503,0.5011749939868497
79,24dichloro6nitroaniline_cation->neut (+1 -> +0),-3.0,-3.271664456033274,0.27166445603327416
