,compn,exp.pKa,pred.pKa,M.U.E
0,110phenanthroline_cation->neut (+1 -> +0),4.9,5.015671308021525,0.11567130802152459
1,1133tetramethylguanidine_cation->neut (+1 -> +0),13.6,13.29437478559221,0.3056252144077902
2,11dinitroethane_neut->an (+0 -> -1),5.21,3.871762100736002,1.3382378992639978
3,123Nmethyltriazole_cation->neut (+1 -> +0),1.25,2.0803526360288602,0.8303526360288602
4,123triazole_cation->neut (+1 -> +0),1.17,2.1416609991262625,0.9716609991262626
5,123triazole_neut->an (+0 -> -1),9.26,9.321437490441829,0.06143749044182911
6,124Nmethyltriazole_cation->neut (+1 -> +0),3.2,2.6708745238119054,0.5291254761880948
7,124triazole_cation->neut (+1 -> +0),2.39,2.2878585964580953,0.10214140354190482
8,124triazole_neut->an (+0 -> -1),10.26,10.002360259783352,0.25763974021664815
9,11cyclopentanediacetic_neut->an (+0 -> -1),3.8,3.36937896808461,0.4306210319153898
10,11cyclopentanediacetic_an->2an (-1 -> -2),6.77,6.932936622530754,0.16293662253075425
11,12dihydro1methyl2oxopyrazine_cation->neut (+1 -> +0),-0.04,0.260527489690924,0.30052748969092397
12,12dimethylindole_cation->neut (+1 -> +0),0.33,0.8466680993311817,0.5166680993311816
13,12dimethylurazole_neut->an (+0 -> -1),7.5,7.811767226957519,0.31176722695751913
14,12ethanediamine_2cation->cation (+2 -> +1),6.85,6.782133897449584,0.0678661025504157
15,12ethanediamine_cation->neut (+1 -> +0),9.92,9.852285019288887,0.06771498071111282
16,12phenylenediamine_2cation->cation (+2 -> +1),0.8,0.39401759151512206,0.405982408484878
17,12phenylenediamine_cation->neut (+1 -> +0),4.47,5.304763984338355,0.8347639843383554
18,13cyclohexanedione_neut->an (+0 -> -1),5.26,4.663596921538322,0.5964030784616776
19,135benzenetricarboxylic_neut->an (+0 -> -1),3.12,2.6755020389326107,0.44449796106738937
20,135benzenetricarboxylic_an->2an (-1 -> -2),3.89,4.039029396458298,0.14902939645829827
21,135benzenetricarboxylic_2an->3an (-2 -> -3),4.7,4.512652356816262,0.1873476431837382
22,13phenylenediamine_2cation->cation (+2 -> +1),2.54,2.4982418351096873,0.0417581648903127
23,13phenylenediamine_cation->neut (+1 -> +0),4.88,4.849928030532345,0.030071969467655002
24,13propanediamine_2cation->cation (+2 -> +1),8.49,8.046271679794879,0.4437283202051212
25,13propanediamine_cation->neut (+1 -> +0),10.47,10.004959629322508,0.4650403706774924
26,14dimethylurazole_neut->an (+0 -> -1),5.3,6.34347415821639,1.04347415821639
27,14phenylenediamine_2cation->cation (+2 -> +1),2.97,3.0296678480400994,0.05966784804009917
28,14phenylenediamine_cation->neut (+1 -> +0),5.94,6.432761848998644,0.4927618489986436
29,17phenanthroline_cation->neut (+1 -> +0),4.3,4.540421922299176,0.24042192229917614
30,1amino2naphtalenesulfonic_neut->an (+0 -> -1),1.71,2.2235044806984003,0.5135044806984004
31,1amino3naphtalenesulfonic_neut->an (+0 -> -1),3.2,3.1089881430620014,0.09101185693799874
32,1amino4naphtalenesulfonic_neut->an (+0 -> -1),2.81,2.745719745360443,0.06428025463955711
33,1amino5naphtalenesulfonic_neut->an (+0 -> -1),3.69,3.5952687818165625,0.09473121818343744
34,1amino6naphtalenesulfonic_neut->an (+0 -> -1),3.8,3.6402598119501945,0.15974018804980528
35,1amino7naphtalenesulfonic_neut->an (+0 -> -1),3.66,3.6482038078697894,0.01179619213021077
36,1amino8naphtalenesulfonic_neut->an (+0 -> -1),5.03,4.65047468937965,0.37952531062035
37,1aminoacridine_cation->neut (+1 -> +0),6.02,6.2923729360317875,0.2723729360317879
38,1aminocyclopropane_cation->neut (+1 -> +0),9.1,9.217379876520685,0.11737987652068504
39,1cyanomethylpiperidine_cation->neut (+1 -> +0),4.55,4.834149320406533,0.2841493204065335
40,1hydroxyacridine_cation->neut (+1 -> +0),5.72,5.239616074271206,0.48038392572879385
41,1hydroxyacridine_neut->an (+0 -> -1),8.51,8.590381143732285,0.08038114373228566
42,1methyl3pyrroline_cation->neut (+1 -> +0),9.88,8.198160205653307,1.6818397943466934
43,1methylhistidine_2cation->cation (+2 -> +1),1.69,1.9054342315602515,0.21543423156025154
44,1methylhistidine_cation->neut (+1 -> +0),6.48,5.95695764195643,0.5230423580435701
45,1methylhistidine_neut->an (+0 -> -1),8.85,9.051309108048805,0.20130910804880564
46,1methylimidazole_cation->neut (+1 -> +0),7.31,7.187999981967332,0.12200001803266769
47,1methylxanthine_an->2an (-1 -> -2),12.0,11.756706528088273,0.243293471911727
48,1naphtoic_neut->an (+0 -> -1),3.7,4.122485360427539,0.4224853604275385
49,1naphtol_neut->an (+0 -> -1),9.34,9.491151565723964,0.15115156572396415
50,1naphtylamine_cation->neut (+1 -> +0),3.92,3.818448795467149,0.10155120453285083
51,1phenylurazole_neut->an (+0 -> -1),4.8,4.9656891795912745,0.16568917959127472
52,2-methylpropanoic_neut->an (+0 -> -1),4.84,4.948132846907411,0.1081328469074112
53,22bipyridine_2cation->cation (+2 -> +1),0.05,0.7962734489599521,0.7462734489599521
54,22bipyridine_cation->neut (+1 -> +0),4.4,4.282599473943342,0.11740052605665863
55,22dibromopropanoic_neut->an (+0 -> -1),1.48,1.9258580831703584,0.44585808317035847
56,22dichloropropanoic_neut->an (+0 -> -1),2.06,1.6074489802264953,0.45255101977350476
57,2345tetramethylpyrrole_cation->neut (+1 -> +0),3.78,3.7163473969536636,0.06365260304633624
58,234trimethylpyrrole_cation->neut (+1 -> +0),3.92,3.840582164183938,0.07941783581606199
59,23butanediamine_2cation->cation (+2 -> +1),6.91,6.9093571482450375,0.0006428517549625923
60,23butanediamine_cation->neut (+1 -> +0),10.0,10.493505571199535,0.49350557119953464
61,23dichlorophenol_neut->an (+0 -> -1),7.44,7.930331255151731,0.49033125515173026
