StandardScaler
SMD-solv# 0.001883717541816296# 0.001330036516200237
expl1wat# -1.5437195872216998# 3.3994431572523722
RDG%HB# -0.0027187375957710485# 0.010644423717761082
RDG%VdW# 0.007770345548001177# 0.03669694134616427
RDG%st# -0.003652641745805709# 0.01040394159678725
prom-RDG%HB# 0.0006507999506574913# 0.03559760650613582
prom-RDG%VdW# 0.019979548229204214# 0.054926471153847356
prom-RDG%st# 0.00032256076243346906# 0.34580495506721304
*mu# -2.022532479420296# 10.54035596198052
tr-e*theta# 278.6064938146748# 1141.3499505190352
tr-*alpha# -12.001497002467469# 5.444291643596481
HLgap# -0.004034094854901605# 0.01692644186198168
Vol# -5.298925680677944# 1.0433312397088201
Surf# -3.6578532193355207# 6.010914545883439
Surf+# 139.45953918332359# 40.140211156009045
Surf-# -143.1173930735471# 41.06297249269944
min-ESP# 84.16608657909589# 23.706172838372407
max-ESP# 85.96741941802296# 22.09449918276365
avg-ESP# 75.44800302460747# 6.9505759785640615
avg-ALIE# 0.5961720449618494# 0.12904564761800524
avg-ESP+# 36.068499218129766# 21.76124965377034
avg-ESP-# -21.437075871142177# 10.270628673970197
var-ESP# -318.34338709890596# 915.134130308509
var-ESP+# 432.64592389447756# 396.9127303549077
var-ESP-# -750.9893114790124# 602.6333819220955
*PI-ESP# -3.8118738726128876# 12.257944294538763
MPI# -5.334975987750043# 56.67649631676509
min-LEA# -0.8758878417186678# 0.9079217721159565
max-LEA# 0.07171194356762287# 0.607580792338126
avg-LEA# -0.19913031318854185# 0.114781314544265
var-LEA# 293.7012799067234# 184.34361305748772
min-ALIE# 16.806131432806012# 9.262411393996693
max-ALIE# 32.497657718320184# 20.031738388738617
var-ALIE# 0.20984649722650556# 0.3304899283840671
avg|EF|# 1.5497394989120912# 4.172887104132972
0.75q|EF|# 3.131637390152214# 5.513821224857797
0.5q|EF|# 0.9507662543609773# 4.326611899169779
avgEF*tang# -0.13287829500286913# 1.9592876988506231
0.75qEF*tang# 0.042845751139435326# 2.860296169993112
0.5qEF*tang# -0.6064480818995303# 1.9496067719660322
avgEF*norm# 2.523724323006639# 3.8776648529581785
0.75qEF*norm# 3.0551048300272727# 6.136325696062075
0.5qEF*norm# 2.036492539808757# 3.8661561056635168
0.95q|EF|# 4.288328043027015# 6.518534760113331
0.9q|EF|# -2.581925700451411# 7.111729865453708
0.95qEF*tang# 1.149965688464759# 4.0962333310490795
0.9qEF*tang# -4.575912827662835# 4.167569402404088
0.95qEF*norm# 6.710083597867203# 6.7039716379911924
0.9qEF*norm# 0.30020724743283045# 7.191546314348769
avgEF*angle# -0.09769055258458621# 0.1256264422381474
0.75qEF*angle# -0.1258553260942921# 0.11341769887294867
0.5qEF*angle# -0.13927465060684585# 0.15179018853515538
0.95qEF*angle# -0.03751544045766785# 0.04309127100322647
0.9qEF*angle# -0.06908339750599042# 0.07154307216991906
protonated SMD-solv# 0.008486802918739997# 0.0025500648036502036
protonated expl1wat# -7.428026608509745# 2.218163683048263
protonated RDG%HB# 0.01691359265977811# 0.016071753893648608
protonated RDG%VdW# 0.05650807595721241# 0.06807852498941112
protonated RDG%st# 0.03699506811656663# 0.020630263856642173
protonated prom-RDG%HB# 0.11264197284200708# 0.12210106566625666
protonated prom-RDG%VdW# 0.049495342665746574# 0.09844103209821235
protonated prom-RDG%st# 2.2079247154246255# 0.8380077307904359
protonated *mu# 10.154441363853136# 6.171383930284039
protonated tr-e*theta# -6019.021516224185# 3246.1431790943384
protonated tr-*alpha# 268.62514394745955# 70.1777102817058
protonated HLgap# -0.3346024497329842# 0.026259118143626015
protonated Vol# 297.9890642687997# 73.45303630533823
protonated Surf# 272.5084750984292# 54.70590130827266
protonated Surf+# 203.9639844863741# 76.00318000361602
protonated Surf-# 68.54448997132098# 65.73117960463465
protonated min-ESP# -26.286767902147687# 38.85840431320293
protonated max-ESP# 104.89963655958513# 51.980495584979806
protonated avg-ESP# 34.140906227742214# 39.47822669004326
protonated avg-ALIE# 12.20218657960621# 0.3550053276286991
protonated avg-ESP+# 44.33539412650849# 31.228327285735638
protonated avg-ESP-# -13.170180962763459# 12.653611824488719
protonated var-ESP# 662.3515790951442# 399.79606023925265
protonated var-ESP+# 503.76241983094485# 468.06770573316373
protonated var-ESP-# 158.58915926789572# 197.76481420429724
protonated *PI-ESP# 21.742066866052685# 6.250113222900343
protonated MPI# 45.068907176602934# 30.501876660506703
protonated min-LEA# -28.940950050288162# 1.1468188851918535
protonated max-LEA# -14.964237255149495# 1.4733367401046753
protonated avg-LEA# -22.086033879901176# 0.7848062878497429
protonated var-LEA# 2997.82928039103# 1332.1036836754536
protonated min-ALIE# 263.98303849748606# 11.107524484665815
protonated max-ALIE# 443.41439251089025# 22.520820379405947
protonated var-ALIE# 1.523229787342362# 0.5492022758499862
protonated avg|EF|# 18.142111808313377# 3.3041641346842705
protonated 0.75q|EF|# 16.705733664424958# 2.5544834136539687
protonated 0.5q|EF|# 15.33239053359601# 3.5839526698317874
protonated avgEF*tang# 13.013862661282108# 1.583843647518903
protonated 0.75qEF*tang# 16.705733664424958# 2.5544834136539687
protonated 0.5qEF*tang# 10.99446103029194# 1.5001588886985961
protonated avgEF*norm# 10.697849220622349# 3.3993953155347674
protonated 0.75qEF*norm# 14.109227370522246# 5.078086237986481
protonated 0.5qEF*norm# 8.338065232294232# 3.4742458759890305
protonated 0.95q|EF|# 30.822273506373985# 3.5937870247324124
protonated 0.9q|EF|# 25.0963949902464# 3.1809987849725903
protonated 0.95qEF*tang# 30.822273506373985# 3.5937870247324124
protonated 0.9qEF*tang# 25.0963949902464# 3.1809987849725903
protonated 0.95qEF*norm# 28.920835842704655# 6.098107102762477
protonated 0.9qEF*norm# 22.51095949227028# 6.274185377781625
