,names,pKa,pKa predicted
0,sulfoacetic_an>2an,4.2,4.279142
1,67dime58dioxypterin_cation->neut,0.22,0.6920643
2,isoxazolidine_cation->neut,5.05,4.112143
3,4hydroxypyrimidine_cation->neut,1.85,1.8050027
4,2aminoindan1ol_cation->neut,8.13,8.4775305
5,4aminobenzimidazole_cation->neut,5.3,4.8599405
6,6789tetrah1hnapht12dimidazole_cation->neut,5.99,5.7723827
7,3me135triazine241H3Hdione_neut->an,6.58,6.9436855
8,2amino5cyano46dimethylpyrimidine_cation->neut,1.67,2.062726
9,13dime5phpyrazole45dih_cation->neut,3.5,4.4180207
10,1me3nitro4oxo14dihpyridine_cation->neut,-0.8,0.025314331
11,7me17diazaspiro35nonane_2cation->cation,7.24,7.619356
12,24diam1hpyrrolo23dpyrimidine_cation->neut,6.18,5.872374
13,benzothiazole_cation->neut,1.2,1.0859356
14,3hydroxy6dimethylaminopyridazine_cation->neut,1.36,1.4272561
15,noradrenaline_cation->neut,8.64,9.0116005
16,34dime5678tetrahcinnoline_cation->neut,5.41,5.319436
17,furfurylamine_cation->neut,8.89,8.370521
18,dimethylisobutylamine_cation->neut,9.91,10.114266
19,18diaminonaphtalene_cation->neut,4.61,4.5706873
20,4me2methiopyrimidine_cation->neut,1.86,1.4974775
21,1methylurazole_neut->an,5.3,5.752565
22,3chloro4mehtylaniline_cation->neut,4.05,3.7784033
23,8cf326diaminopurine_neut->an,7.55,8.596313
24,nicotinicacidnoxide_cation->neut,0.09,-0.01959467
25,pphtalic_an->2an,4.46,4.9393272
26,2me4phoxazole_cation->neut,1.1,0.87646866
27,4hydroxycinnoline_neut->an,9.27,9.4990015
28,4amino3methylpyridine_cation->neut,9.43,9.009365
29,47difluoro1hbenzimidazole_cation->neut,3.0,2.6368442
30,3phenylpyridinenoxide_cation->neut,0.74,0.76175165
31,3methylquinoline_cation->neut,5.15,5.106886
32,3am1ph2pyrazolin5one_cation->neut,1.2,2.2000883
33,57dih1hfuro34bpyridin2one_cation->neut,0.5,0.69583225
34,nethylmorpholine_cation->neut,7.67,8.102888
35,TBD_cation->neut,14.5,14.094895
36,2am78dih87oxomepteridine_cation->neut,2.05,1.9885259
37,quinuclidine4isopropyl_cation->neut,11.2,10.616892
38,4methoxycarbonylpyridine_cation->neut,3.26,3.1650462
39,1methoxyisoquinoline_cation->neut,3.05,2.9747658
40,pyrimidine_cation->neut,1.3,2.068931
41,2nitronndimeaniline_cation->neut,2.92,3.170203
42,2phacetamidine_cation->neut,11.57,12.173888
43,46diaminopteridine_cation->neut,4.33,4.433895
44,3me79dihpurine28dione_cation->neut,1.25,2.0996304
45,1me2cl14dih4oxopyridine_cation->neut,2.27,2.526884
46,isobutylamine_cation->neut,10.51,9.894226
47,24pbipyridine_2cation->cation,1.19,2.689831
48,4trimethylammoniumdimethylaniline_2cation->cation,2.336,1.9053097
49,2am45tetramethiazole_cation->neut,6.11,5.4365325
50,sarcosin_cation->neut,2.12,2.198862
51,2mes8mepurine_neut->an,9.58,9.693104
52,maleic_neut->an,1.92,2.0352678
53,oanisidine_cation->neut,4.53,4.3426495
54,4me2356tetramepyridine_cation->neut,9.95,10.363031
55,5nitrouracil_neut->an,5.56,4.796693
56,4meo2ambenzoic_cation->neut,2.06,2.3558655
57,m-hydroxyphenol_an->2an,10.9,12.033262
58,5nitro2am4dimeam6ohpyrimidine_cation->neut,-0.62,0.04361534
59,4aminoacridine_cation->neut,4.2,4.6176977
60,2hydroxy4methylpyrimidin5ylphosphonic_2an->3an,10.03,10.620451
61,canaline_cation->neut,3.7,4.203411
62,3me7ampyrimidino54e124triazin51hone_neut->an,6.95,6.6552153
63,26dioh45diampyrimidine_cation->neut,4.56,3.747809
64,bispirine_cation->neut,11.29,11.88453
65,thiomorpholine11dioxide_cation->neut,5.4,5.588008
66,lumazine7carboxylic_an->2an,8.33,7.766072
67,glycilglycine_neut->an,8.25,8.153848
68,acenaphthen4am_cation->neut,4.5,4.41146
69,6me123triazolo5p4p54pyrimidine_cation->neut,0.74,0.84573364
70,4methiopyrimidine_cation->neut,2.41,2.4416552
71,12diamino2methylpropane_2cation->cation,6.79,6.588435
72,transethyleneoxidedicarboxylic_an->2an,3.25,4.0075016
73,3dimethylaminopropanenitrile_cation->neut,7.0,7.0643444
74,135trimepyrazole_cation->neut,3.8,3.5644317
75,4methylsulfonylpyridine_cation->neut,1.62,1.9112959
76,35ethylpyrazole_cation->neut,3.3,3.0763645
77,2aminobiphenyl_cation->neut,3.78,3.8260753
78,2methylquinoxaline_cation->neut,0.95,1.7009087
79,1234tethpteridine_cation->neut,5.62,6.7108
80,45dimenaphthalen2am_cation->neut,4.27,4.3741064
81,35me53phepyrazole_cation->neut,2.92,2.5654745
82,33dinitropropanonitrile_neut->an,2.27,1.6266303
83,1me4nitrobenzimidazole_cation->neut,3.86,4.223243
84,tropolone_cation->neut,-0.5,-0.4992516
85,bicyclo221heptane14dicarboxylic_an->2an,5.284,5.8145328
86,46dime8mesquinoline_cation->neut,4.54,4.876301
87,1me4piperidinotetrazole_cation->neut,0.0,1.3175082
88,6oh145triazanaphthalene_cation->neut,-1.2,-1.0134716
89,aspartic_an->2an,9.6,10.243838
90,5am1phpyrazole_cation->neut,3.14,3.5038104
91,isoguanine_cation->neut,4.5,4.1848283
92,22dime135cyclohexanetrione_an->2an,9.73,10.083454
93,6cyanopurine_cation->neut,0.3,-0.24577045
94,24diaminophenol_2cation->cation,3.1,2.3999476
95,8oh1oxquinoline_cation->neut,1.31,0.24555755
96,4hydroxyN1methylpyridazine_cation->neut,1.07,1.4239182
97,nmethylnaphthalen1amine_cation->neut,3.67,3.8232732
98,5678tetrahquinazolin41hone_cation->neut,2.69,2.3332005
99,8methoxypurine_neut->an,7.76,8.30798
100,leucine_cation->neut,2.33,2.2519388
101,bicyclo111pentane1amino_cation->neut,8.58,7.369996
102,7hydroxyindazole_neut->an,8.6,8.126226
103,457trifluoro1hbenzimidazole_cation->neut,2.5,1.818255
104,2oh35dinitrobenzoic_neut->an,0.7,0.80157685
105,1hpyrazolo34dpyrimidin46diam_cation->neut,5.59,5.4554768
106,4nitro3meaniline_cation->neut,1.41,1.3381348
107,25dimethylaniline_cation->neut,4.53,4.282626
108,4me2ambenzoic_cation->neut,2.35,2.4624622
109,5methoxyquinazoline_cation->neut,2.37,2.3921723
110,quinuclidine2carboxamide_cation->neut,9.04,9.187988
111,3fluorobenzylamine_cation->neut,9.04,9.12957
112,8aminoxanthine_an->2an,12.01,11.8431835
113,38dime2im4oxo2348tethpteridine_cation->neut,8.71,9.50285
114,4oh2ampyridine_neut->an,10.69,9.970459
115,nbutylamide_cation->neut,-0.43,-0.37397432
116,5methoxyphenyloxazole_cation->neut,0.7,0.8579855
117,methylbiguanide_cation->neut,11.4,11.159594
118,1ethylpyrazole_cation->neut,2.0,2.3122368
119,6oh2cf3purine_neut->an,5.1,5.3004193
120,4hydroxycinnoline_cation->neut,-0.35,-0.6321125
121,4chlorobenzylamine_cation->neut,9.14,9.141367
122,cyclopropan12cisdicarboxylic_neut->an,3.33,3.2124002
123,4chloro6methoxyquinoline_cation->neut,3.93,3.808218
124,trimesintrimesilylaminomethane_cation->neut,11.4,9.358789
125,3me4cl6dimeam2im23dihpyrimidine_cation->neut,12.72,12.396909
126,6oh2am8mepurine_cation->neut,4.03,4.1068363
127,5cf3benzimidazole_cation->neut,4.22,4.4049892
128,55pehtamepyrazole45dih_cation->neut,4.16,3.9013326
129,Nmethylaniline_cation->neut,4.85,4.56929
130,6methylamino13dimethylpteridine241H3Hdione_cation->neut,-0.24,0.38166142
131,4phenylpyridine_cation->neut,5.55,5.1683664
132,trimethylaminenoxyde_cation->neut,4.64,4.7364573
133,35diam124triazole_neut->an,12.12,14.358728
134,6nmecarbamoylpurine_cation->neut,1.0,1.6331906
135,36dihydroxypyridazine_neut->an,5.67,6.248491
136,7me27diazaspiro35nonane_2cation->cation,8.02,8.016589
137,2thiophenemethylamine_cation->neut,8.92,8.380035
138,2amino6methylpyridine_cation->neut,7.41,7.1402926
139,NNNtrimethyl159triazaciclododecane_3cation->2cation,2.9,2.6121883
140,2meo57dihfuro34bpyridine_cation->neut,1.56,1.8272371
141,cyanoethylamine_cation->neut,7.7,7.592732
142,5am1me3nitropyrazole_cation->neut,-0.62,-0.68674374
143,4ethylquinuclidine_cation->neut,11.09,10.442566
144,4dimethylamino2methylthiopyrimidine_cation->neut,5.73,5.326514
145,Nmethyl4oxopyridine_cation->neut,3.33,3.3008208
146,3me7ampyrimidino54e124triazin51hone_cation->neut,1.14,0.28218508
147,2aminoacridine_cation->neut,5.9,6.014509
148,2ethylquinazoline_cation->neut,2.95,2.8703146
149,2methylacridine_cation->neut,5.5,5.6705933
150,5amino1hindazole_cation->neut,5.12,4.876974
151,4hydroxypyridazine_neut->an,8.68,9.320997
152,4pyridinealdoxime_cation->neut,4.73,5.0768566
153,3aminofluorene_cation->neut,4.82,4.67148
154,n4dimethylaniline_cation->neut,5.25,5.305422
155,4amino6methylpyrimidine_cation->neut,6.16,6.130479
156,6oh2clbenzenecarbonitrile_neut->an,6.1,6.000712
157,4methyl3nitroaniline_cation->neut,2.86,2.666839
158,23butanediamine_2cation->cation,6.91,7.1899424
159,hexahydropyrazolo12apyrazole_cation->neut,7.91,8.558384
160,6me34dihpteridine_cation->neut,6.66,7.223238
161,2ipro5me45dihthiazole_cation->neut,5.164,4.76337
162,47diaminopteridine_cation->neut,4.96,5.04019
163,6amino1naphtol_cation->neut,4.07,4.114092
164,1etbenzimidazole_cation->neut,5.59,5.6630077
165,1234tetrahacridine_cation->neut,6.38,5.523357
166,4hydroxypyridazine_cation->neut,1.07,1.7171626
167,biguanide_cation->neut,13.3,13.183736
168,2hydroxy5mepyridine_cation->neut,1.13,0.9856167
169,6fluor2methylquinazolinehydrate_cation->neut,8.06,7.22488
170,1amino7chloronaphtalene_cation->neut,3.48,3.6092865
171,245trifluorophenol_neut->an,7.37,7.6933928
172,2mesulphinylpyridine_cation->neut,-0.16,0.76655006
173,1r2rtrans123trimecyclpropdicarbxylic_an->2an,5.42,5.5101285
174,24diaminophenol_cation->neut,5.7,5.3553233
175,25mefuran2ylpyridine_cation->neut,4.24,4.3422227
176,3hidrazinoquinoline_2cation->cation,2.47,3.261703
177,n4n4dimethylpyrimidine24diamine_cation->neut,7.94,7.578743
178,3am5nitrobenzoic_cation->neut,1.55,1.3648095
