,compn,exp. pKa,pKa predicted by models:1-2,pKa predicted by models:1-3,pKa predicted by models:1-9,pKa predicted by models:1-8,pKa predicted by models:1-0,pKa predicted by models:1-5,pKa predicted by models:1-4,pKa predicted by models:1-7,pKa predicted by models:1-6,pKa predicted by models:1-1,consensus
0,sm11-1_neut->an,3.61,4.471549,3.4303617,4.7873545,4.475821,3.788993,3.5944057,3.414166,5.4713964,4.0311813,3.4143314,4.044505453976718
1,sm11-2_neut->an,2.91,3.65301,2.694069,3.9452515,3.8222933,3.4084244,2.425187,3.380725,3.3117943,3.1770844,2.9462113,3.2430954551696773
2,sm11-3_cation->neut,5.02,5.5050454,5.937296,4.658032,6.5910406,5.6025753,5.1488676,6.5787487,5.005513,6.2563415,5.667366,5.633711469823663
3,sm11-4_cation->neut,6.1,5.7327204,5.8071938,4.6805687,6.021182,5.901804,5.540867,5.9811654,6.286273,6.3907166,6.1021266,5.867692479220303
4,sm11-5_cation->neut,8.99,8.960699,9.139419,9.42342,9.604431,8.914853,9.120253,10.32429,10.012684,9.342117,9.187466,9.36542105588046
5,sm11-6_neut->an,4.24,3.8107758,4.409363,4.1914806,3.9023457,4.2423077,3.6122706,4.050643,5.025078,4.4544706,4.8907647,4.257227203195746
6,sm11-7_cation->neut,4.58,4.859987,4.7880063,4.900798,5.241064,4.489596,3.8160772,4.604641,5.640303,5.3999476,4.3430595,4.787589036768133
7,sm11-8_neut->an,8.5,8.886541,8.902544,9.032758,9.391077,7.9217186,8.316297,8.709461,8.511488,8.136589,8.977898,8.662397384643555
8,sm11-9_neut->an,4.4,4.2277765,4.767404,5.331299,5.7869186,5.0113087,4.610063,4.4774656,5.47388,4.3151073,5.1196136,4.865530568903143
9,sm11-10_neut->an,4.65,5.521845,4.6717973,5.4644375,5.1510925,5.6460986,4.7433705,4.8526397,6.761623,5.665159,5.3628926,5.317359612204812
10,sm11-11_neut->an,3.73,3.8220348,5.2590275,4.286773,3.873705,4.808348,4.6093793,4.6013417,4.9693513,4.6236286,5.3512945,4.539534913843329
11,sm11-11_cation->neut,1.67,1.6662827,0.8129649,1.1155581,1.780561,1.3381958,0.8703928,2.8377285,0.15877628,1.2064071,0.6156955,1.279323874386874
