,compn,exp. pKa,pKa predicted by models:2-6,pKa predicted by models:3-3,pKa predicted by models:2-1,pKa predicted by models:3-9,pKa predicted by models:3-8,pKa predicted by models:3-5,pKa predicted by models:2-2,pKa predicted by models:2-3,pKa predicted by models:4-2,pKa predicted by models:2-9,pKa predicted by models:2-8,pKa predicted by models:2-5,pKa predicted by models:4-3,pKa predicted by models:2-4,pKa predicted by models:2-7,pKa predicted by models:2-0,pKa predicted by models:3-2,pKa predicted by models:3-4,pKa predicted by models:3-7,pKa predicted by models:3-6,pKa predicted by models:4-9,pKa predicted by models:4-8,pKa predicted by models:3-0,pKa predicted by models:4-5,pKa predicted by models:4-4,pKa predicted by models:4-7,pKa predicted by models:3-1,pKa predicted by models:4-6,pKa predicted by models:4-0,pKa predicted by models:4-1,consensus
0,sm11-1_neut->an,3.61,4.02972,2.9778333,3.2223353,4.1075907,4.4486265,4.0781455,4.0655317,3.6066914,4.5643997,5.2096815,4.611597,4.040454,3.562451,3.466483,4.16296,3.6321526,4.4247146,3.457755,4.015561,3.8879714,4.7145195,4.5138965,4.150266,4.4475365,3.3391724,3.9047046,3.6344433,4.224036,3.7225502,3.4835963,3.9779798941458426
1,sm11-2_neut->an,2.91,3.012436,2.2000785,2.7737308,4.349675,3.4717088,3.0566082,3.6826081,2.0565434,3.3351727,4.369569,3.0920696,2.8039107,2.9498816,3.416953,3.573361,3.4607482,3.9236298,3.362379,3.569328,3.4524746,3.9968195,4.084072,3.693099,3.3787847,3.190648,4.1039233,3.9518242,3.4825022,3.3088102,3.2654428,3.3960900663560434
2,sm11-3_cation->neut,5.02,6.2727656,5.988789,5.205966,5.8199086,6.154342,5.1785955,5.477807,5.557678,5.884233,4.401782,6.0220146,4.8194094,5.6322684,5.8887386,6.195573,6.3189497,5.54475,6.626406,5.801632,5.527422,5.575482,6.554686,6.284574,4.9897447,6.575129,5.374836,4.3324065,6.0950823,6.905873,6.134243,5.747131855872369
3,sm11-4_cation->neut,6.1,5.610904,5.1687694,5.690393,5.4215975,5.207779,6.48041,5.4539504,4.0685425,5.881428,6.365057,5.042835,5.1972694,4.910861,6.3870296,6.6309395,7.105309,6.0529766,7.1797447,6.69845,4.7871165,5.267784,5.9922404,6.2682853,5.590755,6.5061274,6.578818,5.901743,6.666866,6.670086,6.0378804,5.900707986277919
4,sm11-5_cation->neut,8.99,8.936935,9.494931,9.522687,9.600637,9.729269,8.507017,9.037528,9.025217,9.275961,9.7663555,10.167851,9.079778,9.453646,9.819216,9.689902,9.3853655,9.457565,10.091716,9.543628,9.522301,9.559495,9.5184355,9.670319,8.742611,10.409909,9.348558,9.4488945,10.023383,9.257309,9.163172,9.459341702615061
5,sm11-6_neut->an,4.24,4.7937856,4.1860213,4.496599,4.1638546,4.4561925,3.8273711,4.831565,4.032427,4.493756,4.2542915,3.9227276,4.080796,4.638039,4.5978518,4.4806185,4.485082,4.6854987,4.0291147,4.3319125,4.2448874,4.128608,4.9367456,4.237349,4.525075,4.6968207,4.675433,5.039895,4.6567135,3.7974985,4.720436,4.409256980957524
6,sm11-7_cation->neut,4.58,5.335714,5.0789595,4.3690753,5.0803156,4.3160973,4.789401,4.6441045,4.7194366,5.814526,4.526906,4.4307036,4.862385,5.3220096,4.751335,4.397854,4.5574694,5.298049,5.047727,4.443616,5.2689905,5.032241,4.582319,4.2694607,4.3446064,5.041231,4.3028145,3.973141,4.9438057,4.191759,4.7352605,4.743590749617545
7,sm11-8_neut->an,8.5,8.566572,8.302788,7.5096154,8.940491,9.198701,8.78414,8.494087,9.465363,8.827461,8.698553,9.536514,8.603115,8.118702,8.107929,8.718666,8.399091,9.127013,8.299177,8.742573,8.217068,9.552177,9.542174,8.374327,8.667007,8.019711,8.962557,7.8325863,8.684428,8.224133,7.958565,8.612105954077936
8,sm11-9_neut->an,4.4,4.6581683,4.9544644,4.6146474,4.110667,5.4865522,4.8349814,4.5860763,4.850101,4.4192743,4.4009705,5.0708065,4.669708,3.6758494,5.0967803,4.8142414,4.700578,4.7252197,4.818058,5.3489437,4.7697845,3.780105,4.679293,3.7823381,4.714356,5.067239,5.6178064,5.157794,4.58984,3.7824345,4.924533,4.680697145769673
9,sm11-10_neut->an,4.65,5.0028243,4.0634465,5.7810574,5.965618,5.970854,5.406446,5.8586693,4.9550085,5.8025503,4.8307495,5.8608174,5.1688304,4.406929,5.98396,5.557742,5.726417,5.6161256,6.467176,5.9315004,4.8763633,5.4337015,5.4187,5.767787,5.6962957,5.9927797,5.6007066,5.957272,4.8463097,6.238051,5.3986607,5.491398362190493
