,compn,exp. pKa,pKa predicted by models:3-3,pKa predicted by models:3-9,pKa predicted by models:3-8,pKa predicted by models:3-5,pKa predicted by models:4-2,pKa predicted by models:4-3,pKa predicted by models:3-2,pKa predicted by models:3-4,pKa predicted by models:3-7,pKa predicted by models:3-6,pKa predicted by models:4-9,pKa predicted by models:4-8,pKa predicted by models:3-0,pKa predicted by models:8-9,pKa predicted by models:4-5,pKa predicted by models:4-4,pKa predicted by models:5-2,pKa predicted by models:4-7,pKa predicted by models:3-1,pKa predicted by models:4-6,pKa predicted by models:5-3,pKa predicted by models:5-9,pKa predicted by models:5-8,pKa predicted by models:5-5,pKa predicted by models:6-2,pKa predicted by models:4-0,pKa predicted by models:5-4,pKa predicted by models:6-3,pKa predicted by models:5-7,pKa predicted by models:5-6,pKa predicted by models:6-9,pKa predicted by models:6-8,pKa predicted by models:6-5,pKa predicted by models:7-2,pKa predicted by models:4-1,pKa predicted by models:7-3,pKa predicted by models:6-4,pKa predicted by models:6-7,pKa predicted by models:7-9,pKa predicted by models:7-8,pKa predicted by models:6-6,pKa predicted by models:5-0,pKa predicted by models:8-2,pKa predicted by models:7-5,pKa predicted by models:8-3,pKa predicted by models:7-4,pKa predicted by models:8-8,pKa predicted by models:7-7,pKa predicted by models:7-6,pKa predicted by models:9-2,pKa predicted by models:5-1,pKa predicted by models:8-5,pKa predicted by models:9-3,pKa predicted by models:6-0,pKa predicted by models:9-9,pKa predicted by models:8-4,pKa predicted by models:9-8,pKa predicted by models:10-2,pKa predicted by models:8-7,pKa predicted by models:8-6,pKa predicted by models:9-5,pKa predicted by models:10-3,pKa predicted by models:10-9,pKa predicted by models:6-1,pKa predicted by models:10-8,pKa predicted by models:9-4,pKa predicted by models:7-0,pKa predicted by models:9-7,pKa predicted by models:10-5,pKa predicted by models:9-6,pKa predicted by models:10-4,pKa predicted by models:10-7,pKa predicted by models:8-0,pKa predicted by models:7-1,pKa predicted by models:10-6,pKa predicted by models:9-0,pKa predicted by models:8-1,pKa predicted by models:10-0,pKa predicted by models:9-1,pKa predicted by models:10-1,consensus,std. dev.
0,sm11-1_neut->an,3.61,2.9865956,4.0996532,4.444979,4.078173,4.5611906,3.5666714,4.4242187,3.459187,4.0155125,3.8918853,4.7026696,4.5067906,4.132088,4.731062,4.4451466,3.3351707,4.9059443,3.9014602,3.6272426,4.228615,3.8302717,4.6292834,4.0952406,4.079928,4.849634,3.7219286,3.5563965,3.778226,4.3239574,3.6608815,5.1464605,4.219876,4.1299725,4.773562,3.4846845,4.8086023,3.5583057,3.6480384,4.043244,4.249879,3.4201264,3.6882162,3.7994952,3.495741,3.95721,3.5791578,4.143449,4.1066704,3.9348898,4.4740233,3.29854,3.9598575,3.9335904,4.2184076,4.0800824,3.4160805,3.9890962,4.1311393,4.1368127,3.5943213,4.3468885,3.9181004,4.7051115,3.5109248,4.610078,3.652961,4.0842867,4.4515266,3.9025965,3.9528675,3.9382684,4.5682735,4.066082,3.849854,3.7683506,4.406973,3.2345648,4.4407845,3.666473,3.72085,4.0295722262064615,0.43944813701246555
1,sm11-2_neut->an,2.91,2.200307,4.3405395,3.4694915,3.0628023,3.3391023,2.9490623,3.9234319,3.366517,3.5692792,3.4508018,3.994742,4.089753,3.6853995,3.760003,3.385263,3.1955862,3.7146435,4.109787,3.9516482,3.485614,2.7426033,3.8027096,2.9338455,3.2572713,3.782928,3.3127093,3.5383763,2.6689644,3.410601,3.4690118,3.8208303,3.113183,3.546783,3.6705518,3.2680998,2.8177667,3.28719,3.7059422,3.4341192,3.1910787,3.055222,3.7064152,3.3802123,2.9781384,3.0399227,2.7017593,2.9943047,3.5527968,3.3854516,3.5135999,3.9433122,3.2916641,3.3281293,3.2687879,4.3444014,2.9192457,2.928434,3.7754216,3.8112826,3.1258435,3.4259222,2.8198695,4.09262,3.746107,2.7990265,3.376556,3.165195,3.982693,3.48012,2.9242773,3.612684,4.4470415,3.1278176,4.2622223,3.0656168,3.4259856,4.1717663,3.062866,4.2479634,4.0151644,3.4447431936381774,0.45147933856571626
2,sm11-3_cation->neut,5.02,5.9797163,5.8151207,6.1589966,5.186797,5.8740854,5.630976,5.543631,6.6308403,5.8131576,5.5453343,5.5728645,6.54707,6.27934,6.166089,4.999345,6.5793433,5.2238903,5.381677,4.334397,6.1047006,5.4428935,6.335908,5.2831564,6.009511,5.000264,6.9027157,5.837183,5.925875,6.3672614,5.6651793,6.2517743,5.663028,5.062112,5.616942,6.1308084,5.8145294,5.5916977,5.7583866,5.9959292,5.7281475,6.070257,6.4647083,5.2111745,6.4238176,5.8906746,5.676771,6.562154,5.8060813,5.0226192,5.359534,5.9974146,6.279235,5.863435,7.3650465,6.479252,5.7252183,5.618436,5.1021934,5.9779797,5.190706,5.5566187,5.7490845,6.7895985,5.7796125,4.9756565,5.2702,7.0695877,5.3643255,5.0799775,5.966678,5.769101,5.348899,6.936446,5.670735,5.6491833,5.5977983,5.5774813,6.434368,5.559234,5.1146693,5.803909090065662,0.550843997693308
3,sm11-4_cation->neut,6.1,5.1608887,5.418631,5.1941924,6.47785,5.8825,4.905833,6.0528708,7.170663,6.688862,4.7831106,5.2708597,5.988332,6.2738986,5.5298047,5.5939226,6.498218,5.792263,6.571933,5.898792,6.6691136,4.7357836,5.771791,5.414858,6.164464,5.5413713,6.6800866,6.0272236,5.682408,5.689428,6.7096357,5.2606535,5.3869615,5.674575,5.599967,6.039627,4.9845347,5.862713,5.3916907,5.315628,5.7069645,6.294771,7.071193,6.1441193,6.191973,5.0996943,7.038682,5.814952,5.8823295,6.191199,5.630121,5.9689274,5.7761993,5.1922464,6.7653737,4.660151,6.445458,5.6786184,6.139853,5.672135,5.521697,5.4899297,5.531117,5.7467666,6.101219,5.534912,6.9056435,7.1373796,6.2017136,6.1825857,6.115176,6.5963597,5.988186,7.3841543,6.4386015,5.9601264,7.6556396,5.9585543,7.230763,5.4802556,5.4312754,5.948308080508386,0.6316177502416945
4,sm11-5_cation->neut,8.99,9.493816,9.597445,9.725227,8.505799,9.276866,9.448194,9.464616,10.088442,9.545622,9.526329,9.555477,9.517546,9.664546,9.958966,8.744286,10.403717,9.643793,9.347123,9.446302,10.024097,9.327773,9.876358,10.173423,9.085027,9.605104,9.257185,10.430893,9.987526,8.821252,9.620563,10.403383,9.326041,8.875884,10.076197,9.165434,9.652096,10.271285,9.181381,9.40437,9.863309,9.838039,9.840606,9.293784,9.361412,9.992393,9.967264,10.031264,9.404454,9.494099,9.172696,9.246837,9.298698,9.495178,9.350189,9.4975605,10.418209,9.545691,9.412137,9.429154,9.750401,9.452602,9.891922,9.719781,9.284988,9.06319,10.453972,8.951972,9.428587,8.915041,10.143407,10.052103,9.389052,9.29706,9.623258,10.149284,9.4876995,9.608817,9.083408,9.686639,9.291365,9.570208740705326,0.414560103300007
5,sm11-6_neut->an,4.24,4.190611,4.166385,4.460645,3.8287978,4.49797,4.631477,4.6883874,4.0388207,4.3286867,4.249337,4.141535,4.9511085,4.230274,4.7282968,4.523835,4.708783,4.2106647,4.6808395,5.0430393,4.6659136,4.4266067,4.533626,4.2974477,4.4859257,4.9366364,3.804558,4.4988713,4.7143836,4.6653786,4.4978642,4.667372,4.6782126,4.214923,4.7504525,4.717953,5.394759,4.817395,4.1075745,3.807623,4.703287,4.1163225,4.128677,4.470581,4.3798566,4.514872,4.458749,4.185554,4.0032597,4.3534174,4.5340695,4.2992315,4.1651783,4.445154,4.1084843,4.3116465,4.196665,4.9372325,4.676773,4.311818,4.0774984,4.816097,4.26994,4.6102443,4.988164,4.6875315,5.141994,4.273856,4.723014,4.787797,4.541909,4.737154,5.015242,4.2896624,4.992589,4.3045382,4.244822,4.612669,4.471317,4.7400475,4.980293,4.491730607468405,0.3188380020366503
6,sm11-7_cation->neut,4.58,5.0873556,5.08062,4.306692,4.7905674,5.8131647,5.3281126,5.296189,5.047658,4.4450674,5.26959,5.0372,4.580715,4.2757096,4.6277633,4.3469434,5.0423326,5.6205463,4.298267,3.9750366,4.9464006,4.803447,5.8414283,3.9854717,4.22052,5.297662,4.1901083,4.890994,5.176098,4.1769805,5.632353,4.7208424,4.486573,4.561221,5.584934,4.738566,5.358861,4.8077397,4.6345997,5.192954,4.525425,5.073413,4.722863,5.3899374,4.531763,5.1068225,4.599084,4.8581157,4.829363,4.460103,5.512305,4.8890676,3.9716933,5.464801,4.9170394,5.1681294,4.829177,4.40255,5.633548,4.7509456,5.3355894,4.763539,4.9791956,5.135536,4.57955,4.278618,4.8754215,5.0767503,5.063449,4.4939375,5.7087593,4.830372,5.205618,4.2377806,4.9182014,5.4236555,4.461397,4.742035,4.7654257,5.02308,4.45081,4.865211726176886,0.4452302388002473
7,sm11-8_neut->an,8.5,8.302456,8.942164,9.196377,8.788627,8.82776,8.119902,9.126891,8.300717,8.738596,8.221514,9.559496,9.539927,8.377022,9.256883,8.663463,8.00945,8.310541,8.971174,7.8339505,8.687696,8.420292,9.616561,8.859335,8.947491,8.314522,8.222482,8.627352,8.034538,8.507244,8.360945,9.987242,9.100118,8.800498,8.58103,7.958608,8.280094,8.907986,8.4904785,9.104654,9.221127,7.971758,8.373927,8.175684,8.533743,8.732964,8.702946,9.36251,8.593905,8.047071,8.17565,8.353937,8.919543,8.641875,8.736731,9.339079,8.676124,8.968177,8.472237,9.075006,8.065438,8.583132,8.791365,9.014877,8.4922085,8.834162,8.846123,8.143877,8.827238,7.9910364,8.162525,9.285314,9.024686,8.791772,8.5722885,8.066726,8.866404,8.231864,8.532951,8.423667,7.906954,8.641045346672152,0.4451821817676434
8,sm11-9_neut->an,4.4,4.948309,4.1169605,5.4837856,4.833525,4.419032,3.6773748,4.724631,4.81995,5.351006,4.770601,3.7828465,4.677731,3.7811236,3.5583234,4.716428,5.064682,4.605685,5.6174784,5.1586566,4.591981,3.8514423,4.0520573,4.797932,4.7556787,5.1437373,3.7816677,4.96424,4.066796,4.4736056,4.775958,4.4242554,5.610635,4.2335987,4.914526,4.9236536,4.3730054,5.346385,4.8381977,3.4587421,5.819105,4.204332,4.2651963,4.7882566,3.7232118,4.32362,5.3697324,5.920042,5.094637,4.5670805,4.2552485,4.05588,4.7623305,4.2649393,4.7273493,3.5779557,4.5765343,6.256617,4.31737,4.469209,3.933529,4.693255,3.5892258,3.8486729,4.3905926,6.304307,5.6654844,4.8177896,5.312044,4.9456296,4.26978,5.0666714,4.4538264,4.3950644,5.0534763,4.3249655,4.3247375,4.587146,4.8896713,4.8227425,5.360334,4.645355759137942,0.6111156790840577
9,sm11-10_neut->an,4.65,4.0615826,5.9469423,5.9593773,5.4088626,5.805352,4.4075513,5.6123915,6.465335,5.9494786,4.877773,5.430681,5.4215307,5.758839,5.043518,5.6912527,5.991316,5.1533456,5.5945473,5.9537616,4.8509636,4.7943783,5.144677,5.845674,5.2857084,5.579074,6.2368784,5.9238834,4.871534,5.502585,5.156166,6.1454964,5.3507714,5.6274757,5.4810867,5.3933496,5.6913104,6.160441,5.7375374,5.4075212,5.1373825,4.8802695,5.21664,4.8602047,5.372706,5.006492,5.915818,5.489751,5.01904,5.3007746,4.727941,5.2531257,5.2448854,5.2337914,5.882265,4.899704,6.2129965,5.573552,4.6623955,5.2491198,5.0995703,5.7684774,4.7342563,5.2784705,5.6685877,5.9582214,6.476343,5.967859,5.4125237,5.359495,5.1701927,6.7260656,5.496133,6.080744,5.593466,4.3099704,6.266883,5.8930573,5.9643326,5.452563,5.1642985,5.461114999983046,0.5128631084307204
10,sm11-11_neut->an,3.73,4.9532256,5.1095476,4.0472755,5.76745,4.83603,4.4137573,4.2338347,5.0269933,4.7262564,4.869059,5.016545,4.3804197,5.407476,5.0070806,5.7434373,3.8503685,4.9246154,4.6967225,4.7514806,4.2467785,4.174816,4.8105583,4.068007,5.131131,4.768061,5.243366,4.816315,4.266396,4.4375863,4.703258,4.6341004,4.5076327,5.827196,4.3852377,4.602475,4.1340346,4.969251,4.364356,4.3346395,3.9830089,4.7317386,5.1020722,4.8642497,5.0253778,4.7112827,4.7205534,3.866393,4.919017,4.050701,5.1015882,5.4518194,4.5433087,4.542154,5.2135415,4.8068323,5.011636,4.604138,4.7345066,4.888522,4.392439,4.765576,4.3887897,5.43079,5.46349,4.475482,5.120484,4.894658,5.043938,4.4222646,4.7114224,5.491824,4.648143,4.8095407,4.9670334,4.353038,4.9328246,5.211395,4.606959,4.951142,4.415859,4.74427536363955,0.4395073297732838
