,compn,exp. pKa,pKa predicted by models:3-3,pKa predicted by models:3-9,pKa predicted by models:3-8,pKa predicted by models:3-5,pKa predicted by models:4-2,pKa predicted by models:4-3,pKa predicted by models:3-2,pKa predicted by models:3-4,pKa predicted by models:3-7,pKa predicted by models:3-6,pKa predicted by models:4-9,pKa predicted by models:4-8,pKa predicted by models:3-0,pKa predicted by models:8-9,pKa predicted by models:4-5,pKa predicted by models:4-4,pKa predicted by models:5-2,pKa predicted by models:4-7,pKa predicted by models:3-1,pKa predicted by models:4-6,pKa predicted by models:5-3,pKa predicted by models:5-9,pKa predicted by models:5-8,pKa predicted by models:5-5,pKa predicted by models:6-2,pKa predicted by models:4-0,pKa predicted by models:5-4,pKa predicted by models:6-3,pKa predicted by models:5-7,pKa predicted by models:5-6,pKa predicted by models:6-9,pKa predicted by models:6-8,pKa predicted by models:6-5,pKa predicted by models:7-2,pKa predicted by models:4-1,pKa predicted by models:7-3,pKa predicted by models:6-4,pKa predicted by models:6-7,pKa predicted by models:7-9,pKa predicted by models:7-8,pKa predicted by models:6-6,pKa predicted by models:5-0,pKa predicted by models:8-2,pKa predicted by models:7-5,pKa predicted by models:8-3,pKa predicted by models:7-4,pKa predicted by models:8-8,pKa predicted by models:7-7,pKa predicted by models:7-6,pKa predicted by models:9-2,pKa predicted by models:5-1,pKa predicted by models:8-5,pKa predicted by models:9-3,pKa predicted by models:6-0,pKa predicted by models:9-9,pKa predicted by models:8-4,pKa predicted by models:9-8,pKa predicted by models:10-2,pKa predicted by models:8-7,pKa predicted by models:8-6,pKa predicted by models:9-5,pKa predicted by models:10-3,pKa predicted by models:10-9,pKa predicted by models:6-1,pKa predicted by models:10-8,pKa predicted by models:11-2,pKa predicted by models:9-4,pKa predicted by models:11-4,pKa predicted by models:7-0,pKa predicted by models:9-7,pKa predicted by models:10-5,pKa predicted by models:11-3,pKa predicted by models:9-6,pKa predicted by models:11-9,pKa predicted by models:11-7,pKa predicted by models:11-8,pKa predicted by models:10-4,pKa predicted by models:11-6,pKa predicted by models:10-7,pKa predicted by models:11-5,pKa predicted by models:8-0,pKa predicted by models:7-1,pKa predicted by models:10-6,pKa predicted by models:9-0,pKa predicted by models:8-1,pKa predicted by models:10-0,pKa predicted by models:9-1,pKa predicted by models:11-0,pKa predicted by models:10-1,pKa predicted by models:11-1,consensus,std. dev.
0,sm11-1_neut->an,3.61,2.9778333,4.1075907,4.4486265,4.0781455,4.5643997,3.562451,4.4247146,3.457755,4.015561,3.8879714,4.7145195,4.5138965,4.150266,4.7353754,4.4475365,3.3391724,4.9048033,3.9047046,3.6344433,4.224036,3.8352013,4.640502,4.1030903,4.0792017,4.8533683,3.7225502,3.5523877,3.7831855,4.3238397,3.658135,5.1580496,4.222134,4.1256275,4.777749,3.4835963,4.8051424,3.5531769,3.6490054,4.0550547,4.2530346,3.4155045,3.702334,3.800966,3.4911637,3.9544668,3.5725589,4.1431866,4.096368,3.9258814,4.475223,3.3036962,3.9567432,3.9323797,4.2228527,4.096217,3.4166293,3.9885182,4.136337,4.1356525,3.5880108,4.343461,3.9165668,4.7022214,3.516244,4.609983,4.1820364,3.6525846,3.2224383,4.091042,4.4468403,3.897585,4.2522707,3.9468656,4.606224,4.0627723,4.3125763,3.9369512,3.8088303,4.5642657,3.523405,4.078947,3.8529067,3.7628121,4.4077225,3.2397256,4.436929,3.6691608,4.496406,3.7201638,3.8031845,4.030281825222812,0.4378729749506157
1,sm11-2_neut->an,2.91,2.2000785,4.349675,3.4717088,3.0566082,3.3351727,2.9498816,3.9236298,3.362379,3.569328,3.4524746,3.9968195,4.084072,3.693099,3.7664776,3.3787847,3.190648,3.7150826,4.1039233,3.9518242,3.4825022,2.747179,3.8100939,2.9323816,3.263194,3.7791061,3.3088102,3.5377078,2.6660838,3.4046965,3.467317,3.8331723,3.1044798,3.5390756,3.6739736,3.2654428,2.815455,3.28371,3.7033904,3.442885,3.1876373,3.0536675,3.7112591,3.3775477,2.9818087,3.0312037,2.6990595,2.9953513,3.5509963,3.3799994,3.5062556,3.9378214,3.298727,3.3257055,3.2729,4.345968,2.9194994,2.932878,3.766373,3.8155463,3.1217623,3.4281306,2.814989,4.0991454,3.7455466,2.8068247,3.9092553,3.3785744,3.185645,3.1721964,3.9792213,3.4839153,3.180881,2.9205217,3.6555693,3.9084184,2.6543918,3.6142673,3.4026875,4.4468627,3.1638584,3.129418,4.261732,3.0597105,3.4249175,4.177019,3.0606465,4.258272,3.4432425,4.0167546,4.3311787,3.448880058435293,0.45315103480639535
2,sm11-3_cation->neut,5.02,5.988789,5.8199086,6.154342,5.1785955,5.884233,5.6322684,5.54475,6.626406,5.801632,5.527422,5.575482,6.554686,6.284574,6.173312,4.9897447,6.575129,5.227387,5.374836,4.3324065,6.0950823,5.448339,6.3257866,5.2893953,5.9817886,5.001011,6.905873,5.83976,5.9369144,6.363412,5.650816,6.2597847,5.6635637,5.05153,5.622438,6.134243,5.8086033,5.5928755,5.7531767,5.996718,5.719569,6.065937,6.468534,5.2069936,6.412401,5.8892846,5.6836863,6.5612583,5.7999063,5.0270224,5.3619003,5.9919147,6.2649755,5.863509,7.3651824,6.4781256,5.720419,5.606666,5.1065574,5.9772162,5.1925793,5.5328474,5.750185,6.7923517,5.775577,4.9652004,5.1738176,5.272443,5.4193773,7.0677233,5.361143,5.0679584,6.1139593,5.961301,6.699032,5.667381,5.6196966,5.770027,5.1515155,5.351725,5.115076,6.9348116,5.6735916,5.650487,5.589712,5.5685863,6.43425,5.555293,6.8438997,5.11313,5.027301,5.788681900317852,0.561539396115019
3,sm11-4_cation->neut,6.1,5.1687694,5.4215975,5.207779,6.48041,5.881428,4.910861,6.0529766,7.1797447,6.69845,4.7871165,5.267784,5.9922404,6.2682853,5.5268154,5.590755,6.5061274,5.790704,6.578818,5.901743,6.666866,4.7368245,5.767854,5.4111443,6.1603785,5.539478,6.670086,6.039319,5.6937957,5.678388,6.71107,5.271258,5.392322,5.669218,5.5919094,6.0378804,4.9865,5.873377,5.3896804,5.3148446,5.707738,6.296846,7.0665474,6.1427426,6.1814103,5.1049166,7.0450706,5.816536,5.8851275,6.191696,5.6281724,5.970622,5.7775383,5.193877,6.7732544,4.6573715,6.455656,5.693475,6.1396103,5.668053,5.531538,5.4933157,5.5349274,5.752136,6.105428,5.5576973,5.7483163,6.9099236,6.8029337,7.143095,6.2076154,6.1836643,5.453346,6.111163,5.024555,7.081983,6.1977043,6.601432,6.013817,5.986777,5.614547,7.3992147,6.446122,5.967186,7.6684484,5.960333,7.236816,5.4769707,7.402006,5.4326873,5.9930468,5.970874782184978,0.6446618168151182
4,sm11-5_cation->neut,8.99,9.494931,9.600637,9.729269,8.507017,9.275961,9.453646,9.457565,10.091716,9.543628,9.522301,9.559495,9.5184355,9.670319,9.962024,8.742611,10.409909,9.631859,9.348558,9.4488945,10.023383,9.331942,9.873431,10.179773,9.079605,9.601511,9.257309,10.439316,9.982098,8.823522,9.62611,10.404647,9.330449,8.878097,10.078474,9.163172,9.653904,10.283144,9.182719,9.4002,9.873357,9.840007,9.844741,9.297752,9.359416,9.987026,9.976397,10.03086,9.405244,9.499315,9.169328,9.249965,9.301083,9.492156,9.348645,9.496223,10.429203,9.546038,9.407595,9.434851,9.74942,9.456362,9.884203,9.72216,9.288005,9.061103,9.512157,10.465261,9.90044,8.946334,9.430516,8.929967,9.370241,10.149182,9.3222475,9.303471,9.200395,10.058904,9.738785,9.390072,8.990783,9.287303,9.632264,10.149933,9.484843,9.618226,9.088705,9.698249,9.407642,9.298322,9.837377,9.559490698929672,0.40452239327652467
5,sm11-6_neut->an,4.24,4.1860213,4.1638546,4.4561925,3.8273711,4.493756,4.638039,4.6854987,4.0291147,4.3319125,4.2448874,4.128608,4.9367456,4.237349,4.7286825,4.525075,4.6968207,4.2062206,4.675433,5.039895,4.6567135,4.4220166,4.5358934,4.2954736,4.487747,4.935499,3.7974985,4.500514,4.71179,4.6604495,4.4947853,4.6686907,4.6685104,4.216919,4.746103,4.720436,5.3911657,4.81927,4.1075854,3.8177066,4.696784,4.1103487,4.133783,4.4646454,4.384087,4.5174093,4.4555316,4.1819158,4.000158,4.346655,4.534394,4.3086267,4.163949,4.4403777,4.1054735,4.3153386,4.192412,4.931607,4.6741014,4.3072343,4.0673685,4.815978,4.2654953,4.615764,4.993836,4.6827126,4.617303,5.1390476,5.1236124,4.268428,4.7219777,4.785817,4.2548823,4.5354824,4.2307,4.526373,4.56759,4.735407,4.3508387,5.011595,4.270995,4.2897453,4.9945936,4.2972903,4.2429647,4.617858,4.4717097,4.743375,4.423441,4.9795814,4.350051,4.487724063055856,0.3122382779033481
6,sm11-7_cation->neut,4.58,5.0789595,5.0803156,4.3160973,4.789401,5.814526,5.3220096,5.298049,5.047727,4.443616,5.2689905,5.032241,4.582319,4.2694607,4.641754,4.3446064,5.041231,5.613228,4.3028145,3.973141,4.9438057,4.7989273,5.844629,3.9860353,4.227955,5.299137,4.191759,4.88618,5.171427,4.169364,5.629587,4.720299,4.4814205,4.5560203,5.585087,4.7352605,5.354767,4.8064337,4.6271267,5.197482,4.514044,5.0721164,4.7268014,5.392631,4.525409,5.104262,4.5972753,4.8507347,4.8222485,4.465601,5.5026264,4.885044,3.9731069,5.4684057,4.920622,5.175747,4.828491,4.4028425,5.6324625,4.7433558,5.33624,4.7624846,4.978239,5.129038,4.5744305,4.2825747,5.2771034,4.8706512,4.5341663,5.0822988,5.0545487,4.4911656,4.9705324,5.705517,4.841282,5.064338,4.8109484,4.8268824,4.802709,5.1986723,4.7701855,4.24319,4.919961,5.42285,4.4673758,4.734403,4.766148,5.0180893,4.456733,4.445887,4.61446,4.858352978989318,0.4270098062122093
7,sm11-8_neut->an,8.5,8.302788,8.940491,9.198701,8.78414,8.827461,8.118702,9.127013,8.299177,8.742573,8.217068,9.552177,9.542174,8.374327,9.254806,8.667007,8.019711,8.307335,8.962557,7.8325863,8.684428,8.419556,9.616342,8.864139,8.945819,8.309498,8.224133,8.632652,8.037378,8.505844,8.355133,9.986843,9.100105,8.802172,8.577593,7.958565,8.280591,8.913664,8.487373,9.098181,9.228666,7.968111,8.374489,8.174825,8.534957,8.731745,8.703598,9.366833,8.58984,8.048115,8.175554,8.35547,8.925984,8.64378,8.7368965,9.337038,8.678157,8.970768,8.469614,9.074605,8.066151,8.590351,8.790255,9.007494,8.494481,8.838047,8.394801,8.842507,8.689345,8.140658,8.820578,7.990674,8.328748,8.155949,9.415333,8.778812,8.78754,9.281262,7.915019,9.026311,8.220396,8.783655,8.570021,8.065438,8.866,8.232117,8.528448,8.425563,8.459017,7.9063816,8.3884735,8.629227171887408,0.4403048822011357
8,sm11-9_neut->an,4.4,4.9544644,4.110667,5.4865522,4.8349814,4.4192743,3.6758494,4.7252197,4.818058,5.3489437,4.7697845,3.780105,4.679293,3.7823381,3.5543337,4.714356,5.067239,4.6020494,5.6178064,5.157794,4.58984,3.8526697,4.0514307,4.8036504,4.752633,5.1421103,3.7824345,4.9654007,4.0698924,4.477305,4.7754846,4.4253826,5.611369,4.2345324,4.9171696,4.924533,4.375073,5.344644,4.8372407,3.4599528,5.8214674,4.2060046,4.2627378,4.787822,3.724329,4.328614,5.370819,5.924969,5.094241,4.5653276,4.253083,4.057097,4.761241,4.268658,4.7259254,3.5820599,4.578743,6.2604733,4.3141375,4.468995,3.9338155,4.6954355,3.5957718,3.8457928,4.392502,6.307021,4.7290382,5.664921,5.325596,4.816196,5.3119464,4.9490633,4.428138,4.2702007,4.116174,5.1260586,6.453523,5.070873,4.416724,4.452394,3.8545933,4.392115,5.0494995,4.3293004,4.324584,4.5815268,4.8893237,4.821931,5.178196,5.357545,5.1990147,4.671729857057005,0.6270538963295289
9,sm11-10_neut->an,4.65,4.0634465,5.965618,5.970854,5.406446,5.8025503,4.406929,5.6161256,6.467176,5.9315004,4.8763633,5.4337015,5.4187,5.767787,5.056222,5.6962957,5.9927797,5.1516047,5.6007066,5.957272,4.8463097,4.7950506,5.1502914,5.8446546,5.306777,5.5773396,6.238051,5.9200926,4.8653646,5.491785,5.165408,6.1643605,5.357454,5.62949,5.476291,5.3986607,5.691453,6.1574297,5.7387667,5.4045653,5.1395965,4.872047,5.223914,4.8629904,5.3825655,5.006423,5.9178104,5.4948196,5.0147405,5.2973633,4.731572,5.2689323,5.251813,5.2255483,5.881694,4.8967566,6.2155404,5.5818615,4.6626463,5.2377005,5.091529,5.774714,4.7370424,5.2913194,5.6775675,5.962032,5.5252304,6.478244,6.3821673,5.978622,5.406641,5.358592,5.2092247,5.168023,5.0025735,5.582513,5.243299,6.7348957,4.9476004,5.496279,5.2157326,6.1040735,5.596818,4.3043265,6.28426,5.903984,5.9810743,5.461537,5.6135073,5.1779747,5.101141,5.455060942094405,0.5043500705580028
