,compn,exp. pKa,pKa predicted by models:4-2,pKa predicted by models:4-3,pKa predicted by models:4-9,pKa predicted by models:4-8,pKa predicted by models:4-5,pKa predicted by models:4-4,pKa predicted by models:5-2,pKa predicted by models:4-7,pKa predicted by models:4-6,pKa predicted by models:5-3,pKa predicted by models:5-9,pKa predicted by models:5-8,pKa predicted by models:5-5,pKa predicted by models:6-2,pKa predicted by models:4-0,pKa predicted by models:5-4,pKa predicted by models:6-3,pKa predicted by models:5-7,pKa predicted by models:5-6,pKa predicted by models:6-9,pKa predicted by models:6-8,pKa predicted by models:6-5,pKa predicted by models:4-1,pKa predicted by models:6-4,pKa predicted by models:6-7,pKa predicted by models:6-6,pKa predicted by models:5-0,pKa predicted by models:5-1,pKa predicted by models:6-0,consensus
0,sm11-1_neut->an,3.61,4.5643997,3.562451,4.7145195,4.5138965,4.4475365,3.3391724,4.9048033,3.9047046,4.224036,3.8352013,4.640502,4.1030903,4.0792017,4.8533683,3.7225502,3.5523877,3.7831855,4.3238397,3.658135,5.1580496,4.222134,4.1256275,3.4835963,3.5531769,3.6490054,3.4155045,3.702334,3.3036962,4.2228527,4.039098600069682
1,sm11-2_neut->an,2.91,3.3351727,2.9498816,3.9968195,4.084072,3.3787847,3.190648,3.7150826,4.1039233,3.4825022,2.747179,3.8100939,2.9323816,3.263194,3.7791061,3.3088102,3.5377078,2.6660838,3.4046965,3.467317,3.8331723,3.1044798,3.5390756,3.2654428,3.28371,3.7033904,3.0536675,3.7112591,3.9378214,3.2729,3.425612534205119
2,sm11-3_cation->neut,5.02,5.884233,5.6322684,5.575482,6.554686,4.9897447,6.575129,5.227387,5.374836,6.0950823,5.448339,6.3257866,5.2893953,5.9817886,5.001011,6.905873,5.83976,5.9369144,6.363412,5.650816,6.2597847,5.6635637,5.05153,6.134243,5.5928755,5.7531767,6.065937,6.468534,5.9919147,7.3651824,5.867289511998494
3,sm11-4_cation->neut,6.1,5.881428,4.910861,5.267784,5.9922404,5.590755,6.5061274,5.790704,6.578818,6.666866,4.7368245,5.767854,5.4111443,6.1603785,5.539478,6.670086,6.039319,5.6937957,5.678388,6.71107,5.271258,5.392322,5.669218,6.0378804,5.873377,5.3896804,6.296846,7.0665474,5.970622,6.7732544,5.914497553507487
4,sm11-5_cation->neut,8.99,9.275961,9.453646,9.559495,9.5184355,8.742611,10.409909,9.631859,9.348558,10.023383,9.331942,9.873431,10.179773,9.079605,9.601511,9.257309,10.439316,9.982098,8.823522,9.62611,10.404647,9.330449,8.878097,9.163172,10.283144,9.182719,9.840007,9.844741,9.249965,9.348645,9.555801971435548
5,sm11-6_neut->an,4.24,4.493756,4.638039,4.128608,4.9367456,4.525075,4.6968207,4.2062206,4.675433,4.6567135,4.4220166,4.5358934,4.2954736,4.487747,4.935499,3.7974985,4.500514,4.71179,4.6604495,4.4947853,4.6686907,4.6685104,4.216919,4.720436,4.81927,4.1075854,4.1103487,4.133783,4.3086267,4.1054735,4.463290754636129
6,sm11-7_cation->neut,4.58,5.814526,5.3220096,5.032241,4.582319,4.3446064,5.041231,5.613228,4.3028145,4.9438057,4.7989273,5.844629,3.9860353,4.227955,5.299137,4.191759,4.88618,5.171427,4.169364,5.629587,4.720299,4.4814205,4.5560203,4.7352605,4.8064337,4.6271267,5.0721164,4.7268014,4.885044,4.920622,4.843764180501301
7,sm11-8_neut->an,8.5,8.827461,8.118702,9.552177,9.542174,8.667007,8.019711,8.307335,8.962557,8.684428,8.419556,9.616342,8.864139,8.945819,8.309498,8.224133,8.632652,8.037378,8.505844,8.355133,9.986843,9.100105,8.802172,7.958565,8.913664,8.487373,7.968111,8.374489,8.35547,8.7368965,8.65919114748637
8,sm11-9_neut->an,4.4,4.4192743,3.6758494,3.780105,4.679293,4.714356,5.067239,4.6020494,5.6178064,4.58984,3.8526697,4.0514307,4.8036504,4.752633,5.1421103,3.7824345,4.9654007,4.0698924,4.477305,4.7754846,4.4253826,5.611369,4.2345324,4.924533,5.344644,4.8372407,4.2060046,4.2627378,4.057097,4.7259254,4.561609678268433
9,sm11-10_neut->an,4.65,5.8025503,4.406929,5.4337015,5.4187,5.6962957,5.9927797,5.1516047,5.6007066,4.8463097,4.7950506,5.1502914,5.8446546,5.306777,5.5773396,6.238051,5.9200926,4.8653646,5.491785,5.165408,6.1643605,5.357454,5.62949,5.3986607,6.1574297,5.7387667,4.872047,5.223914,5.2689323,5.881694,5.4349046834309895
