,compn,exp. pKa,pKa predicted by models:8-9,pKa predicted by models:5-2,pKa predicted by models:5-3,pKa predicted by models:5-9,pKa predicted by models:5-8,pKa predicted by models:5-5,pKa predicted by models:6-2,pKa predicted by models:5-4,pKa predicted by models:6-3,pKa predicted by models:5-7,pKa predicted by models:5-6,pKa predicted by models:6-9,pKa predicted by models:6-8,pKa predicted by models:6-5,pKa predicted by models:7-2,pKa predicted by models:7-3,pKa predicted by models:6-4,pKa predicted by models:6-7,pKa predicted by models:7-9,pKa predicted by models:7-8,pKa predicted by models:6-6,pKa predicted by models:5-0,pKa predicted by models:8-2,pKa predicted by models:7-5,pKa predicted by models:8-3,pKa predicted by models:7-4,pKa predicted by models:8-8,pKa predicted by models:7-7,pKa predicted by models:7-6,pKa predicted by models:9-2,pKa predicted by models:5-1,pKa predicted by models:8-5,pKa predicted by models:9-3,pKa predicted by models:6-0,pKa predicted by models:9-9,pKa predicted by models:8-4,pKa predicted by models:9-8,pKa predicted by models:10-2,pKa predicted by models:8-7,pKa predicted by models:8-6,pKa predicted by models:9-5,pKa predicted by models:10-3,pKa predicted by models:10-9,pKa predicted by models:6-1,pKa predicted by models:10-8,pKa predicted by models:11-2,pKa predicted by models:9-4,pKa predicted by models:11-4,pKa predicted by models:7-0,pKa predicted by models:9-7,pKa predicted by models:10-5,pKa predicted by models:11-3,pKa predicted by models:9-6,pKa predicted by models:11-9,pKa predicted by models:11-7,pKa predicted by models:11-8,pKa predicted by models:10-4,pKa predicted by models:11-6,pKa predicted by models:10-7,pKa predicted by models:11-5,pKa predicted by models:8-0,pKa predicted by models:7-1,pKa predicted by models:10-6,pKa predicted by models:9-0,pKa predicted by models:8-1,pKa predicted by models:10-0,pKa predicted by models:9-1,pKa predicted by models:11-0,pKa predicted by models:10-1,pKa predicted by models:11-1,consensus,std. dev.
0,sm11-1_neut->an,3.61,4.7584476,4.895913,3.8433633,4.6618385,4.127304,4.076741,4.853282,3.5383663,3.8046255,4.326972,3.6545215,5.1949224,4.2287917,4.1146126,4.778158,4.8035407,3.5372686,3.6573834,4.0803385,4.2446456,3.4017124,3.7476456,3.7997024,3.4885998,3.936132,3.5479655,4.1368194,4.070643,3.9020557,4.475836,3.3260732,3.9479237,3.924652,4.2421465,4.1467066,3.4055133,3.9683585,4.1431594,4.132058,3.5748444,4.327017,3.9140606,4.695589,3.5412474,4.6025605,4.1938553,3.6533694,3.2030973,4.114776,4.436901,3.8784904,4.246755,3.9269001,4.619427,4.0741096,4.3078313,3.929346,3.7886562,4.562549,3.5065331,4.121162,3.8684297,3.747054,4.408787,3.2517266,4.4091444,3.6842165,4.5196533,3.732668,3.8192077,4.044995846681192,0.4333549794961961
1,sm11-2_neut->an,2.91,3.7989068,3.7134492,2.759667,3.8372388,2.9170542,3.2835813,3.7740698,3.529327,2.6591816,3.3776155,3.4467554,3.8763666,3.0990963,3.5172756,3.6719203,2.8175373,3.2741022,3.6959722,3.4750714,3.1787152,3.0705876,3.737537,3.3586519,2.9896498,3.0164638,2.6857615,2.9912343,3.5621831,3.36629,3.486485,3.9157784,3.323606,3.3151455,3.2901113,4.3537436,2.9247737,2.9322906,3.7285132,3.8270943,3.0981722,3.4392793,2.8041496,4.1075277,3.7155564,2.8104892,3.9021578,3.3917089,3.1785083,3.1880417,3.97013,3.487122,3.170917,2.9132795,3.6605954,3.912069,2.637075,3.6270692,3.393406,4.4412756,3.1808743,3.1257303,4.254337,3.0309668,3.429236,4.1857853,3.056302,4.2572937,3.4491546,4.0149837,4.3206673,3.431586825142444,0.4467936060764087
2,sm11-3_cation->neut,5.02,6.160307,5.209651,5.4448705,6.3213005,5.272077,5.963318,4.984949,5.8128777,5.918691,6.3584175,5.6846924,6.2275352,5.622196,5.031448,5.581633,5.8415985,5.586892,5.757345,5.9743223,5.7252464,6.037552,6.478153,5.2013383,6.452818,5.9088006,5.6703978,6.554411,5.8074694,5.0234566,5.3365307,6.0228276,6.285231,5.852663,7.4088383,6.4605064,5.7171874,5.635595,5.110676,5.9779496,5.1775684,5.584964,5.758543,6.791463,5.7754955,4.9852524,5.177448,5.2560253,5.425479,7.073664,5.3734317,5.073599,6.105927,5.9409494,6.6729517,5.676033,5.5917563,5.75133,5.153185,5.3275814,5.109972,6.9508686,5.6834,5.6193457,5.6554236,5.59684,6.498645,5.561081,6.8670235,5.1163826,5.0410967,5.772035142334414,0.5528183283175708
3,sm11-4_cation->neut,6.1,5.543716,5.781634,4.6963553,5.769166,5.411837,6.198061,5.5407076,6.0114865,5.6608076,5.6693788,6.7353716,5.2622404,5.360756,5.676425,5.592506,4.974572,5.83747,5.4045715,5.329445,5.6818914,6.3163238,7.099738,6.1311274,6.190817,5.088478,7.034287,5.7990065,5.9008904,6.2013416,5.6274624,5.9663506,5.801429,5.1822233,6.761364,4.668741,6.4216833,5.6659493,6.132059,5.6729264,5.5202827,5.4992943,5.524284,5.7479467,6.1044235,5.511612,5.763677,6.9084215,6.8000336,7.1398535,6.1938915,6.1692924,5.43256,6.1495886,5.0239687,7.0864067,6.187023,6.5969334,6.022589,5.975963,5.6123304,7.371479,6.4169197,5.966634,7.6349335,5.951682,7.2169666,5.467289,7.411705,5.4195595,6.00428,5.9680622678407484,0.6416909510868545
4,sm11-5_cation->neut,8.99,9.950718,9.6524725,9.316667,9.869945,10.170408,9.087893,9.611725,10.4219,10.000337,8.824372,9.618372,10.400537,9.32232,8.857893,10.066128,9.652575,10.263928,9.170153,9.414061,9.836127,9.841613,9.834297,9.278372,9.362198,9.997786,9.959766,10.0286455,9.398219,9.4959755,9.160572,9.251332,9.288794,9.499559,9.346516,9.493357,10.411502,9.537437,9.418263,9.417355,9.758723,9.436212,9.903696,9.705555,9.288424,9.053996,9.520279,10.444015,9.881395,8.951685,9.41741,8.894772,9.379794,10.143391,9.333669,9.284102,9.180898,10.046526,9.746855,9.393093,8.981562,9.30135,9.629543,10.157111,9.484002,9.61608,9.068491,9.675743,9.396588,9.292305,9.823267,9.573388989408251,0.4003036153201923
5,sm11-6_neut->an,4.24,4.752857,4.21484,4.404008,4.530367,4.321998,4.4868274,4.9405394,4.449019,4.6864824,4.649722,4.4968266,4.7022405,4.677026,4.205804,4.7365355,5.3719654,4.8088403,4.105859,3.8148832,4.705667,4.104629,4.1239314,4.4605637,4.3663206,4.5031476,4.4187922,4.1768317,4.003422,4.3449974,4.54192,4.2987847,4.118869,4.4206676,4.0677524,4.3097577,4.1501875,4.9279532,4.67775,4.293826,4.077138,4.793149,4.264673,4.6376634,5.0120173,4.6975064,4.617117,5.067168,5.0644193,4.2509747,4.720195,4.7682414,4.2340975,4.5499353,4.2235627,4.525341,4.5681,4.7106266,4.333639,5.0059185,4.2414064,4.293391,5.0024033,4.3159223,4.2504907,4.6328535,4.498252,4.7287107,4.4373155,4.975144,4.351134,4.499449545094665,0.30212695848279864
6,sm11-7_cation->neut,4.58,4.6111436,5.630349,4.795713,5.8112307,3.9991622,4.2121296,5.2990136,4.873623,5.163107,4.212665,5.6339383,4.69769,4.5061216,4.5598483,5.586943,5.3412857,4.794648,4.6539803,5.179648,4.573518,5.0763564,4.728777,5.393011,4.544442,5.095241,4.5901136,4.8807077,4.8492713,4.4625077,5.5133433,4.874009,3.9783611,5.4483924,4.9212356,5.1367555,4.8216314,4.409755,5.6139965,4.779808,5.3286333,4.7844386,4.953824,5.1488,4.5508914,4.278813,5.2483044,4.853307,4.524229,5.0633793,5.065222,4.4865656,4.954071,5.7090244,4.850952,5.0987964,4.8160276,4.819046,4.8139634,5.1879945,4.7411566,4.2196865,4.9020147,5.4239492,4.457535,4.7469664,4.779112,5.0254173,4.4482727,4.453969,4.592672,4.875500109229289,0.4104676216492192
7,sm11-8_neut->an,8.5,9.236207,8.304367,8.417998,9.613806,8.901855,8.950682,8.306737,8.64299,8.0500145,8.495829,8.35102,9.9854965,9.103314,8.803105,8.5745945,8.282047,8.929705,8.482612,9.081884,9.223181,7.958896,8.367172,8.178779,8.535395,8.736798,8.698043,9.382004,8.577385,8.039015,8.179778,8.351561,8.943182,8.647602,8.733223,9.325511,8.685274,8.994011,8.468252,9.069007,8.055206,8.610106,8.800601,9.002138,8.495274,8.855193,8.386686,8.825642,8.674587,8.129762,8.785271,7.9903855,8.323775,8.142589,9.397562,8.744068,8.793818,9.263002,7.905105,9.036664,8.189552,8.757551,8.566776,8.053058,8.859969,8.225773,8.512153,8.42956,8.441819,7.9138823,8.391924,8.629123734756254,0.42488445655053925
8,sm11-9_neut->an,4.4,3.5463233,4.591302,3.8616576,4.0509253,4.8236604,4.7485557,5.1406846,4.969615,4.081471,4.4851713,4.7719936,4.439386,5.638159,4.231826,4.920848,4.391927,5.3307624,4.839654,3.4689193,5.841925,4.210513,4.2597127,4.7884364,3.7274375,4.3393097,5.3733115,5.959491,5.0932717,4.5602703,4.2397532,4.052087,4.746565,4.28751,4.725481,3.5953655,4.5886197,6.279194,4.309767,4.4827957,3.9413276,4.705424,3.6186762,3.8471017,4.396148,6.318973,4.7312145,5.6634254,5.3266983,4.8190627,5.3075924,4.9434233,4.4453797,4.273774,4.1052437,5.1296825,6.478702,5.0815506,4.404765,4.4441137,3.849606,4.395092,5.0369186,4.3370304,4.3200254,4.5567064,4.890599,4.8146853,5.1685834,5.3398223,5.2024546,4.677288154816963,0.6457061707810894
9,sm11-10_neut->an,4.65,5.1132207,5.1645813,4.797104,5.1985283,5.8725038,5.309762,5.5592422,5.8830767,4.8552375,5.4565544,5.1356006,6.237676,5.3712716,5.6522074,5.4714313,5.67792,6.0958037,5.73701,5.4421773,5.1418176,4.8341475,5.234141,4.84732,5.4285345,5.004263,5.884961,5.5200753,4.9938135,5.279312,4.746526,5.271378,5.265855,5.232099,5.877861,4.896806,6.191388,5.6187077,4.6514635,5.2300043,5.064988,5.808842,4.7168355,5.3097615,5.70383,5.9869127,5.4507756,6.4111114,6.3357797,5.999554,5.4031296,5.376366,5.1978045,5.1257715,4.993302,5.5795293,5.2478046,6.7026253,4.9048996,5.478241,5.263452,6.103303,5.603967,4.290345,6.3319454,5.90947,5.9822907,5.4819527,5.64802,5.207175,5.112487,5.430473997895146,0.47568145925271477
10,sm11-11_neut->an,3.73,5.0027556,4.926154,4.141138,4.81933,4.071148,5.1216273,4.775937,4.8149214,4.2639914,4.423805,4.6982155,4.6436157,4.4979253,5.80684,4.3949075,4.119461,4.9685783,4.3428116,4.3245554,3.9814377,4.7196865,5.082161,4.8841734,5.031504,4.700251,4.742798,3.855649,4.9222736,4.047982,5.109336,5.4336424,4.526042,4.5336013,5.2086296,4.8001275,5.0105653,4.5841737,4.7341194,4.861598,4.3734646,4.7469225,4.3854437,5.4071584,5.432221,4.466534,5.661561,5.1376243,5.211837,4.887365,5.0388913,4.4181347,4.7213984,4.714962,4.421498,5.000683,4.1152587,5.492549,4.5759172,4.6386204,4.8823338,4.8013678,4.969677,4.351233,4.9140368,5.204244,4.5940137,4.9374466,4.466663,4.4033694,4.866396,4.730933726404754,0.41530342949972604
11,sm11-11_cation->neut,1.67,0.1748929,0.680686,0.8048897,1.5709295,1.0923748,1.6509919,1.0537095,1.503519,1.4211249,2.0346656,2.0653274,1.5175738,1.0408602,1.4325581,0.9851117,1.3586855,1.1825166,1.2545395,2.0287352,0.7451272,1.8106482,2.5058777,1.6035976,1.8790469,1.5012393,1.7692156,1.3533258,0.22455883,2.4540682,1.3034792,1.5890515,1.68716,1.4305544,2.751555,0.49443913,1.6868033,1.5125995,1.1687818,1.3282471,1.6848576,1.4481492,1.2915583,1.0667119,1.5772371,1.0809155,1.3627737,2.1665883,1.6368794,2.4691408,1.0978527,1.798023,1.642168,2.5611916,1.0504932,1.337013,2.065545,2.0756521,2.814296,1.2853477,1.3433795,3.0691705,1.3170202,1.9170201,2.5372112,1.1400313,2.754138,0.84413147,3.0066614,0.94978094,0.26051617,1.5489369435377525,0.6274230163812209
