,compn,exp. pKa,pKa predicted by models:8-9,pKa predicted by models:5-2,pKa predicted by models:5-3,pKa predicted by models:5-9,pKa predicted by models:5-8,pKa predicted by models:5-5,pKa predicted by models:6-2,pKa predicted by models:5-4,pKa predicted by models:6-3,pKa predicted by models:5-7,pKa predicted by models:5-6,pKa predicted by models:6-9,pKa predicted by models:6-8,pKa predicted by models:6-5,pKa predicted by models:7-2,pKa predicted by models:7-3,pKa predicted by models:6-4,pKa predicted by models:6-7,pKa predicted by models:7-9,pKa predicted by models:7-8,pKa predicted by models:6-6,pKa predicted by models:5-0,pKa predicted by models:8-2,pKa predicted by models:7-5,pKa predicted by models:8-3,pKa predicted by models:7-4,pKa predicted by models:8-8,pKa predicted by models:7-7,pKa predicted by models:7-6,pKa predicted by models:5-1,pKa predicted by models:8-5,pKa predicted by models:6-0,pKa predicted by models:8-4,pKa predicted by models:8-7,pKa predicted by models:8-6,pKa predicted by models:6-1,pKa predicted by models:7-0,pKa predicted by models:8-0,pKa predicted by models:7-1,pKa predicted by models:8-1,consensus,std. dev.
0,sm11-1_neut->an,3.61,4.7584476,4.895913,3.8433633,4.6618385,4.127304,4.076741,4.853282,3.5383663,3.8046255,4.326972,3.6545215,5.1949224,4.2287917,4.1146126,4.778158,4.8035407,3.5372686,3.6573834,4.0803385,4.2446456,3.4017124,3.7476456,3.7997024,3.4885998,3.936132,3.5479655,4.1368194,4.070643,3.9020557,3.3260732,3.9479237,4.2421465,3.4055133,4.132058,3.5748444,3.5412474,4.114776,4.121162,3.8684297,3.2517266,4.008493013149355,0.4738875387255765
1,sm11-2_neut->an,2.91,3.7989068,3.7134492,2.759667,3.8372388,2.9170542,3.2835813,3.7740698,3.529327,2.6591816,3.3776155,3.4467554,3.8763666,3.0990963,3.5172756,3.6719203,2.8175373,3.2741022,3.6959722,3.4750714,3.1787152,3.0705876,3.737537,3.3586519,2.9896498,3.0164638,2.6857615,2.9912343,3.5621831,3.36629,3.9157784,3.323606,3.2901113,2.9247737,3.8270943,3.0981722,3.7155564,3.1880417,3.1257303,4.254337,4.1857853,3.3717133861634787,0.39871645459734206
2,sm11-3_cation->neut,5.02,6.160307,5.209651,5.4448705,6.3213005,5.272077,5.963318,4.984949,5.8128777,5.918691,6.3584175,5.6846924,6.2275352,5.622196,5.031448,5.581633,5.8415985,5.586892,5.757345,5.9743223,5.7252464,6.037552,6.478153,5.2013383,6.452818,5.9088006,5.6703978,6.554411,5.8074694,5.0234566,6.0228276,6.285231,7.4088383,5.7171874,5.9779496,5.1775684,5.7754955,7.073664,6.9508686,5.6834,5.59684,5.861064294954625,0.5495411354672718
3,sm11-4_cation->neut,6.1,5.543716,5.781634,4.6963553,5.769166,5.411837,6.198061,5.5407076,6.0114865,5.6608076,5.6693788,6.7353716,5.2622404,5.360756,5.676425,5.592506,4.974572,5.83747,5.4045715,5.329445,5.6818914,6.3163238,7.099738,6.1311274,6.190817,5.088478,7.034287,5.7990065,5.9008904,6.2013416,5.9663506,5.801429,6.761364,6.4216833,5.6729264,5.5202827,6.1044235,7.1398535,7.371479,6.4169197,5.951682,5.929970778488531,0.5893949315154641
4,sm11-5_cation->neut,8.99,9.950718,9.6524725,9.316667,9.869945,10.170408,9.087893,9.611725,10.4219,10.000337,8.824372,9.618372,10.400537,9.32232,8.857893,10.066128,9.652575,10.263928,9.170153,9.414061,9.836127,9.841613,9.834297,9.278372,9.362198,9.997786,9.959766,10.0286455,9.398219,9.4959755,9.251332,9.288794,9.346516,10.411502,9.417355,9.758723,9.288424,8.951685,9.30135,9.629543,9.61608,9.608700083290659,0.42142876792268513
5,sm11-6_neut->an,4.24,4.752857,4.21484,4.404008,4.530367,4.321998,4.4868274,4.9405394,4.449019,4.6864824,4.649722,4.4968266,4.7022405,4.677026,4.205804,4.7365355,5.3719654,4.8088403,4.105859,3.8148832,4.705667,4.104629,4.1239314,4.4605637,4.3663206,4.5031476,4.4187922,4.1768317,4.003422,4.3449974,4.2987847,4.118869,4.0677524,4.1501875,4.293826,4.077138,5.0120173,4.2509747,4.293391,5.0024033,4.6328535,4.439100980526064,0.31800334119965434
6,sm11-7_cation->neut,4.58,4.6111436,5.630349,4.795713,5.8112307,3.9991622,4.2121296,5.2990136,4.873623,5.163107,4.212665,5.6339383,4.69769,4.5061216,4.5598483,5.586943,5.3412857,4.794648,4.6539803,5.179648,4.573518,5.0763564,4.728777,5.393011,4.544442,5.095241,4.5901136,4.8807077,4.8492713,4.4625077,4.874009,3.9783611,4.9212356,4.8216314,4.779808,5.3286333,4.5508914,5.0633793,4.2196865,4.9020147,4.7469664,4.842019583074058,0.43140223500135977
7,sm11-8_neut->an,8.5,9.236207,8.304367,8.417998,9.613806,8.901855,8.950682,8.306737,8.64299,8.0500145,8.495829,8.35102,9.9854965,9.103314,8.803105,8.5745945,8.282047,8.929705,8.482612,9.081884,9.223181,7.958896,8.367172,8.178779,8.535395,8.736798,8.698043,9.382004,8.577385,8.039015,8.351561,8.943182,8.733223,8.685274,9.069007,8.055206,8.495274,8.129762,8.757551,8.566776,8.225773,8.651793165904719,0.43925065141315617
8,sm11-9_neut->an,4.4,3.5463233,4.591302,3.8616576,4.0509253,4.8236604,4.7485557,5.1406846,4.969615,4.081471,4.4851713,4.7719936,4.439386,5.638159,4.231826,4.920848,4.391927,5.3307624,4.839654,3.4689193,5.841925,4.210513,4.2597127,4.7884364,3.7274375,4.3393097,5.3733115,5.959491,5.0932717,4.5602703,4.052087,4.746565,4.725481,4.5886197,4.4827957,3.9413276,4.396148,4.8190627,4.395092,5.0369186,4.5567064,4.60066641598213,0.5530634619232643
9,sm11-10_neut->an,4.65,5.1132207,5.1645813,4.797104,5.1985283,5.8725038,5.309762,5.5592422,5.8830767,4.8552375,5.4565544,5.1356006,6.237676,5.3712716,5.6522074,5.4714313,5.67792,6.0958037,5.73701,5.4421773,5.1418176,4.8341475,5.234141,4.84732,5.4285345,5.004263,5.884961,5.5200753,4.9938135,5.279312,5.271378,5.265855,5.877861,6.191388,5.2300043,5.064988,5.70383,5.999554,6.103303,5.603967,5.90947,5.440753480864735,0.41107823357036033
