,compn,exp. pKa,pKa predicted by models:6-2,pKa predicted by models:6-3,pKa predicted by models:6-9,pKa predicted by models:6-8,pKa predicted by models:6-5,pKa predicted by models:6-4,pKa predicted by models:6-7,pKa predicted by models:6-6,pKa predicted by models:6-0,pKa predicted by models:6-1,consensus,std. dev.
0,sm11-1_neut->an,3.61,4.843826,3.7945027,5.174402,4.2201405,4.1161146,3.542616,3.6515799,3.4102778,4.23432,3.5278206,4.011418200406161,0.5479159213049953
1,sm11-2_neut->an,2.91,3.7753706,2.6486907,3.8528209,3.1049986,3.5302818,3.2765179,3.702232,3.0646577,3.2794862,3.7269812,3.3520033931732174,0.3777518338455295
2,sm11-3_cation->neut,5.02,4.9990273,5.9257936,6.244876,5.6634693,5.057148,5.5907607,5.758999,6.0631876,7.3738413,5.780141,5.770658494775945,0.6478493238486971
3,sm11-4_cation->neut,6.1,5.5406165,5.6815186,5.255787,5.3827977,5.6748285,5.859347,5.3979406,6.2957554,6.763237,6.100271,5.822918120297518,0.43488442140710687
4,sm11-5_cation->neut,8.99,9.613649,9.987711,10.402115,9.3284,8.876333,10.272982,9.182924,9.838956,9.352596,9.290758,9.55785675395619,0.4847411300993438
5,sm11-6_neut->an,4.24,4.941613,4.6973286,4.689356,4.6751547,4.21076,4.812431,4.106145,4.1096563,4.077231,5.0023375,4.505637536482378,0.34213040474651496
6,sm11-7_cation->neut,4.58,5.297,5.1734343,4.7213993,4.4899945,4.5636435,4.804894,4.64102,5.071595,4.916453,4.5748835,4.803119709708474,0.26219392960305005
7,sm11-8_neut->an,8.5,8.306612,8.046714,9.988628,9.098078,8.80435,8.917709,8.482922,7.9651184,8.738424,8.492811,8.667396978898482,0.5324674389776798
8,sm11-9_neut->an,4.4,5.14054,4.0699177,4.433045,5.62682,4.23127,5.340241,4.838811,4.2095475,4.7241516,4.393544,4.673444349115545,0.4850032437544393
9,sm11-10_neut->an,4.65,5.56494,4.8605385,6.204003,5.3599167,5.6388206,6.1216435,5.7399683,4.850688,5.876684,5.693228,5.505493675578724,0.49677782705702483
10,sm11-11_neut->an,3.73,4.778703,4.2704005,4.637523,4.4970655,5.81847,4.9626884,4.360373,4.7224274,5.208132,5.4621296,4.7679920612682,0.5560209934117963
11,sm11-11_cation->neut,1.67,1.0655994,1.4252758,1.5010295,1.0520134,1.4124966,1.1680083,1.2122543,1.8080924,2.7718124,1.5750837,1.5146968945589934,0.46124760508278645
12,sm11-12_cation->neut,1.98,1.2576122,2.242834,2.2703927,1.7374411,1.8986728,1.7059076,1.1675532,1.7021906,2.587917,1.5133009,1.8239838409423828,0.41260778159311384
13,sm11-12_neut->an,3.67,4.105891,5.2561893,4.2496934,5.1482296,4.7074547,5.46358,5.1155205,4.04928,4.592205,4.4287653,4.616982669830322,0.5490056102706186
14,sm11-13_neut->an,8.15,8.261014,8.2325115,9.844721,8.793071,8.682667,8.2342205,8.066084,8.545204,8.911128,8.170279,8.535536280545323,0.495755889180025
15,sm11-14_neut->an,7.41,9.012098,7.9864902,9.76991,8.546257,8.903722,8.400822,9.241304,8.001964,8.233318,9.117582,8.602133417996493,0.6492675065225645
16,sm11-15_neut->an,5.18,5.820276,5.4563055,7.3386707,6.9160795,6.1125383,5.7061634,5.817275,6.0724945,5.6184063,5.161204,5.9272193631258885,0.6438604931921775
17,sm11-16_neut->an,9.46,9.467493,9.146307,11.621914,9.937384,9.217368,9.214697,9.349651,8.899202,10.076576,9.472578,9.623924598693849,0.7090763183839941
18,sm11-17_neut->an,3.79,4.2758512,4.129682,4.2667003,3.7652597,3.5250177,3.7440472,3.2895043,3.5444245,3.8494272,4.5414934,3.883764335458929,0.36105725900617874
19,sm11-18_neut->an,8.96,9.204973,8.693229,9.599489,8.76881,9.269159,8.628063,9.559004,8.868164,9.145919,9.1306,9.075219150890005,0.3114949140288499
20,sm11-19_cation->neut,6.76,5.7837825,8.033346,7.2850723,6.1259284,7.921142,6.274022,7.80513,7.8655777,7.622816,5.5473585,7.002197808352383,0.890397079324482
21,sm11-20_neut->an,4.24,4.678065,4.360578,4.6786757,4.299923,5.4264235,4.805688,4.140063,4.1581125,4.755752,4.3428755,4.5351050758361815,0.3649894276018221
22,sm11-21_neut->an,3.05,5.4705286,4.760784,4.5913224,4.944379,4.238723,4.8672404,3.940208,4.2917547,3.588275,3.8271518,4.324578788063743,0.6621987957166184
23,sm11-22_neut->an,8.93,9.030081,8.828832,10.478412,9.940484,8.76914,8.05111,9.044279,9.113737,9.04261,9.11594,9.122238651622427,0.5973267764128338
24,sm11-23_neut->an,3.16,3.9747066,4.134986,3.5376883,3.0558882,3.4981346,5.707445,4.609557,3.7101927,5.6233263,4.397808,4.128157542835582,0.856265563279081
25,sm11-23_cation->neut,3.16,1.7793465,1.3551192,2.7876372,1.5590472,1.2945461,2.1243165,2.007961,2.1975117,1.4108033,0.834671,1.8646327070756392,0.6523204705116922
26,sm11-24_cation->neut,7.63,7.730088,7.314452,7.653866,7.5504837,7.407857,7.287918,7.9357023,6.7795978,6.814129,7.6237545,7.429804401397704,0.3469751892203909
27,sm11-25_cation->neut,5.75,6.4713955,5.3703566,5.9830317,5.787117,5.608569,5.366039,6.2242837,6.0771494,5.5766435,4.8837194,5.736209522594105,0.4261908709909025
28,sm11-26_neut->an,9.24,9.386054,8.193748,10.633434,9.007383,9.3118305,9.642145,9.972797,9.677468,9.906575,9.745538,9.519724953391336,0.5913143254931844
29,sm11-27_cation->neut,4.47,5.040904,4.833135,4.271037,3.566162,3.981975,4.3164287,4.6719184,4.5652833,5.404354,4.9784794,4.554516117789529,0.4934946151137817
30,sm11-28_cation->neut,5.95,5.357516,5.6100206,5.1439457,5.7432766,6.294036,5.725425,5.859067,6.5424585,6.729045,5.566424,5.865564883839,0.46346243321217645
31,sm11-29_neut->an,3.28,3.9896283,3.5787582,4.0728207,3.8891773,3.3947763,3.410892,3.1560986,3.3194323,3.6085806,3.5529819,3.568467836380005,0.28712317742591603
32,sm11-30_neut->an,7.89,8.486965,9.287745,8.649738,7.9709506,8.393427,7.645999,8.556547,7.864319,8.355293,8.426116,8.32064551786943,0.438555681032674
33,sm11-31_neut->an,2.87,3.1484246,3.0400763,4.2325935,3.2863412,2.3741112,2.911735,2.8571014,2.3199177,3.2086897,2.7318053,2.998254179521041,0.4898719503482073
34,sm11-32_cation->neut,6.64,8.268317,7.8943596,8.006965,7.9470463,7.1704473,6.8776603,7.5837917,7.8599815,7.9176955,7.3858047,7.595642622167414,0.49190735960676113
35,sm11-33_cation->neut,6.79,7.266609,6.940238,6.918309,6.47635,7.465906,6.1290655,7.5509624,7.3400836,6.5562735,6.5975,6.911936113184148,0.4335937159066506
36,sm11-34_neut->an,4.04,4.569928,4.1136637,4.596709,4.224391,4.3446093,4.9096675,3.511491,3.929955,4.290133,4.794057,4.302236755544489,0.386762069559883
37,sm11-35_cation->neut,6.3,6.5746894,6.7801037,7.1525087,6.5914884,6.185134,7.566449,7.3595867,6.4656982,6.8743763,6.5368643,6.762445345791903,0.4176294763727191
38,sm6-1_neut->an,9.53,10.429323,9.761215,11.573446,9.912037,9.831239,10.056989,9.797787,9.215256,10.567208,9.439082,10.010325629494407,0.6229935350440962
39,sm6-2_cation->neut,5.03,5.0339856,4.4727707,5.864746,5.288744,4.5980673,5.2596154,5.374289,4.647323,5.845049,4.2365026,5.059190254211426,0.510178711674826
40,sm6-3_neut->an,7.02,7.4304113,7.8771505,7.303715,6.2082963,7.5323944,7.4402637,7.858159,6.477728,5.881305,6.9606476,7.090006483251398,0.6270043915668737
41,sm6-4_cation->neut,6.02,6.2209682,5.789637,6.832127,6.30527,5.584011,6.324505,6.9156084,5.8221264,6.4938636,5.2516365,6.141795767003839,0.4871266024056215
42,sm6-5_cation->neut,4.59,4.1769056,4.3474264,3.6987574,3.869629,3.738125,3.5639591,3.9361103,3.1317723,4.0615373,4.6250772,3.9762999655983666,0.4277622130884884
43,sm6-6_cation->neut,3.03,1.9157033,3.2211628,2.3575153,2.0428233,2.6863785,1.6332245,2.4630764,2.1427822,2.0957723,3.408388,2.4542569489912553,0.5437452102925199
44,sm6-6_neut->an,11.74,10.957238,13.228815,12.833804,11.475566,10.816111,12.795616,12.589892,11.297153,10.827255,10.308346,11.715436089255594,0.9466710055018394
45,sm6-7_cation->neut,6.08,5.986456,5.665077,6.6456995,5.9280567,5.9422293,6.3098187,6.384558,6.2958236,6.0443172,6.0227537,6.118617281480269,0.2564252865821474
46,sm6-8_neut->an,4.22,3.4922228,3.771562,5.0978956,3.944046,3.846736,3.909492,4.1014843,3.923461,3.7164621,3.6870604,3.9736747498945757,0.40288367413809323
47,sm6-9_cation->neut,5.37,5.2177315,5.4210486,6.2456822,5.7651844,5.3953047,5.082841,5.6106677,5.051959,4.916005,4.7297196,5.346013079556553,0.4045979608473822
48,sm6-10_neut->an,9.02,8.575134,9.153232,8.942148,9.247331,9.700685,8.3559675,9.58961,8.670601,9.661574,8.492081,9.037123898592862,0.45838582935457317
49,sm6-11_cation->neut,3.89,3.5493484,4.2015915,4.591856,3.9954035,3.3846312,4.1933017,4.164527,4.068382,3.7924776,4.0199585,3.98649791284041,0.3155642478778187
50,sm6-12_cation->neut,5.28,5.17201,5.5155597,5.8370876,5.835532,5.295163,5.648944,5.3050056,4.730542,5.106671,4.7119913,5.312591490312056,0.365063400811064
51,sm6-13_cation->neut,5.77,5.9933224,5.7604375,6.3839607,5.567564,6.0623493,5.4574685,6.448092,5.0307198,4.897868,5.331451,5.7002939328280355,0.4821232805858855
52,sm6-14_2cation->cation,2.58,2.8956404,2.9806747,3.0222135,3.2616813,2.7517328,3.2852414,2.8650868,3.2960005,2.8574486,2.3322055,2.920720497478138,0.2864492265425429
53,sm6-14_cation->neut,5.3,5.4671903,5.7236586,6.0379877,5.6897454,6.0770764,5.746787,6.425487,5.4720945,5.953891,5.6203814,5.774027200178666,0.3107568971954478
54,sm6-15_cation->neut,4.7,4.819414,5.1094646,5.432974,4.5773926,4.690412,5.040776,5.983877,4.388651,4.751057,4.396024,4.899094772338867,0.4527376651052547
55,sm6-15_neut->an,8.94,9.726669,9.011377,10.725117,9.290765,9.267118,9.337558,8.346994,8.594027,9.416164,8.571541,9.202484602494673,0.6233813818742637
56,sm6-16_cation->neut,5.37,4.5334606,5.260673,5.51386,5.3801355,4.969393,5.3716993,5.656788,5.3139825,4.381293,4.9127803,5.151278636238792,0.38597994148736975
57,sm6-16_neut->an,10.65,11.948986,11.439392,11.562508,11.945006,11.875446,11.632481,12.409497,11.604735,11.293074,11.744286,11.645946450666948,0.42582064265098196
58,sm6-17_cation->neut,3.16,2.8722734,3.7772117,4.897148,3.7024786,3.2900608,4.192265,3.9625354,4.164089,3.135656,3.5558043,3.7008656943928107,0.5600170071898609
59,sm6-18_cation->neut,2.15,2.445489,2.603259,3.065208,2.8357766,2.4735932,2.7228065,2.443089,2.610241,2.626906,2.717303,2.608515557375821,0.22720948027545662
60,sm6-18_neut->an,9.58,9.3088,10.840766,9.099743,9.605003,8.596722,9.508045,9.073407,8.774359,8.980444,9.972846,9.394557699723677,0.5960154433124863
61,sm6-18_an->2an,11.02,10.746458,11.85527,10.777006,10.491859,11.369563,11.285302,11.198656,10.339424,11.972666,11.555643,11.14653167031028,0.5060124054580714
62,sm6-19me_neut->an,9.56,9.126778,9.240169,9.282937,9.38256,8.913873,9.173216,9.974461,8.775406,7.633782,9.769711,9.166626415252686,0.5881244997508681
63,sm6-20_neut->an,5.7,5.7323885,6.6641135,6.9657507,5.7527566,6.3215976,6.2050443,6.163479,5.5703144,5.8319006,7.3870254,6.208579124103893,0.5581486096511794
64,sm6-21_cation->neut,4.1,4.585444,3.8851252,4.2475724,3.981588,3.6620834,4.1946383,4.34278,4.334477,4.6013665,2.6651578,4.05456658710133,0.5151971796347968
65,sm6-22_cation->neut,2.4,2.9057667,2.2334247,3.1194685,2.9850988,4.778877,3.1577063,3.4286938,2.8990784,3.0009089,2.751886,3.0600826003334736,0.6307356552508864
66,sm6-22_neut->an,7.43,7.0576687,7.5034666,7.1510415,8.144697,7.9415207,7.5676446,8.792892,7.963161,8.363406,7.6145973,7.775463293248958,0.49977297734305176
