compn,pKa,correct name,reference,smiles,smarts,inchi,inchiKey
sm7-25_neut->an,4.49,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=C(NS(C1=CC=CC=C1)(=O)=O)CCC2=CC=CC=C2,,"InChI=1S/C15H15NO3S/c17-15(12-11-13-7-3-1-4-8-13)16-20(18,19)14-9-5-2-6-10-14/h1-10H,11-12H2,(H,16,17)",OXDPYOBJCCTYAF-UHFFFAOYSA-N
sm7-26_neut->an,4.91,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(CCC1=CC=CC=C1)(NC(C)=O)=O,,"InChI=1S/C10H13NO3S/c1-9(12)11-15(13,14)8-7-10-5-3-2-4-6-10/h2-6H,7-8H2,1H3,(H,11,12)",ZYPZFMNTSASEKA-UHFFFAOYSA-N
sm7-27_neut->an,10.45,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(CCC1=CC=CC=C1)(NC2(C)COC2)=O,,"InChI=1S/C12H17NO3S/c1-12(9-16-10-12)13-17(14,15)8-7-11-5-3-2-4-6-11/h2-6,13H,7-10H2,1H3",YPTGBFBXBCZAFG-UHFFFAOYSA-N
sm7-28_neut->an,>12,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(CC1(NC(C)=O)CCC2=CC=CC=C2)(C1)=O,,"InChI=1S/C13H17NO3S/c1-11(15)14-13(9-18(16,17)10-13)8-7-12-5-3-2-4-6-12/h2-6H,7-10H2,1H3,(H,14,15)",MKSKAJOWXWJALS-UHFFFAOYSA-N
sm7-29_neut->an,10.05,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,CS(NC1(COC1)CCC2=CC=CC=C2)(=O)=O,,"InChI=1S/C12H17NO3S/c1-17(14,15)13-12(9-16-10-12)8-7-11-5-3-2-4-6-11/h2-6,13H,7-10H2,1H3",GTQDPTRMCYDNMG-UHFFFAOYSA-N
sm7-30_neut->an,10.29,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(NC1(COC1)CCC2=CC=CC=C2)(C3=CC=CC=C3)=O,,"InChI=1S/C17H19NO3S/c19-22(20,16-9-5-2-6-10-16)18-17(13-21-14-17)12-11-15-7-3-1-4-8-15/h1-10,18H,11-14H2",DSHBIKIQYZMXSV-UHFFFAOYSA-N
sm7-31_neut->an,11.02,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(NC1(COC1)CCC2=CC=CC=C2)(N(C)C)=O,,"InChI=1S/C13H20N2O3S/c1-15(2)19(16,17)14-13(10-18-11-13)9-8-12-6-4-3-5-7-12/h3-7,14H,8-11H2,1-2H3",RHDCIYWAWGPHGX-UHFFFAOYSA-N
sm7-32_neut->an,10.45,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,CS(NC1(CSC1)CCC2=CC=CC=C2)(=O)=O,,"InChI=1S/C12H17NO2S2/c1-17(14,15)13-12(9-16-10-12)8-7-11-5-3-2-4-6-11/h2-6,13H,7-10H2,1H3",LLATUROHTKAZOV-UHFFFAOYSA-N
sm7-33_neut->an,>12,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(NC1(CSC1)CCC2=CC=CC=C2)(C3=CC=CC=C3)=O,,"InChI=1S/C17H19NO2S2/c19-22(20,16-9-5-2-6-10-16)18-17(13-21-14-17)12-11-15-7-3-1-4-8-15/h1-10,18H,11-14H2",LVXROOUVGDMOCN-UHFFFAOYSA-N
sm7-34_neut->an,11.93,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(NC1(CSC1)CCC2=CC=CC=C2)(N(C)C)=O,,"InChI=1S/C13H20N2O2S2/c1-15(2)19(16,17)14-13(10-18-11-13)9-8-12-6-4-3-5-7-12/h3-7,14H,8-11H2,1-2H3",JLVMZWSAFDHYOQ-UHFFFAOYSA-N
