compn,pKa,correct name,reference,smiles,smarts,inchi,inchiKey
sm11-1_neut->an,3.61,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,o1cccc1-c1n(nc(c1)C(O)=O)C,,,
sm11-2_neut->an,2.91,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,O=C1N(C=C(C=C1)c1ccccc1)CC(O)=O,,,
sm11-3_cation->neut,5.02,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,O(C)c1ccc(cc1)-c1ncccc1,,,
sm11-4_cation->neut,6.1,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,n1cnc(N)cc1C(C)(C)C,,,
sm11-5_cation->neut,8.99,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,O=C(N)c1ccc(cc1)CN,,,
sm11-6_neut->an,4.24,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,O=C1N(c2c(C1)cc(cc2)C(O)=O)C,,,
sm11-7_cation->neut,4.58,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,Br.s1cc(nc1N)-c1ccc(cc1)C,,,
sm11-8_neut->an,8.5,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,Oc1ccc(cc1)C(=O)NCc1ccccc1,,,
sm11-9_neut->an,4.4,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,OC(=O)c1ccc(N2CCN(CC2)C(=O)C(C)(C)C)cc1,,,
sm11-10_neut->an,4.65,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,Clc1cc(C(O)=O)c(OC)cc1N,,,
sm11-11_neut->an,3.73,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,OC(=O)c1nc2ncccc2cc1,,,
sm11-11_cation->neut,1.67,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,OC(=O)c1nc2ncccc2cc1,,,
sm11-12_cation->neut,1.98,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,OC(=O)c1cc(ncc1)NC(=O)C,,,
sm11-12_neut->an,3.67,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,OC(=O)c1cc(ncc1)NC(=O)C,,,
sm11-13_neut->an,8.15,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,o1cnnc1-c1ccc(O)cc1,,,
sm11-14_neut->an,7.41,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,,,,
sm11-15_neut->an,5.18,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,s1c2c(cccc2)c(O)c1C(=O)C,,,
sm11-16_neut->an,9.46,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,Oc1cc(NC(=O)CC(C)C)ccc1,,,
sm11-17_neut->an,3.79,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,OC(=O)c1cc(-n2cccc2)ccc1,,,
sm11-18_neut->an,8.96,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,s1c2N=CNC(=O)c2cc1CC,,,
sm11-19_cation->neut,6.76,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,OCc1n2c(nc1C)C=CC=C2,,,
sm11-20_neut->an,4.24,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,O=C1N(c2c(cc(cc2)C(O)=O)C1(C)C)C,,,
sm11-21_neut->an,3.05,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,OC(=O)C=1n2nc(cc2N=C(C=1)C1CC1)C(C)(C)C,,,
sm11-21_cation->neut,3.05,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,OC(=O)C=1n2nc(cc2N=C(C=1)C1CC1)C(C)(C)C,,,
sm11-22_neut->an,8.93,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,Oc1ccccc1C(=O)N(C)C,,,
sm11-23_neut->an,3.16,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,OC(=O)c1cnc(nc1C)CC,,,
sm11-23_cation->neut,3.16,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,OC(=O)c1cnc(nc1C)CC,,,
