,name,Morgan radius 2 tanimoto similarity average,Morgan radius 2 tanimoto similarity std,Morgan radius 2 tanimoto similarity max,Morgan radius 2 tanimoto similarity median,Morgan radius 2 tanimoto similarity percentile 80,Morgan radius 2 tanimoto similarity percentile 90,Morgan radius 2 tanimoto similarity percentile 95,Morgan radius 3 tanimoto similarity average,Morgan radius 3 tanimoto similarity std,Morgan radius 3 tanimoto similarity max,Morgan radius 3 tanimoto similarity median,Morgan radius 3 tanimoto similarity percentile 80,Morgan radius 3 tanimoto similarity percentile 90,Morgan radius 3 tanimoto similarity percentile 95,Morgan radius 4 tanimoto similarity average,Morgan radius 4 tanimoto similarity std,Morgan radius 4 tanimoto similarity max,Morgan radius 4 tanimoto similarity median,Morgan radius 4 tanimoto similarity percentile 80,Morgan radius 4 tanimoto similarity percentile 90,Morgan radius 4 tanimoto similarity percentile 95,custom fingerprint tanimoto similarity average,custom fingerprint tanimoto similarity std,custom fingerprint tanimoto similarity max,custom fingerprint tanimoto similarity median,custom fingerprint tanimoto similarity percentile 80,custom fingerprint tanimoto similarity percentile 90,custom fingerprint tanimoto similarity percentile 95
CHEMBL30816,CHEMBL30816,0.1175940463610057,0.040254952567763826,0.6,0.11304347826086956,0.14414414414414414,0.16270348837209325,0.18333333333333332,0.0966720009992068,0.032658284062072586,0.5238095238095238,0.09316770186335403,0.11764705882352941,0.13333333333333333,0.15105877562101266,0.08844929332972139,0.029761481080315413,0.4857142857142857,0.0851063829787234,0.10743801652892562,0.12213740458015267,0.1388888888888889,0.2930878878654398,0.09109957841249454,0.8095238095238095,0.28125,0.10743801652892562,0.12213740458015267,0.1388888888888889
CHEMBL126239,CHEMBL126239,0.11769859229964368,0.04115751377958676,0.6296296296296297,0.11515151515151516,0.14788732394366197,0.16891891891891891,0.18571428571428572,0.09627619049112925,0.03261317852963677,0.5539568345323741,0.0945945945945946,0.12007692307692318,0.13612565445026178,0.14915582855770226,0.08628679043799184,0.028605251041383534,0.47058823529411764,0.0851063829787234,0.10760628937957657,0.12096774193548387,0.13253012048192772,0.3367551673435681,0.09456102340744638,0.7358490566037735,0.3333333333333333,0.10760628937957657,0.12096774193548387,0.13253012048192772
CHEMBL126877,CHEMBL126877,0.0746775932402408,0.030725178529613748,0.5,0.07142857142857142,0.09333333333333334,0.10952482876712344,0.12698412698412698,0.06292481669694659,0.02527818500479524,0.4,0.05982905982905983,0.0784313725490196,0.09210526315789473,0.10633462282398465,0.05883299003841457,0.024676414304128973,0.4,0.05555555555555555,0.07335779816513766,0.08735552473416557,0.10144927536231885,0.21846049710252952,0.08267767434618446,0.95,0.20689655172413793,0.07335779816513766,0.08735552473416557,0.10144927536231885
CHEMBL127987,CHEMBL127987,0.11875610252325798,0.036312090078400874,0.4915254237288136,0.11801242236024845,0.14814814814814814,0.16447368421052633,0.17807143369432693,0.09689214141025335,0.028582631054418117,0.44,0.09659090909090909,0.11976047904191617,0.1323529411764706,0.14285714285714285,0.08604235711776716,0.024831878363493598,0.3986013986013986,0.0861746093245512,0.10599078341013825,0.11666666666666667,0.1256787686321632,0.3332785971700147,0.09756479573083021,0.7333333333333333,0.3333333333333333,0.10599078341013825,0.11666666666666667,0.1256787686321632
CHEMBL284348,CHEMBL284348,0.09153358331384616,0.03656746309015328,0.4,0.0891089108910891,0.11594202898550725,0.13636363636363635,0.15682730923694788,0.0758016956295232,0.03088826415589365,0.34285714285714286,0.07291666666666667,0.09615384615384616,0.11417721518987367,0.1323529411764706,0.07010299952865683,0.030090209861797605,0.34285714285714286,0.0661764705882353,0.0891089108910891,0.10752688172043011,0.1267338206453914,0.1879671458089785,0.08353574409484954,0.8,0.17307692307692307,0.0891089108910891,0.10752688172043011,0.1267338206453914
CHEMBL339234,CHEMBL339234,0.09422134605242247,0.040488651141276415,0.375,0.09090909090909091,0.12048192771084337,0.14285714285714285,0.16632420091324282,0.0786151575567394,0.03320060167773667,0.3157894736842105,0.07608695652173914,0.1,0.11842105263157894,0.13636363636363635,0.0729451962771232,0.032353073701883325,0.3157894736842105,0.06944444444444445,0.09278350515463918,0.1111111111111111,0.13043478260869565,0.21127062092399923,0.08358349517943255,1.0,0.2,0.09278350515463918,0.1111111111111111,0.13043478260869565
CHEMBL125413,CHEMBL125413,0.1351164488393115,0.04701884392016624,0.8125,0.13414634146341464,0.16911764705882354,0.19035812672176336,0.21052631578947367,0.10930511753137644,0.03663035170374056,0.7142857142857143,0.10897435897435898,0.1366906474820144,0.15151515151515152,0.16556291390728478,0.09918776376268944,0.0325131303664575,0.6842105263157895,0.09876543209876543,0.12337662337662338,0.13725490196078433,0.14935064935064934,0.3563687551529611,0.09366414492660258,1.0,0.35555555555555557,0.12337662337662338,0.13725490196078433,0.14935064935064934
CHEMBL127797,CHEMBL127797,0.1488754324097845,0.04146680463058533,0.5714285714285714,0.152,0.1810344827586207,0.19548872180451127,0.2092706131078225,0.12014441878819046,0.03222876811197127,0.5227272727272727,0.12244897959183673,0.14473684210526316,0.15618351063829802,0.16666666666666666,0.10848135073457882,0.028861197764913492,0.47058823529411764,0.11042944785276074,0.1301775147928994,0.14054054054054055,0.15105877562101266,0.33150766945416976,0.08869879309993842,0.7948717948717948,0.3333333333333333,0.1301775147928994,0.14054054054054055,0.15105877562101266
CHEMBL126705,CHEMBL126705,0.11431711317547019,0.041556358368249974,0.6296296296296297,0.1111111111111111,0.1437908496732026,0.1649845300330739,0.1825309929324528,0.09353755958993316,0.03300238100641497,0.5539568345323741,0.09154929577464789,0.11702127659574468,0.13333333333333333,0.14686962662736436,0.08435130764818011,0.02860994422968095,0.47058823529411764,0.08294930875576037,0.105,0.11864406779661017,0.12993249688164946,0.3246411878596203,0.10231093358389723,0.7333333333333333,0.3225806451612903,0.105,0.11864406779661017,0.12993249688164946
CHEMBL126299,CHEMBL126299,0.12855249373598251,0.04067463643682143,0.4895833333333333,0.1271186440677966,0.15789473684210525,0.17678733031674243,0.1931700626959248,0.10592186618542937,0.032465619979862616,0.4344262295081967,0.10526315789473684,0.1292517006802721,0.14387010939193853,0.15721922731356697,0.09575742846679919,0.028715584704550642,0.3986013986013986,0.09523809523809523,0.1163191659983962,0.12903225806451613,0.14193548387096774,0.34403885250320615,0.08168709027584792,0.7105263157894737,0.34146341463414637,0.1163191659983962,0.12903225806451613,0.14193548387096774
