,name,Morgan radius 2 tanimoto similarity average,Morgan radius 2 tanimoto similarity std,Morgan radius 2 tanimoto similarity max,Morgan radius 2 tanimoto similarity median,Morgan radius 2 tanimoto similarity percentile 80,Morgan radius 2 tanimoto similarity percentile 90,Morgan radius 2 tanimoto similarity percentile 95,Morgan radius 3 tanimoto similarity average,Morgan radius 3 tanimoto similarity std,Morgan radius 3 tanimoto similarity max,Morgan radius 3 tanimoto similarity median,Morgan radius 3 tanimoto similarity percentile 80,Morgan radius 3 tanimoto similarity percentile 90,Morgan radius 3 tanimoto similarity percentile 95,Morgan radius 4 tanimoto similarity average,Morgan radius 4 tanimoto similarity std,Morgan radius 4 tanimoto similarity max,Morgan radius 4 tanimoto similarity median,Morgan radius 4 tanimoto similarity percentile 80,Morgan radius 4 tanimoto similarity percentile 90,Morgan radius 4 tanimoto similarity percentile 95,custom fingerprint tanimoto similarity average,custom fingerprint tanimoto similarity std,custom fingerprint tanimoto similarity max,custom fingerprint tanimoto similarity median,custom fingerprint tanimoto similarity percentile 80,custom fingerprint tanimoto similarity percentile 90,custom fingerprint tanimoto similarity percentile 95
CHEMBL30816,CHEMBL30816,0.11401700203311894,0.04866927597873119,0.4222222222222222,0.11594202898550725,0.15,0.1694915254237288,0.1896551724137931,0.09464751668737627,0.03942584334491474,0.35714285714285715,0.0958904109589041,0.1232876712328767,0.140625,0.15492957746478872,0.08967115637441525,0.03750060757874914,0.3333333333333333,0.09016393442622951,0.11688311688311688,0.13333333333333333,0.14864864864864866,0.25850019451690387,0.09525452075819764,0.7777777777777778,0.25,0.11688311688311688,0.13333333333333333,0.14864864864864866
CHEMBL126239,CHEMBL126239,0.07947509249428486,0.03119750011700936,0.2549019607843137,0.07964601769911504,0.10344827586206896,0.11874475583151542,0.12962962962962962,0.06572870624591319,0.025231294225115115,0.203125,0.06666666666666667,0.0851063829787234,0.09655172413793103,0.10606060606060606,0.05885874716351106,0.022526378918248928,0.17333333333333334,0.059602649006622516,0.07602339181286549,0.08641975308641975,0.0948842783312112,0.19004892475528354,0.06709437814321655,0.49056603773584906,0.18461538461538463,0.07602339181286549,0.08641975308641975,0.0948842783312112
CHEMBL126877,CHEMBL126877,0.10403165104523679,0.05644090527151639,0.45454545454545453,0.10344827586206896,0.14285714285714285,0.17526315789473698,0.2,0.08826444745592846,0.046734518680349155,0.36585365853658536,0.08928571428571429,0.12,0.14545454545454545,0.16901408450704225,0.08671052231036493,0.04643449572322312,0.36585365853658536,0.08695652173913043,0.11764705882352941,0.14285714285714285,0.16666666666666666,0.2755647050866754,0.12397307653016394,0.9473684210526315,0.25925925925925924,0.11764705882352941,0.14285714285714285,0.16666666666666666
CHEMBL127987,CHEMBL127987,0.08236627683868324,0.03152579985479957,0.1896551724137931,0.08270676691729323,0.10891089108910891,0.12195121951219512,0.13333333333333333,0.0676439669359423,0.025159450905939396,0.16,0.06870229007633588,0.08860759493670886,0.09904815757233076,0.1076923076923077,0.060308853986288935,0.022280276029693204,0.1419753086419753,0.061224489795918366,0.07894736842105263,0.0880503144654088,0.0958904109589041,0.22397544044091658,0.08407892665015329,0.5098039215686274,0.22641509433962265,0.07894736842105263,0.0880503144654088,0.0958904109589041
CHEMBL284348,CHEMBL284348,0.10873160749608174,0.06252407151527165,1.0,0.11864406779661017,0.16,0.17777777777777778,0.2,0.09265952560265973,0.05337827802419405,1.0,0.1,0.13636363636363635,0.15217391304347827,0.16666666666666666,0.0907832043729442,0.05288609034940554,1.0,0.0958904109589041,0.1346153846153846,0.15217391304347827,0.16363636363636364,0.2636579059617537,0.1343276766320872,1.0,0.23333333333333334,0.1346153846153846,0.15217391304347827,0.16363636363636364
CHEMBL339234,CHEMBL339234,0.12666191805149482,0.07262660457842683,0.5714285714285714,0.13333333333333333,0.18604651162790697,0.21428571428571427,0.24324324324324326,0.10629074027006401,0.0598354851498737,0.5151515151515151,0.1111111111111111,0.15384615384615385,0.18,0.2,0.10420313673190117,0.059259409241732855,0.5151515151515151,0.1076923076923077,0.15217391304347827,0.17777777777777778,0.2,0.27704751118982446,0.12687422898379844,1.0,0.26666666666666666,0.15217391304347827,0.17777777777777778,0.2
CHEMBL125413,CHEMBL125413,0.10451307475551783,0.04450122354424253,0.2916666666666667,0.10810810810810811,0.1388888888888889,0.15841584158415842,0.17333333333333334,0.08508450271760888,0.035220730705968345,0.22826086956521738,0.08771929824561403,0.11224489795918367,0.12698412698412698,0.13855066357699605,0.07848599691036316,0.03235789452336455,0.20618556701030927,0.08108108108108109,0.10416666666666667,0.11666666666666667,0.1268089930096354,0.25891666516825934,0.0935861127417178,0.5952380952380952,0.2619047619047619,0.10416666666666667,0.11666666666666667,0.1268089930096354
CHEMBL127797,CHEMBL127797,0.1228915274329525,0.049798358893549215,0.2727272727272727,0.1267605633802817,0.16666666666666666,0.18309859154929578,0.19764570772322712,0.1005403331559136,0.03921226457509016,0.21518987341772153,0.10416666666666667,0.1348314606741573,0.14772727272727273,0.15881012081148854,0.09194975268760337,0.03560350837065353,0.19540229885057472,0.09565217391304348,0.12359550561797752,0.1348849652220439,0.14444444444444443,0.2903957365599789,0.10397862901116581,0.6756756756756757,0.29545454545454547,0.12359550561797752,0.1348849652220439,0.14444444444444443
CHEMBL126705,CHEMBL126705,0.07914011886758117,0.03271126801281873,0.2549019607843137,0.07894736842105263,0.10437378325762489,0.11926605504587157,0.13333333333333333,0.06516843187169848,0.026118922767561347,0.203125,0.06557377049180328,0.08571428571428572,0.09696969696969697,0.10714285714285714,0.05805882326614196,0.02307504078901287,0.17333333333333334,0.05847953216374269,0.07643312101910828,0.08616122402374976,0.0949367088607595,0.19504244702305293,0.07597644779798561,0.4626865671641791,0.1935483870967742,0.07643312101910828,0.08616122402374976,0.0949367088607595
CHEMBL126299,CHEMBL126299,0.10604752912654515,0.04162287580341254,0.30434782608695654,0.10810810810810811,0.13793103448275862,0.1566265060240964,0.1728395061728395,0.08825838698461504,0.033728876081198726,0.24175824175824176,0.09,0.11403508771929824,0.12931034482758622,0.1414141414141414,0.08104069004709104,0.030684165428715583,0.22916666666666666,0.08264462809917356,0.10451232211037831,0.11827956989247312,0.12878787878787878,0.25359165989685156,0.08105380576147499,0.6470588235294118,0.25,0.10451232211037831,0.11827956989247312,0.12878787878787878
