,name,Morgan radius 2 tversky similarity average,Morgan radius 2 tversky similarity std,Morgan radius 2 tversky similarity max,Morgan radius 2 tversky similarity median,Morgan radius 2 tversky similarity percentile 80,Morgan radius 2 tversky similarity percentile 90,Morgan radius 2 tversky similarity percentile 95,Morgan radius 3 tversky similarity average,Morgan radius 3 tversky similarity std,Morgan radius 3 tversky similarity max,Morgan radius 3 tversky similarity median,Morgan radius 3 tversky similarity percentile 80,Morgan radius 3 tversky similarity percentile 90,Morgan radius 3 tversky similarity percentile 95,Morgan radius 4 tversky similarity average,Morgan radius 4 tversky similarity std,Morgan radius 4 tversky similarity max,Morgan radius 4 tversky similarity median,Morgan radius 4 tversky similarity percentile 80,Morgan radius 4 tversky similarity percentile 90,Morgan radius 4 tversky similarity percentile 95,custom fingerprint tversky similarity average,custom fingerprint tversky similarity std,custom fingerprint tversky similarity max,custom fingerprint tversky similarity median,custom fingerprint tversky similarity percentile 80,custom fingerprint tversky similarity percentile 90,custom fingerprint tversky similarity percentile 95
CHEMBL30816,CHEMBL30816,0.1827492739593417,0.07650137811687255,0.525,0.2,0.25,0.275,0.3,0.1549895127460471,0.06481497293963831,0.4583333333333333,0.16666666666666666,0.20833333333333334,0.22916666666666666,0.25,0.1448395263980937,0.06073531722608993,0.4230769230769231,0.15384615384615385,0.19230769230769232,0.21153846153846154,0.23076923076923078,0.4164227549683959,0.1308583815437971,0.8823529411764706,0.4117647058823529,0.19230769230769232,0.21153846153846154,0.23076923076923078
CHEMBL126239,CHEMBL126239,0.10074144152072517,0.04169175739404699,0.29545454545454547,0.10227272727272728,0.13636363636363635,0.14772727272727273,0.17045454545454544,0.08423685059696677,0.034976571845862885,0.24074074074074073,0.08333333333333333,0.1111111111111111,0.12962962962962962,0.1388888888888889,0.07403833494675702,0.03098380556196657,0.208,0.072,0.096,0.112,0.128,0.2173058306649788,0.0792875353021802,0.5769230769230769,0.21153846153846154,0.096,0.112,0.128
CHEMBL126877,CHEMBL126877,0.21572281381090672,0.10727031649744415,0.625,0.25,0.2916666666666667,0.3333333333333333,0.375,0.18982851611118792,0.0933286129345766,0.5357142857142857,0.21428571428571427,0.25,0.2857142857142857,0.32142857142857145,0.19037477527312957,0.09363240198122563,0.5357142857142857,0.21428571428571427,0.25,0.2857142857142857,0.32142857142857145,0.4155703877311866,0.16731299870913754,0.9473684210526315,0.42105263157894735,0.25,0.2857142857142857,0.32142857142857145
CHEMBL127987,CHEMBL127987,0.10408342867200564,0.04217044144219772,0.26136363636363635,0.10227272727272728,0.13636363636363635,0.1590909090909091,0.17045454545454544,0.08645978989638235,0.03490966535564459,0.2222222222222222,0.08333333333333333,0.1111111111111111,0.12962962962962962,0.1388888888888889,0.07567705711519845,0.03064403670740385,0.2,0.08,0.104,0.112,0.128,0.2530493707647628,0.09577892816500189,0.6041666666666666,0.25,0.104,0.112,0.128
CHEMBL284348,CHEMBL284348,0.250513068731849,0.13571804692435133,1.0,0.3,0.35,0.4,0.4,0.22986887265686873,0.12424542194534065,1.0,0.2727272727272727,0.3181818181818182,0.36363636363636365,0.4090909090909091,0.23032649828390386,0.12461438365830281,1.0,0.2727272727272727,0.3181818181818182,0.36363636363636365,0.4090909090909091,0.4867525504505175,0.2139020684541,1.0,0.46153846153846156,0.3181818181818182,0.36363636363636365,0.4090909090909091
CHEMBL339234,CHEMBL339234,0.2702543342427176,0.14598725425634282,0.7272727272727273,0.3181818181818182,0.4090909090909091,0.4090909090909091,0.45454545454545453,0.24062729912875125,0.1292812564986243,0.68,0.28,0.36,0.4,0.44,0.24113068731848986,0.12963796247185774,0.68,0.28,0.36,0.4,0.44,0.42866516080456063,0.17694007119529584,1.0,0.3888888888888889,0.36,0.4,0.44
CHEMBL125413,CHEMBL125413,0.14671028474146275,0.06431781026315457,0.39655172413793105,0.15517241379310345,0.1896551724137931,0.22413793103448276,0.2413793103448276,0.12082123265569537,0.052926119659136815,0.3194444444444444,0.125,0.16666666666666666,0.18055555555555555,0.20833333333333334,0.10984511132623427,0.04843697032936215,0.2875,0.1125,0.15,0.1625,0.1875,0.30548224384776074,0.11306175467676718,0.6842105263157895,0.3157894736842105,0.15,0.1625,0.1875
CHEMBL127797,CHEMBL127797,0.17297896682214206,0.0730768068947579,0.43636363636363634,0.18181818181818182,0.23636363636363636,0.2545454545454545,0.2909090909090909,0.14443657800060686,0.06081271294526208,0.3582089552238806,0.14925373134328357,0.19402985074626866,0.208955223880597,0.23880597014925373,0.12993610842207165,0.05491826781175024,0.32,0.13333333333333333,0.17333333333333334,0.2,0.21333333333333335,0.3491624864325736,0.12464745758205649,0.7575757575757576,0.36363636363636365,0.17333333333333334,0.2,0.21333333333333335
CHEMBL126705,CHEMBL126705,0.10017160961013818,0.04295595283273776,0.29545454545454547,0.10227272727272728,0.13636363636363635,0.14772727272727273,0.17045454545454544,0.08344268760532071,0.03560436723273344,0.24074074074074073,0.08333333333333333,0.1111111111111111,0.12962962962962962,0.1388888888888889,0.07299128751210068,0.0312327570487001,0.208,0.072,0.096,0.112,0.128,0.21706887014244225,0.08569697399495113,0.5714285714285714,0.21428571428571427,0.096,0.112,0.128
CHEMBL126299,CHEMBL126299,0.1517416175305817,0.06258017457486141,0.43636363636363634,0.14545454545454545,0.2,0.23636363636363636,0.2545454545454545,0.12831775295834477,0.05333736415558798,0.373134328358209,0.13432835820895522,0.16417910447761194,0.19402985074626866,0.208955223880597,0.11574830590513067,0.0482793525665389,0.3333333333333333,0.12,0.16,0.17333333333333334,0.2,0.31566781073073424,0.10292870273501376,0.696969696969697,0.30303030303030304,0.16,0.17333333333333334,0.2
CHEMBL125354,CHEMBL125354,0.1568789932236205,0.05822560085163014,0.36,0.16,0.2,0.22,0.24,0.12882927895575053,0.04780441195605423,0.2903225806451613,0.12903225806451613,0.16129032258064516,0.1774193548387097,0.1935483870967742,0.11717945480309216,0.04371720768141789,0.2753623188405797,0.11594202898550725,0.14492753623188406,0.17391304347826086,0.18840579710144928,0.3439427465080902,0.12667806769291587,0.8571428571428571,0.35714285714285715,0.14492753623188406,0.17391304347826086,0.18840579710144928
CHEMBL338573,CHEMBL338573,0.24416967350171606,0.12623866928879574,0.7272727272727273,0.2727272727272727,0.3181818181818182,0.4090909090909091,0.45454545454545453,0.217432720232333,0.11198392039037662,0.68,0.24,0.28,0.36,0.4,0.21800580832526625,0.11223045353222293,0.68,0.24,0.28,0.36,0.4,0.42866516080456063,0.17694007119529584,1.0,0.3888888888888889,0.28,0.36,0.4
