,name,Morgan radius 2 tversky similarity average,Morgan radius 2 tversky similarity std,Morgan radius 2 tversky similarity max,Morgan radius 2 tversky similarity median,Morgan radius 2 tversky similarity percentile 80,Morgan radius 2 tversky similarity percentile 90,Morgan radius 2 tversky similarity percentile 95,Morgan radius 3 tversky similarity average,Morgan radius 3 tversky similarity std,Morgan radius 3 tversky similarity max,Morgan radius 3 tversky similarity median,Morgan radius 3 tversky similarity percentile 80,Morgan radius 3 tversky similarity percentile 90,Morgan radius 3 tversky similarity percentile 95,Morgan radius 4 tversky similarity average,Morgan radius 4 tversky similarity std,Morgan radius 4 tversky similarity max,Morgan radius 4 tversky similarity median,Morgan radius 4 tversky similarity percentile 80,Morgan radius 4 tversky similarity percentile 90,Morgan radius 4 tversky similarity percentile 95,custom fingerprint tversky similarity average,custom fingerprint tversky similarity std,custom fingerprint tversky similarity max,custom fingerprint tversky similarity median,custom fingerprint tversky similarity percentile 80,custom fingerprint tversky similarity percentile 90,custom fingerprint tversky similarity percentile 95
CHEMBL30816,CHEMBL30816,0.23623521760420352,0.0922543475298761,0.7916666666666666,0.23076923076923078,0.3076923076923077,0.34782608695652173,0.38461538461538464,0.20372275759372624,0.08130978427695967,0.7142857142857143,0.19607843137254902,0.2647058823529412,0.3055555555555556,0.3448275862068966,0.2011110146445243,0.08304553840905243,0.7142857142857143,0.19230769230769232,0.2647058823529412,0.3076923076923077,0.35,0.41981350422653185,0.16111730163440316,1.0,0.4,0.2647058823529412,0.3076923076923077,0.35
CHEMBL126239,CHEMBL126239,0.28214848927106767,0.08834053546362236,0.6666666666666666,0.2857142857142857,0.34615384615384615,0.3829787234042553,0.4166666666666667,0.24486375603759192,0.07732350155156674,0.6666666666666666,0.24390243902439024,0.30303030303030304,0.3333333333333333,0.36363636363636365,0.24200735266801318,0.07797012401669787,0.6666666666666666,0.24,0.3023255813953488,0.3333333333333333,0.36363636363636365,0.6285478235548484,0.1467679248224401,1.0,0.6111111111111112,0.3023255813953488,0.3333333333333333,0.36363636363636365
CHEMBL126877,CHEMBL126877,0.16550859060145598,0.08758211633744359,0.625,0.16666666666666666,0.22727272727272727,0.2727272727272727,0.3181818181818182,0.14276846434471413,0.07609369939230035,0.5357142857142857,0.1388888888888889,0.19444444444444445,0.23529411764705882,0.2777777777777778,0.13950807357616815,0.07623692052710747,0.5357142857142857,0.13559322033898305,0.19230769230769232,0.23529411764705882,0.2777777777777778,0.45404722033686634,0.1696785192122134,1.0,0.4375,0.19230769230769232,0.23529411764705882,0.2777777777777778
CHEMBL127987,CHEMBL127987,0.2929044302893358,0.08998556987351986,0.6666666666666666,0.29411764705882354,0.36363636363636365,0.4,0.44094117647058845,0.2533752871673252,0.07940189743825576,0.6666666666666666,0.25,0.3181818181818182,0.35294117647058826,0.38461538461538464,0.2497249708528941,0.08050942229136829,0.6666666666666666,0.25,0.3142857142857143,0.35294117647058826,0.38235294117647056,0.6755095654700762,0.1785226230316812,1.0,0.6923076923076923,0.3142857142857143,0.35294117647058826,0.38235294117647056
CHEMBL284348,CHEMBL284348,0.15863877303900512,0.08680653899391864,1.0,0.16666666666666666,0.22857142857142856,0.25925925925925924,0.2857142857142857,0.13448851151393812,0.07478018548238499,1.0,0.13725490196078433,0.1935483870967742,0.22580645161290322,0.25,0.1312724483833799,0.07461864287195633,1.0,0.1320754716981132,0.1891891891891892,0.2222222222222222,0.25,0.36364271965973255,0.15335222374842747,1.0,0.3333333333333333,0.1891891891891892,0.2222222222222222,0.25
CHEMBL339234,CHEMBL339234,0.18767882763903732,0.10265740788084245,0.7272727272727273,0.19444444444444445,0.2727272727272727,0.3103448275862069,0.3497674418604653,0.15903510711962035,0.08722826591853351,0.68,0.16216216216216217,0.22727272727272727,0.2647058823529412,0.30186046511627945,0.15524349139452323,0.08705998136321887,0.68,0.1568627450980392,0.2222222222222222,0.2647058823529412,0.3,0.44196946417789534,0.16641921309840546,1.0,0.42857142857142855,0.2222222222222222,0.2647058823529412,0.3
CHEMBL125413,CHEMBL125413,0.2707818642279513,0.1007088691116457,0.7272727272727273,0.2711864406779661,0.34782608695652173,0.391304347826087,0.42857142857142855,0.23357582725722903,0.08665916603795648,0.6666666666666666,0.23076923076923078,0.29859649122806986,0.3402553191489363,0.37770270270270334,0.22937483846194998,0.08716171390672443,0.6666666666666666,0.22580645161290322,0.29411764705882354,0.3333333333333333,0.375,0.6463071571406275,0.16394898466284372,1.0,0.6666666666666666,0.29411764705882354,0.3333333333333333,0.375
CHEMBL127797,CHEMBL127797,0.3027597682453591,0.10262726911957619,0.6818181818181818,0.3055555555555556,0.38235294117647056,0.42857142857142855,0.46153846153846156,0.2601741763371626,0.0871132035596359,0.6666666666666666,0.25806451612903225,0.32653061224489793,0.3684210526315789,0.4,0.2548336686033114,0.08763652726024071,0.6666666666666666,0.25,0.3235294117647059,0.36363636363636365,0.4,0.6487182047094888,0.1799017383268253,1.0,0.6666666666666666,0.3235294117647059,0.36363636363636365,0.4
CHEMBL126705,CHEMBL126705,0.28155251862762887,0.09660685434704279,0.6666666666666666,0.28,0.36,0.4,0.4411764705882353,0.2436240511563457,0.08352880302842389,0.6666666666666666,0.24,0.30952380952380953,0.34782608695652173,0.38461538461538464,0.23975068422476895,0.0835940249721323,0.6666666666666666,0.23636363636363636,0.3076923076923077,0.3448275862068966,0.38235294117647056,0.6706996980797444,0.17142854230456145,1.0,0.6875,0.3076923076923077,0.3448275862068966,0.38235294117647056
CHEMBL126299,CHEMBL126299,0.26653300198885016,0.08837280387858519,0.6666666666666666,0.2692307692307692,0.3333333333333333,0.3710052910052914,0.4090909090909091,0.23172026356620945,0.07700775163267318,0.6666666666666666,0.23076923076923078,0.2894736842105263,0.3225806451612903,0.35714285714285715,0.2275997188731557,0.07748415190433806,0.6666666666666666,0.22580645161290322,0.2857142857142857,0.32142857142857145,0.35714285714285715,0.5908935169146147,0.15165712313200835,1.0,0.5769230769230769,0.2857142857142857,0.32142857142857145,0.35714285714285715
CHEMBL125354,CHEMBL125354,0.2578499679017757,0.09443067494407767,0.6818181818181818,0.2571428571428571,0.3333333333333333,0.375,0.4117647058823529,0.22347647171083757,0.08607737407354973,0.6666666666666666,0.21818181818181817,0.2903225806451613,0.3333333333333333,0.36363636363636365,0.2205448716549741,0.08761528646234182,0.6666666666666666,0.21428571428571427,0.2903225806451613,0.3333333333333333,0.36790757381258066,0.5429126659665049,0.1628093851338771,1.0,0.5263157894736842,0.2903225806451613,0.3333333333333333,0.36790757381258066
CHEMBL338573,CHEMBL338573,0.17221470198781746,0.09481890086810638,0.7272727272727273,0.1724137931034483,0.2413793103448276,0.2817307692307695,0.3333333333333333,0.1464617344247149,0.08162375265614222,0.68,0.14634146341463414,0.20408163265306123,0.24324324324324326,0.28125,0.14318132347253398,0.08175412902463944,0.68,0.14285714285714285,0.2,0.2413793103448276,0.28125,0.44196946417789534,0.16641921309840546,1.0,0.42857142857142855,0.2,0.2413793103448276,0.28125
CHEMBL126933,CHEMBL126933,0.23035792018561363,0.08874755781262336,0.8181818181818182,0.22580645161290322,0.2962962962962963,0.34285714285714286,0.375,0.19946143257775276,0.08066700998147659,0.76,0.19047619047619047,0.25925925925925924,0.3,0.3333333333333333,0.19656647329090812,0.08220411057158745,0.76,0.1875,0.25806451612903225,0.3023255813953488,0.3333333333333333,0.5389770274713441,0.1701493196498986,1.0,0.5217391304347826,0.25806451612903225,0.3023255813953488,0.3333333333333333
CHEMBL339074,CHEMBL339074,0.13455778408092495,0.07800619392534115,0.625,0.125,0.1875,0.22727272727272727,0.27586206896551724,0.11553065029381823,0.0667434778862266,0.5357142857142857,0.10714285714285714,0.1590909090909091,0.2,0.23529411764705882,0.11284609925162575,0.06640018852664158,0.5357142857142857,0.10416666666666667,0.15555555555555556,0.1935483870967742,0.23438914027149405,0.4574667190039652,0.17044298861900556,1.0,0.4375,0.15555555555555556,0.1935483870967742,0.23438914027149405
CHEMBL273773,CHEMBL273773,0.3042887050416297,0.11611768463088584,0.8181818181818182,0.3103448275862069,0.4,0.4444444444444444,0.48148148148148145,0.26144713541634534,0.09704664086088703,0.76,0.2647058823529412,0.3404255319148936,0.3793103448275862,0.41379310344827586,0.2572216210006322,0.09779169390371002,0.76,0.25806451612903225,0.3333333333333333,0.37777777777777777,0.41379310344827586,0.6342294009816564,0.16230093763324172,1.0,0.6470588235294118,0.3333333333333333,0.37777777777777777,0.41379310344827586
CHEMBL129043,CHEMBL129043,0.2385727034514953,0.09987875562498529,0.6666666666666666,0.23529411764705882,0.3157894736842105,0.3611111111111111,0.4,0.21039123063119325,0.08801023828780455,0.6666666666666666,0.20754716981132076,0.275,0.32,0.35714285714285715,0.20707632632014333,0.08789923054279158,0.6666666666666666,0.2033898305084746,0.2727272727272727,0.3181818181818182,0.35714285714285715,0.6295489178517544,0.1645979017476592,1.0,0.6428571428571429,0.2727272727272727,0.3181818181818182,0.35714285714285715
CHEMBL128600,CHEMBL128600,0.29131268174064057,0.1119347029477203,0.7,0.29411764705882354,0.3793103448275862,0.42857142857142855,0.46875,0.25026527028200035,0.09442604427223061,0.6666666666666666,0.25,0.3225806451612903,0.36363636363636365,0.4,0.2450325113904601,0.09443455155320231,0.6666666666666666,0.24193548387096775,0.32142857142857145,0.36363636363636365,0.4,0.6518819966010562,0.17067074287770437,1.0,0.6666666666666666,0.32142857142857145,0.36363636363636365,0.4
CHEMBL340213,CHEMBL340213,0.25270567079181916,0.0985757199053257,0.6666666666666666,0.25,0.32653061224489793,0.375,0.4166666666666667,0.21895186255508634,0.08556087280826875,0.6666666666666666,0.21428571428571427,0.28205128205128205,0.3235294117647059,0.36363636363636365,0.22292127969584913,0.08568500843217591,0.6666666666666666,0.21428571428571427,0.2857142857142857,0.3333333333333333,0.3793103448275862,0.6639597527600273,0.17274765225810423,1.0,0.6666666666666666,0.2857142857142857,0.3333333333333333,0.3793103448275862
CHEMBL129710,CHEMBL129710,0.25101494403714564,0.09700365389579586,0.6666666666666666,0.25,0.3235294117647059,0.375,0.41379310344827586,0.21736167535475398,0.0842786204783389,0.6666666666666666,0.2127659574468085,0.28,0.3225806451612903,0.36,0.21423932600276044,0.08454372916620434,0.6666666666666666,0.20833333333333334,0.27795992714025486,0.3225806451612903,0.36,0.6639597527600273,0.17274765225810423,1.0,0.6666666666666666,0.27795992714025486,0.3225806451612903,0.36
CHEMBL21619,CHEMBL21619,0.18389396866490157,0.11383096049674264,1.0,0.18518518518518517,0.28,0.3235294117647059,0.36363636363636365,0.15543791338205817,0.09800124711215716,1.0,0.15384615384615385,0.23255813953488372,0.275,0.3125,0.15168715096796523,0.09757942147134666,1.0,0.14705882352941177,0.22580645161290322,0.2727272727272727,0.3103448275862069,0.423066850225256,0.16068633427243714,1.0,0.4,0.22580645161290322,0.2727272727272727,0.3103448275862069
CHEMBL129337,CHEMBL129337,0.2729627284581639,0.10337302509731876,0.7272727272727273,0.2727272727272727,0.35294117647058826,0.4,0.4444444444444444,0.2370701117918344,0.08953821124273931,0.6666666666666666,0.23529411764705882,0.3076923076923077,0.35,0.3866004962779161,0.23252752635311225,0.08969333178186342,0.6666666666666666,0.22950819672131148,0.30197455024133385,0.3448275862068966,0.38461538461538464,0.6463071571406275,0.16394898466284372,1.0,0.6666666666666666,0.30197455024133385,0.3448275862068966,0.38461538461538464
CHEMBL174984,CHEMBL174984,0.2666071718171279,0.07982954001340241,0.6666666666666666,0.25925925925925924,0.32558139534883723,0.37037037037037035,0.4090909090909091,0.23222650079031848,0.07051125957973019,0.6666666666666666,0.225,0.2857142857142857,0.3225806451612903,0.358974358974359,0.23520146278694373,0.07295452115441206,0.6666666666666666,0.22727272727272727,0.2903225806451613,0.3333333333333333,0.36363636363636365,0.5877093593806615,0.14455197864959893,1.0,0.5714285714285714,0.2903225806451613,0.3333333333333333,0.36363636363636365
CHEMBL27,CHEMBL27,0.31128745715599926,0.13745360552260674,0.84375,0.30434782608695654,0.4375,0.5,0.5433540372670809,0.2741053369133819,0.1127471477068806,0.7560975609756098,0.2702702702702703,0.37142857142857144,0.4230769230769231,0.4634146341463415,0.27025609302539644,0.11201394058898212,0.7619047619047619,0.26666666666666666,0.36363636363636365,0.4186046511627907,0.45652173913043476,0.4920555551150923,0.14942944484774426,1.0,0.47058823529411764,0.36363636363636365,0.4186046511627907,0.45652173913043476
CHEMBL282309,CHEMBL282309,0.345534274856614,0.1265115884797082,0.8695652173913043,0.3333333333333333,0.46153846153846156,0.5172413793103449,0.5622807017543862,0.3007188621832379,0.10810639542699063,0.8461538461538461,0.2894736842105263,0.39285714285714285,0.4444444444444444,0.48563025210084043,0.2955509131930766,0.10572432316009245,0.8461538461538461,0.2857142857142857,0.38461538461538464,0.43243243243243246,0.4827586206896552,0.49089574612256487,0.14106599654896204,1.0,0.48148148148148145,0.38461538461538464,0.43243243243243246,0.4827586206896552
CHEMBL45802,CHEMBL45802,0.33476777331903024,0.1430299607227736,0.88,0.3235294117647059,0.46511627906976744,0.52,0.5666666666666667,0.28962558771616825,0.1219690030183206,0.8571428571428571,0.28125,0.39285714285714285,0.4473684210526316,0.48688644688644717,0.2849532660936265,0.12009341380842896,0.8571428571428571,0.28,0.38461538461538464,0.43902439024390244,0.4827586206896552,0.47205552329187167,0.15849799725331293,1.0,0.45,0.38461538461538464,0.43902439024390244,0.4827586206896552
CHEMBL545665,CHEMBL545665,0.330140667406297,0.13835087562348194,0.8333333333333334,0.32,0.45454545454545453,0.5139768339768342,0.5555555555555556,0.28509253440442517,0.1176292191856546,0.8333333333333334,0.28,0.38461538461538464,0.4345537757437073,0.48,0.2805114348284859,0.1153117328449094,0.8333333333333334,0.2777777777777778,0.3783783783783784,0.42403697996918355,0.4722222222222222,0.42118524103850874,0.147907062643613,1.0,0.4117647058823529,0.3783783783783784,0.42403697996918355,0.4722222222222222
CHEMBL26827,CHEMBL26827,0.3463769481452678,0.12627063157348112,0.8181818181818182,0.3333333333333333,0.4594594594594595,0.5172413793103449,0.56,0.2992652224968358,0.10669607870479712,0.7857142857142857,0.2857142857142857,0.3888888888888889,0.44,0.4838709677419355,0.2938537719320229,0.10433212884208953,0.7857142857142857,0.2835820895522388,0.38095238095238093,0.42857142857142855,0.475,0.467501922737955,0.1449825626036657,1.0,0.46153846153846156,0.38095238095238093,0.42857142857142855,0.475
