,name,Morgan radius 2 tanimoto similarity average,Morgan radius 2 tanimoto similarity std,Morgan radius 2 tanimoto similarity max,Morgan radius 2 tanimoto similarity median,Morgan radius 2 tanimoto similarity percentile 80,Morgan radius 2 tanimoto similarity percentile 90,Morgan radius 2 tanimoto similarity percentile 95,Morgan radius 3 tanimoto similarity average,Morgan radius 3 tanimoto similarity std,Morgan radius 3 tanimoto similarity max,Morgan radius 3 tanimoto similarity median,Morgan radius 3 tanimoto similarity percentile 80,Morgan radius 3 tanimoto similarity percentile 90,Morgan radius 3 tanimoto similarity percentile 95,Morgan radius 4 tanimoto similarity average,Morgan radius 4 tanimoto similarity std,Morgan radius 4 tanimoto similarity max,Morgan radius 4 tanimoto similarity median,Morgan radius 4 tanimoto similarity percentile 80,Morgan radius 4 tanimoto similarity percentile 90,Morgan radius 4 tanimoto similarity percentile 95,custom fingerprint tanimoto similarity average,custom fingerprint tanimoto similarity std,custom fingerprint tanimoto similarity max,custom fingerprint tanimoto similarity median,custom fingerprint tanimoto similarity percentile 80,custom fingerprint tanimoto similarity percentile 90,custom fingerprint tanimoto similarity percentile 95
110phenanthroline,110phenanthroline,0.1422617769292393,0.09447810824218529,0.68,0.13793103448275862,0.21621621621621623,0.26229508196721313,0.30434782608695654,0.10932959732927346,0.07201276247914551,0.5405405405405406,0.10526315789473684,0.16666666666666666,0.20202020202020202,0.23063660477453535,0.10366452484354886,0.06736179539380326,0.5125,0.10112359550561797,0.15555555555555556,0.18823529411764706,0.21617014742014726,0.29205020768423146,0.14861381531552056,1.0,0.2777777777777778,0.15555555555555556,0.18823529411764706,0.21617014742014726
1133tetramethylguanidine,1133tetramethylguanidine,0.036817355203629464,0.03753049141881703,0.4642857142857143,0.025,0.05555555555555555,0.07547169811320754,0.10416666666666667,0.033948529166534534,0.03554347598228271,0.4642857142857143,0.023255813953488372,0.050253164556962375,0.07142857142857142,0.09615384615384616,0.033498705944859986,0.03537064043613796,0.4642857142857143,0.023255813953488372,0.04878048780487805,0.07142857142857142,0.0942511792452827,0.15279076006217163,0.05597755646478762,0.625,0.14285714285714285,0.04878048780487805,0.07142857142857142,0.0942511792452827
11dinitroethane,11dinitroethane,0.03582658498221934,0.043376190862933525,0.52,0.023255813953488372,0.05,0.0847457627118644,0.125,0.03302600863542349,0.040407724427799746,0.52,0.02127659574468085,0.046511627906976744,0.07797888386123653,0.11320754716981132,0.03248001307891864,0.03972511330689057,0.52,0.02127659574468085,0.046153846153846156,0.07657342657342636,0.1111111111111111,0.1873015068214176,0.09092809853600405,1.0,0.18181818181818182,0.046153846153846156,0.07657342657342636,0.1111111111111111
123Nmethyltriazole,123Nmethyltriazole,0.07350592966520955,0.044801854344116245,0.36,0.06779661016949153,0.10714285714285714,0.13157894736842105,0.15789473684210525,0.06419861766875964,0.039196038713813115,0.3333333333333333,0.058823529411764705,0.09259259259259259,0.11320754716981132,0.13636363636363635,0.0630043839534787,0.038904839567840764,0.3333333333333333,0.05714285714285714,0.09090909090909091,0.1111111111111111,0.1346153846153846,0.31552973672787504,0.1733868709784029,1.0,0.27586206896551724,0.09090909090909091,0.1111111111111111,0.1346153846153846
123triazole,123triazole,0.06275172742944478,0.04134214390332073,0.34615384615384615,0.05405405405405406,0.09433962264150944,0.11904761904761904,0.13333333333333333,0.054507453195978696,0.03609774448962151,0.3103448275862069,0.047619047619047616,0.07894736842105263,0.1,0.11764705882352941,0.05348051042106997,0.03593001786440776,0.3103448275862069,0.047619047619047616,0.0784313725490196,0.1,0.11764705882352941,0.327525194986831,0.1616999380584544,1.0,0.2972972972972973,0.0784313725490196,0.1,0.11764705882352941
124Nmethyltriazole,124Nmethyltriazole,0.07200714461593315,0.04527618517867598,0.3076923076923077,0.06521739130434782,0.10271493212669704,0.13333333333333333,0.15789473684210525,0.06293113693168774,0.03919779592829858,0.2857142857142857,0.05660377358490566,0.08888888888888889,0.11363636363636363,0.13333333333333333,0.06174816929458212,0.03881677280670228,0.2857142857142857,0.05555555555555555,0.08620689655172414,0.11363636363636363,0.1320754716981132,0.31552973672787504,0.1733868709784029,1.0,0.27586206896551724,0.08620689655172414,0.11363636363636363,0.1320754716981132
124triazole,124triazole,0.06089449682008431,0.04030865145411223,0.34615384615384615,0.05405405405405406,0.08823529411764706,0.11363636363636363,0.13157894736842105,0.05274804912391407,0.034902080813004284,0.3103448275862069,0.047619047619047616,0.07547169811320754,0.0975609756097561,0.11764705882352941,0.05175554591898774,0.03460640256453043,0.3103448275862069,0.046511627906976744,0.07407407407407407,0.09615384615384616,0.11538461538461539,0.327525194986831,0.1616999380584544,1.0,0.2972972972972973,0.07407407407407407,0.09615384615384616,0.11538461538461539
125trimethylpyrrole,125trimethylpyrrole,0.12120629581204592,0.05964224176458756,0.4117647058823529,0.12244897959183673,0.16666666666666666,0.19444444444444445,0.21951219512195122,0.10563439448892031,0.05200484692717407,0.35135135135135137,0.10526315789473684,0.14634146341463414,0.16981132075471697,0.19047619047619047,0.10347289385333924,0.051664137982131,0.35135135135135137,0.10344827586206896,0.14285714285714285,0.16666666666666666,0.19047619047619047,0.26259550728169956,0.1487719911477933,0.9,0.23529411764705882,0.14285714285714285,0.16666666666666666,0.19047619047619047
11cyclopentanediacetic,11cyclopentanediacetic,0.04430130616287176,0.053303918655473,0.4883720930232558,0.02531645569620253,0.08064516129032258,0.1111111111111111,0.15064231232436662,0.03894248614930585,0.04613674014694121,0.42,0.023529411764705882,0.06944444444444445,0.09722222222222222,0.1323874445149012,0.03856077136924376,0.04586685198205398,0.42,0.022988505747126436,0.06854687080311583,0.09615384615384616,0.12903225806451613,0.18148965986955107,0.11318299238898197,0.9,0.15151515151515152,0.06854687080311583,0.09615384615384616,0.12903225806451613
12dihydro1methyl2oxopyrazine,12dihydro1methyl2oxopyrazine,0.10951720724937306,0.0564678913228146,0.5714285714285714,0.10622179239200516,0.14285714285714285,0.17777777777777778,0.20930232558139536,0.09322166518727479,0.04767103571100223,0.5151515151515151,0.08928571428571429,0.1206896551724138,0.15217391304347827,0.17777777777777778,0.09161127054457512,0.04745245265243442,0.5151515151515151,0.0875,0.12,0.14893617021276595,0.17777777777777778,0.33061803570328846,0.18182674815651412,1.0,0.2916666666666667,0.12,0.14893617021276595,0.17777777777777778
