,name,Morgan radius 2 tversky similarity average,Morgan radius 2 tversky similarity std,Morgan radius 2 tversky similarity max,Morgan radius 2 tversky similarity median,Morgan radius 2 tversky similarity percentile 80,Morgan radius 2 tversky similarity percentile 90,Morgan radius 2 tversky similarity percentile 95,Morgan radius 3 tversky similarity average,Morgan radius 3 tversky similarity std,Morgan radius 3 tversky similarity max,Morgan radius 3 tversky similarity median,Morgan radius 3 tversky similarity percentile 80,Morgan radius 3 tversky similarity percentile 90,Morgan radius 3 tversky similarity percentile 95,Morgan radius 4 tversky similarity average,Morgan radius 4 tversky similarity std,Morgan radius 4 tversky similarity max,Morgan radius 4 tversky similarity median,Morgan radius 4 tversky similarity percentile 80,Morgan radius 4 tversky similarity percentile 90,Morgan radius 4 tversky similarity percentile 95,custom fingerprint tversky similarity average,custom fingerprint tversky similarity std,custom fingerprint tversky similarity max,custom fingerprint tversky similarity median,custom fingerprint tversky similarity percentile 80,custom fingerprint tversky similarity percentile 90,custom fingerprint tversky similarity percentile 95
110phenanthroline,110phenanthroline,0.21717199660654346,0.14081231830015956,0.8095238095238095,0.21428571428571427,0.3333333333333333,0.40476190476190477,0.4523809523809524,0.16737786322894768,0.11197093250579448,0.7142857142857143,0.16071428571428573,0.25,0.32142857142857145,0.375,0.15933975764418598,0.10661419306836538,0.6949152542372882,0.15254237288135594,0.2542372881355932,0.3050847457627119,0.3559322033898305,0.40123092984878594,0.18908013456831135,1.0,0.391304347826087,0.2542372881355932,0.3050847457627119,0.3559322033898305
1133tetramethylguanidine,1133tetramethylguanidine,0.08789595988421868,0.07741982165752138,0.6842105263157895,0.05263157894736842,0.15789473684210525,0.15789473684210525,0.2631578947368421,0.08927188226181255,0.07757405593810655,0.6842105263157895,0.05263157894736842,0.15789473684210525,0.15789473684210525,0.2631578947368421,0.089669370948673,0.07787911330009722,0.6842105263157895,0.05263157894736842,0.15789473684210525,0.15789473684210525,0.2631578947368421,0.5179770203976245,0.17366721647949404,1.0,0.5,0.15789473684210525,0.15789473684210525,0.2631578947368421
11dinitroethane,11dinitroethane,0.08783480777854784,0.09997240507254279,0.6842105263157895,0.05263157894736842,0.10526315789473684,0.21052631578947367,0.3157894736842105,0.08936361042031879,0.10034993256066461,0.6842105263157895,0.05263157894736842,0.10526315789473684,0.21052631578947367,0.3157894736842105,0.08981205919523828,0.1004146168634847,0.6842105263157895,0.05263157894736842,0.10526315789473684,0.21052631578947367,0.3157894736842105,0.4407823392718822,0.20610889152211165,1.0,0.4,0.10526315789473684,0.21052631578947367,0.3157894736842105
123Nmethyltriazole,123Nmethyltriazole,0.1904930058777965,0.10356677056415953,0.5294117647058824,0.17647058823529413,0.29411764705882354,0.35294117647058826,0.35294117647058826,0.18231990704879938,0.0989536106643987,0.5,0.16666666666666666,0.2777777777777778,0.3333333333333333,0.3333333333333333,0.18285781908942247,0.09921100295003028,0.5,0.16666666666666666,0.2777777777777778,0.3333333333333333,0.3333333333333333,0.5368900077459334,0.25657773761186486,1.0,0.5,0.2777777777777778,0.3333333333333333,0.3333333333333333
123triazole,123triazole,0.1786857733023496,0.10334434020084117,0.6,0.2,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.1701926800929512,0.09813758371586594,0.5625,0.1875,0.25,0.3125,0.3125,0.17071310999225406,0.09856236178197714,0.5625,0.1875,0.25,0.3125,0.3125,0.5344952233410792,0.23456469645466116,1.0,0.5333333333333333,0.25,0.3125,0.3125
124Nmethyltriazole,124Nmethyltriazole,0.1865630837927735,0.10470706379282392,0.5882352941176471,0.17647058823529413,0.29411764705882354,0.29411764705882354,0.4117647058823529,0.17881272054393663,0.09973909473028163,0.6111111111111112,0.16666666666666666,0.2777777777777778,0.3333333333333333,0.3888888888888889,0.17932911610293484,0.09997421678209473,0.6111111111111112,0.16666666666666666,0.2777777777777778,0.3333333333333333,0.3888888888888889,0.5368900077459334,0.25657773761186486,1.0,0.5,0.2777777777777778,0.3333333333333333,0.3888888888888889
124triazole,124triazole,0.1738832946036664,0.1012890859626437,0.6,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.16519413245546088,0.09606238606399377,0.5625,0.1875,0.25,0.3125,0.3125,0.16579928350116188,0.09635803131521739,0.5625,0.1875,0.25,0.3125,0.3125,0.5344952233410792,0.23456469645466116,1.0,0.5333333333333333,0.25,0.3125,0.3125
125trimethylpyrrole,125trimethylpyrrole,0.2676865478956881,0.12388793581845209,0.6666666666666666,0.2857142857142857,0.38095238095238093,0.42857142857142855,0.47619047619047616,0.25731462573058234,0.11899598292349114,0.6363636363636364,0.2727272727272727,0.36363636363636365,0.4090909090909091,0.45454545454545453,0.2575962960354904,0.11912620524536573,0.6363636363636364,0.2727272727272727,0.36363636363636365,0.4090909090909091,0.45454545454545453,0.5960710904552888,0.2541052672260905,1.0,0.6666666666666666,0.36363636363636365,0.4090909090909091,0.45454545454545453
11cyclopentanediacetic,11cyclopentanediacetic,0.07562244107557818,0.08288241501225571,0.6,0.05714285714285714,0.14285714285714285,0.17142857142857143,0.22857142857142856,0.06791731216111542,0.07255280095003734,0.525,0.05,0.125,0.175,0.2,0.0682707203718048,0.07261560607558327,0.525,0.05,0.125,0.175,0.2,0.28229085979860574,0.13287764178231004,0.95,0.25,0.125,0.175,0.2
12dihydro1methyl2oxopyrazine,12dihydro1methyl2oxopyrazine,0.23580205619322583,0.10716405715799354,0.7272727272727273,0.22727272727272727,0.3181818181818182,0.36363636363636365,0.4090909090909091,0.21073586367157243,0.09592470957303338,0.68,0.2,0.28,0.32,0.36,0.21137877614252518,0.09628436203333333,0.68,0.2,0.28,0.32,0.36,0.6034243480506067,0.2692449555567822,1.0,0.5833333333333334,0.28,0.32,0.36
