,name,Morgan radius 2 tversky similarity average,Morgan radius 2 tversky similarity std,Morgan radius 2 tversky similarity max,Morgan radius 2 tversky similarity median,Morgan radius 2 tversky similarity percentile 80,Morgan radius 2 tversky similarity percentile 90,Morgan radius 2 tversky similarity percentile 95,Morgan radius 3 tversky similarity average,Morgan radius 3 tversky similarity std,Morgan radius 3 tversky similarity max,Morgan radius 3 tversky similarity median,Morgan radius 3 tversky similarity percentile 80,Morgan radius 3 tversky similarity percentile 90,Morgan radius 3 tversky similarity percentile 95,Morgan radius 4 tversky similarity average,Morgan radius 4 tversky similarity std,Morgan radius 4 tversky similarity max,Morgan radius 4 tversky similarity median,Morgan radius 4 tversky similarity percentile 80,Morgan radius 4 tversky similarity percentile 90,Morgan radius 4 tversky similarity percentile 95,custom fingerprint tversky similarity average,custom fingerprint tversky similarity std,custom fingerprint tversky similarity max,custom fingerprint tversky similarity median,custom fingerprint tversky similarity percentile 80,custom fingerprint tversky similarity percentile 90,custom fingerprint tversky similarity percentile 95
110phenanthroline,110phenanthroline,0.27278321430359587,0.15292759967145383,0.8333333333333334,0.2857142857142857,0.391304347826087,0.45454545454545453,0.5,0.23110155920962022,0.12784073436853838,0.6923076923076923,0.2413793103448276,0.3275862068965517,0.38095238095238093,0.4166666666666667,0.22443182200996234,0.124378635273651,0.6923076923076923,0.23529411764705882,0.32142857142857145,0.36363636363636365,0.40476190476190477,0.5044477220265154,0.1896283440944546,1.0,0.5,0.32142857142857145,0.36363636363636365,0.40476190476190477
1133tetramethylguanidine,1133tetramethylguanidine,0.060011955855532234,0.06530695766621773,0.875,0.043478260869565216,0.09090909090909091,0.125,0.1724137931034483,0.05350759389198099,0.06259982046090992,0.875,0.038218111002921135,0.07692307692307693,0.1111111111111111,0.15789473684210525,0.0526771999090088,0.06251122870973344,0.875,0.03571428571428571,0.07692307692307693,0.1111111111111111,0.15789473684210525,0.1842461387953329,0.08009531414628102,1.0,0.1724137931034483,0.07692307692307693,0.1111111111111111,0.15789473684210525
11dinitroethane,11dinitroethane,0.056298526698845365,0.06588389842866492,0.75,0.038461538461538464,0.08333333333333333,0.13333333333333333,0.18518518518518517,0.05028719434994616,0.06180132639285547,0.75,0.03333333333333333,0.075,0.11764705882352941,0.16216216216216217,0.04935517222924659,0.06114689971920332,0.75,0.03333333333333333,0.07142857142857142,0.11764705882352941,0.16129032258064516,0.24919900297576242,0.11357910587609694,1.0,0.23294573643410854,0.07142857142857142,0.11764705882352941,0.16129032258064516
123Nmethyltriazole,123Nmethyltriazole,0.10660953969279964,0.06419880795693808,0.5294117647058824,0.0967741935483871,0.15384615384615385,0.1875,0.22580645161290322,0.09128358747178339,0.05667220268798007,0.5,0.08333333333333333,0.125,0.16216216216216217,0.2,0.08930780821454888,0.056613326419205814,0.5,0.08,0.125,0.16129032258064516,0.19502032520325166,0.41879795112812507,0.18452844394854698,1.0,0.3939393939393939,0.125,0.16129032258064516,0.19502032520325166
123triazole,123triazole,0.0873760937052082,0.05858338700303697,0.4666666666666667,0.07894736842105263,0.12903225806451613,0.16666666666666666,0.1875,0.0744725268153272,0.051428624143448405,0.4375,0.06779661016949153,0.10714285714285714,0.13793103448275862,0.16666666666666666,0.07283340853085904,0.051385584361864564,0.4375,0.06451612903225806,0.10638297872340426,0.13793103448275862,0.16666666666666666,0.45223277374384574,0.1739894978662505,1.0,0.42857142857142855,0.10638297872340426,0.13793103448275862,0.16666666666666666
124Nmethyltriazole,124Nmethyltriazole,0.10451258626841496,0.06402634531280195,0.47058823529411764,0.09375,0.14705882352941177,0.19148936170212766,0.22580645161290322,0.08954406879512762,0.05600557046540307,0.4444444444444444,0.08,0.125,0.16216216216216217,0.19230769230769232,0.08758822016318121,0.05582912279105495,0.4444444444444444,0.07692307692307693,0.12150776053215118,0.16,0.19230769230769232,0.41879795112812507,0.18452844394854698,1.0,0.3939393939393939,0.12150776053215118,0.16,0.19230769230769232
124triazole,124triazole,0.08492759790627864,0.05656743105652275,0.45,0.07692307692307693,0.125,0.16,0.1871527777777765,0.07218820796043873,0.04928626907704613,0.4090909090909091,0.06451612903225806,0.10714285714285714,0.13513513513513514,0.16,0.07059474916206075,0.04907704522326404,0.4090909090909091,0.06451612903225806,0.10416666666666667,0.13280701754385932,0.16,0.45223277374384574,0.1739894978662505,1.0,0.42857142857142855,0.10416666666666667,0.13280701754385932,0.16
125trimethylpyrrole,125trimethylpyrrole,0.1803845605456749,0.08511537887523973,0.5416666666666666,0.18181818181818182,0.25,0.28125,0.3181818181818182,0.1534646898777994,0.0747326267459905,0.5,0.15,0.20979192166462735,0.24324324324324326,0.28,0.14982804453442955,0.07502781847903087,0.5,0.14285714285714285,0.20689655172413793,0.2413793103448276,0.28,0.31153425649875055,0.15386130308947604,1.0,0.2857142857142857,0.20689655172413793,0.2413793103448276,0.28
11cyclopentanediacetic,11cyclopentanediacetic,0.09224561612926176,0.11145766095648904,0.7692307692307693,0.05,0.16129032258064516,0.23529411764705882,0.3333333333333333,0.08351281109200571,0.10424321862065124,0.7692307692307693,0.045454545454545456,0.14,0.21428571428571427,0.3157894736842105,0.08230048482188937,0.10395075681835077,0.7692307692307693,0.044444444444444446,0.13636363636363635,0.21212121212121213,0.3157894736842105,0.33608884340939693,0.17432426340658116,1.0,0.2916666666666667,0.13636363636363635,0.21212121212121213,0.3157894736842105
12dihydro1methyl2oxopyrazine,12dihydro1methyl2oxopyrazine,0.16938236742273635,0.08325581643377353,0.7272727272727273,0.16326530612244897,0.219707317073171,0.275,0.32,0.14556538303892158,0.0736885584298964,0.68,0.13793103448275862,0.19047619047619047,0.24,0.2810624999999993,0.14244801463451748,0.07409323755148908,0.68,0.13333333333333333,0.18421052631578946,0.23809523809523808,0.28,0.40805243454309953,0.18037795515714813,1.0,0.375,0.18421052631578946,0.23809523809523808,0.28
12dimethylindole,12dimethylindole,0.2695996584991902,0.13137216639943786,0.8064516129032258,0.27906976744186046,0.3793103448275862,0.43333333333333335,0.48148148148148145,0.23038304731042308,0.10940293004820728,0.7435897435897436,0.23809523809523808,0.32142857142857145,0.36195891415994125,0.4046859169199592,0.22446252161408406,0.10820731502740422,0.725,0.22916666666666666,0.3170731707317073,0.35714285714285715,0.4,0.42267684304182906,0.1778781953262034,1.0,0.4117647058823529,0.3170731707317073,0.35714285714285715,0.4
12dimethylurazole,12dimethylurazole,0.15580584217846138,0.07461444452276693,0.6666666666666666,0.14285714285714285,0.20833333333333334,0.25,0.2916666666666667,0.13408463001770896,0.06654473253528585,0.6666666666666666,0.12195121951219512,0.18181818181818182,0.2222222222222222,0.25,0.1311294240074123,0.06636308235088946,0.6666666666666666,0.12,0.17857142857142858,0.21428571428571427,0.25,0.4757270018403378,0.1747702751303942,1.0,0.45454545454545453,0.17857142857142858,0.21428571428571427,0.25
12ethanediamine,12ethanediamine,0.01461207079945044,0.041589647869709624,0.6666666666666666,0.0,0.02857142857142857,0.041166666666666366,0.06666666666666667,0.013469708167335602,0.04029132493587172,0.6666666666666666,0.0,0.023809523809523808,0.03571428571428571,0.0625,0.013433155059099727,0.04022351314045678,0.6666666666666666,0.0,0.023255813953488372,0.03571428571428571,0.0625,0.22114804458084492,0.11902687889457497,1.0,0.2,0.023255813953488372,0.03571428571428571,0.0625
12phenylenediamine,12phenylenediamine,0.19877385713664272,0.12615739623667846,0.7272727272727273,0.2,0.3103448275862069,0.36,0.40723379629629564,0.16752100808391882,0.10647988050267393,0.68,0.16666666666666666,0.2571428571428571,0.2972972972972973,0.3409090909090909,0.163273931456742,0.1054421420701052,0.68,0.1602469135802469,0.25,0.29411764705882354,0.3333333333333333,0.36732075893314015,0.1612300164851405,1.0,0.3333333333333333,0.25,0.29411764705882354,0.3333333333333333
13cyclohexanedione,13cyclohexanedione,0.13663517383143653,0.06004082892902218,0.6470588235294118,0.125,0.17857142857142858,0.20833333333333334,0.23499999999999893,0.11807133587718825,0.05375878130584496,0.6111111111111112,0.10869565217391304,0.15625,0.18181818181818182,0.20588235294117646,0.11561199797621251,0.054088480507982185,0.6111111111111112,0.10714285714285714,0.15384615384615385,0.18181818181818182,0.2,0.2587398953807489,0.12029514873495624,1.0,0.23529411764705882,0.15384615384615385,0.18181818181818182,0.2
135benzenetricarboxylic,135benzenetricarboxylic,0.21107051215114786,0.10293264847340115,0.7692307692307693,0.2,0.2727272727272727,0.34210526315789475,0.41379310344827586,0.1812543150051234,0.09310955908609185,0.7692307692307693,0.16405676535356006,0.23809523809523808,0.3039525691699603,0.375,0.17751863003847143,0.09335394061585203,0.7692307692307693,0.16129032258064516,0.23529411764705882,0.3,0.37142857142857144,0.44619687744018394,0.1779567044098866,1.0,0.4090909090909091,0.23529411764705882,0.3,0.37142857142857144
13phenylenediamine,13phenylenediamine,0.19291598418558376,0.1178046687861971,0.7272727272727273,0.1956521739130435,0.2857142857142857,0.3333333333333333,0.3793103448275862,0.1641732283912496,0.1013257135629322,0.68,0.16666666666666666,0.2413793103448276,0.2857142857142857,0.32338709677419303,0.16011758409838248,0.10078023250232654,0.68,0.16,0.23809523809523808,0.28205128205128205,0.3225806451612903,0.3606855564302196,0.15779852350829565,1.0,0.3333333333333333,0.23809523809523808,0.28205128205128205,0.3225806451612903
13propanediamine,13propanediamine,0.015588587097189506,0.04360156559698897,0.8888888888888888,0.0,0.030031659882406397,0.041666666666666664,0.06896551724137931,0.01461339359077507,0.04217348965928871,0.8888888888888888,0.0,0.025,0.03571428571428571,0.06451612903225806,0.01458414796547338,0.04209521845218808,0.8888888888888888,0.0,0.024390243902439025,0.03571428571428571,0.0663440860215042,0.23247059376888565,0.12570098719736705,1.0,0.21052631578947367,0.024390243902439025,0.03571428571428571,0.0663440860215042
14butanediamine,14butanediamine,0.015654898507777775,0.0445181711965103,0.9230769230769231,0.0,0.029411764705882353,0.041666666666666664,0.06896551724137931,0.01482740588524314,0.043223721318132236,0.9230769230769231,0.0,0.02564102564102564,0.037037037037037035,0.0663440860215042,0.014775536408745064,0.04313210538599869,0.9230769230769231,0.0,0.025,0.036835016835016714,0.06666666666666667,0.23533191798921294,0.12773103153341098,1.0,0.21052631578947367,0.025,0.036835016835016714,0.06666666666666667
14dimethylurazole,14dimethylurazole,0.16487816299857846,0.07667097861417924,0.6666666666666666,0.15384615384615385,0.2222222222222222,0.2631578947368421,0.30434782608695654,0.1416874378681948,0.0677991401308421,0.6666666666666666,0.13157894736842105,0.19047619047619047,0.23076923076923078,0.2631578947368421,0.13834945897344983,0.06737361121129809,0.6666666666666666,0.1282051282051282,0.1875,0.22580645161290322,0.2557397328055415,0.49113979534729857,0.18439915251190508,1.0,0.46875,0.1875,0.22580645161290322,0.2557397328055415
14phenylenediamine,14phenylenediamine,0.1813164792232933,0.11072094173288717,0.7272727272727273,0.1891891891891892,0.26666666666666666,0.3125,0.36363636363636365,0.152971108593355,0.09467899440010888,0.68,0.15873015873015872,0.21951219512195122,0.2647058823529412,0.3103448275862069,0.1489791356652189,0.09370175714627069,0.68,0.15151515151515152,0.21428571428571427,0.26385302879841094,0.3076923076923077,0.3606855564302196,0.15779852350829565,1.0,0.3333333333333333,0.21428571428571427,0.26385302879841094,0.3076923076923077
17phenanthroline,17phenanthroline,0.2767562803810912,0.15831972548839895,0.8095238095238095,0.2857142857142857,0.4,0.47058823529411764,0.53125,0.2410238833352528,0.1323657068618983,0.6829268292682927,0.25,0.34285714285714286,0.4,0.44,0.23485294344038332,0.12905055086754416,0.6666666666666666,0.24467120181405894,0.3333333333333333,0.3877551020408163,0.4353786816269281,0.5044477220265154,0.1896283440944546,1.0,0.5,0.3333333333333333,0.3877551020408163,0.4353786816269281
1amino2naphtalenesulfonic,1amino2naphtalenesulfonic,0.2919113333822582,0.14612324899514564,0.8536585365853658,0.28125,0.4166666666666667,0.48148148148148145,0.5405405405405406,0.2495423700299724,0.12138287259633929,0.7647058823529411,0.2413793103448276,0.35294117647058826,0.4,0.45454545454545453,0.24411042709553374,0.11836116882782513,0.7547169811320755,0.23809523809523808,0.3448275862068966,0.3939393939393939,0.45068027210884243,0.47643141067059497,0.16703879751529763,1.0,0.4382621951219512,0.3448275862068966,0.3939393939393939,0.45068027210884243
1amino3naphtalenesulfonic,1amino3naphtalenesulfonic,0.29348652033415557,0.1447885294718105,0.8529411764705882,0.2903225806451613,0.41379310344827586,0.4779644268774702,0.53125,0.2510534198354236,0.12007049356844134,0.7727272727272727,0.25,0.34898486526393524,0.4,0.45161290322580644,0.24533158618974585,0.11845144580050002,0.7555555555555555,0.24,0.3392857142857143,0.39473684210526316,0.4482758620689655,0.47643141067059497,0.16703879751529763,1.0,0.4382621951219512,0.3392857142857143,0.39473684210526316,0.4482758620689655
1amino4naphtalenesulfonic,1amino4naphtalenesulfonic,0.28524699029909106,0.1456479646042009,0.9024390243902439,0.28,0.41113445378151314,0.47058823529411764,0.52,0.24324844084385444,0.12041832067624006,0.7647058823529411,0.23809523809523808,0.3469387755102041,0.39622641509433965,0.44,0.23774172675183514,0.11798629976940882,0.7575757575757576,0.23076923076923078,0.3333333333333333,0.3888888888888889,0.43243243243243246,0.47643141067059497,0.16703879751529763,1.0,0.4382621951219512,0.3333333333333333,0.3888888888888889,0.43243243243243246
1amino5naphtalenesulfonic,1amino5naphtalenesulfonic,0.2757940275648706,0.13813232843331189,0.9024390243902439,0.2727272727272727,0.4,0.4482758620689655,0.5,0.2348289011265246,0.11375591548503378,0.7674418604651163,0.23333333333333334,0.3275862068965517,0.3793103448275862,0.41502531063046455,0.2288656366546361,0.11144693776600267,0.7575757575757576,0.22580645161290322,0.32225259704756726,0.3664227642276421,0.4117647058823529,0.47643141067059497,0.16703879751529763,1.0,0.4382621951219512,0.32225259704756726,0.3664227642276421,0.4117647058823529
