,name,Morgan radius 2 tanimoto similarity average,Morgan radius 2 tanimoto similarity std,Morgan radius 2 tanimoto similarity max,Morgan radius 2 tanimoto similarity median,Morgan radius 2 tanimoto similarity percentile 80,Morgan radius 2 tanimoto similarity percentile 90,Morgan radius 2 tanimoto similarity percentile 95,Morgan radius 3 tanimoto similarity average,Morgan radius 3 tanimoto similarity std,Morgan radius 3 tanimoto similarity max,Morgan radius 3 tanimoto similarity median,Morgan radius 3 tanimoto similarity percentile 80,Morgan radius 3 tanimoto similarity percentile 90,Morgan radius 3 tanimoto similarity percentile 95,Morgan radius 4 tanimoto similarity average,Morgan radius 4 tanimoto similarity std,Morgan radius 4 tanimoto similarity max,Morgan radius 4 tanimoto similarity median,Morgan radius 4 tanimoto similarity percentile 80,Morgan radius 4 tanimoto similarity percentile 90,Morgan radius 4 tanimoto similarity percentile 95,custom fingerprint tanimoto similarity average,custom fingerprint tanimoto similarity std,custom fingerprint tanimoto similarity max,custom fingerprint tanimoto similarity median,custom fingerprint tanimoto similarity percentile 80,custom fingerprint tanimoto similarity percentile 90,custom fingerprint tanimoto similarity percentile 95
"2-(Acetyloxy)-3-carboxy-N,N,N-trimethylpropan-1-aminium","2-(Acetyloxy)-3-carboxy-N,N,N-trimethylpropan-1-aminium",0.07022925147064905,0.05407598121833718,0.7317073170731707,0.057971014492753624,0.1111111111111111,0.14285714285714285,0.1746031746031746,0.06198258444509647,0.04747146731268212,0.6808510638297872,0.05128205128205128,0.0963855421686747,0.125,0.15384615384615385,0.060607425998155114,0.046596744728541875,0.6808510638297872,0.05,0.09375,0.1206896551724138,0.15,0.21477472165826078,0.11214963587368272,0.85,0.1891891891891892,0.09375,0.1206896551724138,0.15
1-Amino-2-propanol,1-Amino-2-propanol,0.04974718797861885,0.04334111812060898,1.0,0.039473684210526314,0.07142857142857142,0.1,0.13043478260869565,0.04477950185457577,0.04116769634309006,1.0,0.034482758620689655,0.06382978723404255,0.09090909090909091,0.11904761904761904,0.043552714769488694,0.04084356258306563,1.0,0.03278688524590164,0.061224489795918366,0.08888888888888889,0.11627906976744186,0.18826037916778354,0.09969384493606817,1.0,0.16666666666666666,0.061224489795918366,0.08888888888888889,0.11627906976744186
"1-Chloro-2,4-Dinitrobenzene","1-Chloro-2,4-Dinitrobenzene",0.10891751580337898,0.0805551073032204,0.7,0.10344827586206896,0.15,0.18518518518518517,0.2619047619047619,0.09071055489876871,0.06551016430969546,0.5686274509803921,0.08653846153846154,0.1232876712328767,0.15384615384615385,0.2191780821917808,0.08717297434802473,0.06266498051317407,0.5471698113207547,0.0821917808219178,0.11940298507462686,0.15,0.20833333333333334,0.2635878657504734,0.10303970173856895,0.8947368421052632,0.2571428571428571,0.11940298507462686,0.15,0.20833333333333334
9-Ethyladenine,9-Ethyladenine,0.09531210218779844,0.05404316548588742,0.6666666666666666,0.08974358974358974,0.12698412698412698,0.15254237288135594,0.1875,0.07773472696225699,0.041630242908399714,0.5471698113207547,0.07407407407407407,0.10294117647058823,0.12195121951219512,0.14864864864864866,0.07425923720304728,0.03948899680022821,0.5087719298245614,0.0707070707070707,0.09859154929577464,0.11688311688311688,0.14102564102564102,0.2862003303138416,0.15372768335102857,1.0,0.2537313432835821,0.09859154929577464,0.11688311688311688,0.14102564102564102
"2,3-Dihydroxybenzoic Acid","2,3-Dihydroxybenzoic Acid",0.14273115286326304,0.08310418144375593,0.7058823529411765,0.13636363636363635,0.19607843137254902,0.2413793103448276,0.2916666666666667,0.11809424849964473,0.06695080928789825,0.6585365853658537,0.11320754716981132,0.16071428571428573,0.2,0.23529411764705882,0.11463996740060776,0.0658628554112492,0.6585365853658537,0.109375,0.15517241379310345,0.1930622009569377,0.22972972972972974,0.2555588201477553,0.11346446315921849,0.9523809523809523,0.23255813953488372,0.15517241379310345,0.1930622009569377,0.22972972972972974
2-Chloroethanol,2-Chloroethanol,0.031681772051720014,0.03314951666556548,0.38461538461538464,0.02564102564102564,0.05128205128205128,0.07142857142857142,0.09090909090909091,0.028560277082775955,0.03081399390536805,0.38461538461538464,0.022222222222222223,0.045454545454545456,0.06382978723404255,0.08333333333333333,0.027656232747922567,0.03037199125857901,0.38461538461538464,0.021739130434782608,0.043478260869565216,0.0625,0.08333333333333333,0.1365532959513588,0.07376283962500188,0.7777777777777778,0.12,0.043478260869565216,0.0625,0.08333333333333333
Tartronic acid,Tartronic acid,0.055988902513429854,0.06491246764645858,0.5357142857142857,0.034482758620689655,0.0967741935483871,0.14285714285714285,0.19047619047619047,0.0507574922298062,0.060009973263384794,0.52,0.03076923076923077,0.08571428571428572,0.1276595744680851,0.175,0.049230322542565645,0.0589819808670466,0.52,0.029411764705882353,0.08244996967859322,0.125,0.1724137931034483,0.2001641325863288,0.12074106688987518,0.9473684210526315,0.1702127659574468,0.08244996967859322,0.125,0.1724137931034483
2-Oxobutanoic Acid,2-Oxobutanoic Acid,0.07616953651562029,0.06309505959931783,0.5,0.058823529411764705,0.12121212121212122,0.16393442622950818,0.2,0.06855565784194918,0.05880337894764203,0.5,0.05172413793103448,0.10843373493975904,0.14893617021276595,0.18518518518518517,0.06648973030558936,0.05806711521353707,0.5,0.04929577464788732,0.10416666666666667,0.14285714285714285,0.18181818181818182,0.18438433094337103,0.11352489618987256,1.0,0.14814814814814814,0.10416666666666667,0.14285714285714285,0.18181818181818182
2-Phosphoglyceric Acid,2-Phosphoglyceric Acid,0.05895380943278774,0.05684174842014378,0.4857142857142857,0.039473684210526314,0.10204081632653061,0.14,0.17366220735785862,0.05373520197425287,0.051829573758659826,0.4594594594594595,0.03636363636363636,0.09210526315789473,0.1267605633802817,0.15789473684210525,0.05234661514707576,0.05087340408181403,0.4594594594594595,0.03571428571428571,0.08860759493670886,0.1236418394532607,0.15384615384615385,0.21520916612493723,0.12030600580952247,0.8571428571428571,0.19230769230769232,0.08860759493670886,0.1236418394532607,0.15384615384615385
"2,5-Dichlorophenol","2,5-Dichlorophenol",0.11998573398732768,0.07585784656191501,0.7142857142857143,0.12,0.17307692307692307,0.21052631578947367,0.25,0.09962942972380698,0.061554078166514474,0.5555555555555556,0.1,0.14285714285714285,0.17307692307692307,0.20408163265306123,0.096548649685338,0.06054354253599735,0.5555555555555556,0.09523809523809523,0.13973493373343363,0.1694915254237288,0.2,0.2038455474331144,0.12675140727498266,1.0,0.17391304347826086,0.13973493373343363,0.1694915254237288,0.2
Protocatechuic Acid,Protocatechuic Acid,0.13866720054901105,0.08038492420187474,0.6571428571428571,0.13114754098360656,0.1875,0.23404255319148937,0.2826086956521739,0.11540295869307221,0.06566301527170777,0.5813953488372093,0.109375,0.1548960429242121,0.19249304911955498,0.23214285714285715,0.11199989986841576,0.0644702702326853,0.5813953488372093,0.10606060606060606,0.14942528735632185,0.1875,0.22807017543859648,0.2523533711850548,0.11376123096835249,1.0,0.22857142857142856,0.14942528735632185,0.1875,0.22807017543859648
3-Cyanopyridine,3-Cyanopyridine,0.09260470672230345,0.06610329688846737,0.4838709677419355,0.09433962264150944,0.14285714285714285,0.16981132075471697,0.1956521739130435,0.07825582600619409,0.05563110232495463,0.45454545454545453,0.07936507936507936,0.12,0.14,0.1638450074515645,0.07604477332871605,0.05491871131293047,0.45454545454545453,0.07575757575757576,0.11688311688311688,0.14,0.16129032258064516,0.24177117111374305,0.14053798867143266,1.0,0.2,0.11688311688311688,0.14,0.16129032258064516
3-Hydroxyanthranilic Acid,3-Hydroxyanthranilic Acid,0.14561976209442298,0.08175984790311193,0.6571428571428571,0.13725490196078433,0.202638352638353,0.24489795918367346,0.2916666666666667,0.12103869907290796,0.06597118179767537,0.5454545454545454,0.11428571428571428,0.16666666666666666,0.2033898305084746,0.23809523809523808,0.11752188527729931,0.06506596929763221,0.5454545454545454,0.1111111111111111,0.16176470588235295,0.19758828596037892,0.234375,0.26410130833049383,0.11735181790692643,0.9545454545454546,0.24242424242424243,0.16176470588235295,0.19758828596037892,0.234375
Acetoacetic Acid,Acetoacetic Acid,0.07614834389626454,0.06686536600575663,0.5454545454545454,0.0547945205479452,0.12121212121212122,0.1702127659574468,0.21052631578947367,0.06861560531422915,0.06225199181286467,0.5454545454545454,0.04918032786885246,0.10810810810810811,0.15384615384615385,0.19206219312602202,0.06659176408280543,0.06142620836809917,0.5454545454545454,0.046875,0.1038961038961039,0.14814814814814814,0.1875,0.18438433094337103,0.11352489618987256,1.0,0.14814814814814814,0.1038961038961039,0.14814814814814814,0.1875
3-Hydroxybenzyl alcohol,3-Hydroxybenzyl alcohol,0.13477015475803497,0.07756370816962635,0.6666666666666666,0.1323529411764706,0.2,0.23214285714285715,0.26666666666666666,0.11181979926966065,0.0631805681880628,0.6111111111111112,0.10975609756097561,0.16326530612244897,0.1896551724137931,0.21666666666666667,0.10833710297262995,0.06210125310946103,0.6111111111111112,0.1038961038961039,0.15789473684210525,0.1875,0.2130101151028946,0.26785965296815956,0.12086470136450694,1.0,0.2413793103448276,0.15789473684210525,0.1875,0.2130101151028946
Benzenepropanoic acid,Benzenepropanoic acid,0.14599213140888018,0.09401063597147474,0.7435897435897436,0.13157894736842105,0.22448979591836735,0.26785714285714285,0.3157894736842105,0.12186816046174695,0.0791025365595761,0.64,0.109375,0.18181818181818182,0.2236842105263158,0.2644607843137246,0.11653134566709702,0.07523804567020666,0.5818181818181818,0.10416666666666667,0.17525773195876287,0.2127659574468085,0.25396825396825395,0.2675507840582912,0.13322676089594304,1.0,0.23809523809523808,0.17525773195876287,0.2127659574468085,0.25396825396825395
Gamma-Aminobutyric Acid,Gamma-Aminobutyric Acid,0.06463378813921397,0.06518320167211993,0.7727272727272727,0.04477611940298507,0.10638297872340426,0.14583333333333334,0.19047619047619047,0.05757413460874355,0.058471996744166456,0.6538461538461539,0.04,0.0942952275249725,0.1282051282051282,0.1724137931034483,0.05591644399383777,0.05731712485152931,0.6538461538461539,0.038461538461538464,0.09090909090909091,0.125,0.17073170731707318,0.22138179219723048,0.13726709090585604,1.0,0.18,0.09090909090909091,0.125,0.17073170731707318
4-Hydroxybenzyl Alcohol,4-Hydroxybenzyl Alcohol,0.12937846717206258,0.075268013383938,0.6666666666666666,0.12857142857142856,0.1875,0.2184090909090907,0.25,0.1078412844142161,0.06230158644115482,0.6111111111111112,0.10666666666666667,0.15384615384615385,0.18032786885245902,0.2037037037037037,0.10427476371163323,0.060588446058072475,0.6111111111111112,0.10144927536231885,0.14864864864864866,0.175,0.2,0.26785965296815956,0.12086470136450694,1.0,0.2413793103448276,0.14864864864864866,0.175,0.2
