,name,Morgan radius 2 tanimoto similarity average,Morgan radius 2 tanimoto similarity std,Morgan radius 2 tanimoto similarity max,Morgan radius 2 tanimoto similarity median,Morgan radius 2 tanimoto similarity percentile 80,Morgan radius 2 tanimoto similarity percentile 90,Morgan radius 2 tanimoto similarity percentile 95,Morgan radius 3 tanimoto similarity average,Morgan radius 3 tanimoto similarity std,Morgan radius 3 tanimoto similarity max,Morgan radius 3 tanimoto similarity median,Morgan radius 3 tanimoto similarity percentile 80,Morgan radius 3 tanimoto similarity percentile 90,Morgan radius 3 tanimoto similarity percentile 95,Morgan radius 4 tanimoto similarity average,Morgan radius 4 tanimoto similarity std,Morgan radius 4 tanimoto similarity max,Morgan radius 4 tanimoto similarity median,Morgan radius 4 tanimoto similarity percentile 80,Morgan radius 4 tanimoto similarity percentile 90,Morgan radius 4 tanimoto similarity percentile 95,custom fingerprint tanimoto similarity average,custom fingerprint tanimoto similarity std,custom fingerprint tanimoto similarity max,custom fingerprint tanimoto similarity median,custom fingerprint tanimoto similarity percentile 80,custom fingerprint tanimoto similarity percentile 90,custom fingerprint tanimoto similarity percentile 95
"2-(Acetyloxy)-3-carboxy-N,N,N-trimethylpropan-1-aminium","2-(Acetyloxy)-3-carboxy-N,N,N-trimethylpropan-1-aminium",0.0509835558570209,0.04598995386394947,0.4090909090909091,0.037037037037037035,0.08333333333333333,0.11320754716981132,0.14285714285714285,0.045870384273745256,0.04104585699395333,0.35294117647058826,0.034482758620689655,0.07352941176470588,0.1016949152542373,0.12693941426335795,0.045459869836189964,0.04080256444792746,0.35294117647058826,0.03389830508474576,0.07272727272727272,0.10144927536231885,0.125,0.16891530331027085,0.08689640241320111,0.7272727272727273,0.14814814814814814,0.07272727272727272,0.10144927536231885,0.125
1-Amino-2-propanol,1-Amino-2-propanol,0.0389681059657455,0.036693002010231776,0.4666666666666667,0.029411764705882353,0.05405405405405406,0.07142857142857142,0.10526315789473684,0.03588958006175662,0.03580463134730065,0.4666666666666667,0.02631578947368421,0.04886045581767286,0.06666666666666667,0.1,0.0355067484553637,0.03580829312343725,0.4666666666666667,0.02631578947368421,0.04878048780487805,0.06666666666666667,0.0975609756097561,0.18146516186940553,0.09626154300681584,1.0,0.16129032258064516,0.04878048780487805,0.06666666666666667,0.0975609756097561
"1-Chloro-2,4-Dinitrobenzene","1-Chloro-2,4-Dinitrobenzene",0.12131817357217595,0.0837277374563761,0.7,0.11494252873563218,0.15873015873015872,0.2,0.28888888888888886,0.10065266618253414,0.0677287135024681,0.5686274509803921,0.09523809523809523,0.13157894736842105,0.16575342465753506,0.2361111111111111,0.09748744336502554,0.06511127082906226,0.5471698113207547,0.09195402298850575,0.12857142857142856,0.16129032258064516,0.22666666666666666,0.2588498655468577,0.10744153359743493,0.8421052631578947,0.25,0.12857142857142856,0.16129032258064516,0.22666666666666666
9-Ethyladenine,9-Ethyladenine,0.10349255142375476,0.05615505001237132,0.6666666666666666,0.1,0.13725490196078433,0.1638152011922505,0.2,0.08340642249969794,0.04328717205061547,0.5471698113207547,0.08064516129032258,0.109375,0.12987012987012986,0.1598840579710146,0.08011255106414011,0.04126119282186012,0.5087719298245614,0.07777777777777778,0.10526315789473684,0.125,0.1518987341772152,0.3190056341724932,0.16440812228675836,0.9655172413793104,0.2926829268292683,0.10526315789473684,0.125,0.1518987341772152
"2,3-Dihydroxybenzoic Acid","2,3-Dihydroxybenzoic Acid",0.1520254145112563,0.08607083225828528,1.0,0.14545454545454545,0.2,0.2558139534883721,0.3091575091575095,0.12590117014580796,0.06965867700759822,1.0,0.12121212121212122,0.16666666666666666,0.21052631578947367,0.25,0.12365514340505532,0.06897867511825843,1.0,0.11864406779661017,0.1639833618791289,0.20588235294117646,0.25,0.2555760352122054,0.11541414892286264,1.0,0.23333333333333334,0.1639833618791289,0.20588235294117646,0.25
2-Chloroethanol,2-Chloroethanol,0.02007393565421805,0.029685973284721594,1.0,0.02,0.030303030303030304,0.043478260869565216,0.0625,0.018703759793447818,0.02894036175533017,1.0,0.01694915254237288,0.027777777777777776,0.04,0.05714285714285714,0.018519531021164964,0.028913767509240938,1.0,0.01639344262295082,0.027777777777777776,0.04,0.05714285714285714,0.13292483799800356,0.07793236027688356,1.0,0.11764705882352941,0.027777777777777776,0.04,0.05714285714285714
Tartronic acid,Tartronic acid,0.04568317504215133,0.06487640472342981,0.5357142857142857,0.02127659574468085,0.07462686567164178,0.1276595744680851,0.1751334858886349,0.04237572844146823,0.06133822009838274,0.52,0.0196078431372549,0.06818181818181818,0.11538461538461539,0.1702127659574468,0.0418111741089409,0.061023382763731496,0.52,0.0196078431372549,0.06684684684684668,0.11320754716981132,0.16666666666666666,0.17134736330169414,0.11483728295558218,0.9473684210526315,0.14285714285714285,0.06684684684684668,0.11320754716981132,0.16666666666666666
2-Oxobutanoic Acid,2-Oxobutanoic Acid,0.06220470551441226,0.0626424326340021,1.0,0.041666666666666664,0.0975609756097561,0.15,0.1912867274569404,0.057086061433415464,0.05966195725602101,1.0,0.037037037037037035,0.08695652173913043,0.13636363636363635,0.17647058823529413,0.056279893373409495,0.05943271442799538,1.0,0.03614457831325301,0.08695652173913043,0.13333333333333333,0.17391304347826086,0.16202437661233843,0.10960379591867167,1.0,0.125,0.08695652173913043,0.13333333333333333,0.17391304347826086
2-Phosphoglyceric Acid,2-Phosphoglyceric Acid,0.04339220182310276,0.05226109201224434,0.375,0.020833333333333332,0.07818627450980387,0.11864406779661017,0.1568627450980392,0.04048552210437656,0.0486762943770554,0.36363636363636365,0.02127659574468085,0.06944444444444445,0.1079417879417881,0.14285714285714285,0.040053892174177444,0.048443718865395995,0.36363636363636365,0.02127659574468085,0.06779661016949153,0.10714285714285714,0.14285714285714285,0.166133671008922,0.09828715541070221,0.7727272727272727,0.14705882352941177,0.06779661016949153,0.10714285714285714,0.14285714285714285
"2,5-Dichlorophenol","2,5-Dichlorophenol",0.1366032158530451,0.07712625203500068,0.7142857142857143,0.13636363636363635,0.18867924528301888,0.23255813953488372,0.2619047619047619,0.11336485792489148,0.0623682578446091,0.5555555555555556,0.11363636363636363,0.15517241379310345,0.1896551724137931,0.21739130434782608,0.11114325225244547,0.06172668789888637,0.5555555555555556,0.1111111111111111,0.15217391304347827,0.1864406779661017,0.21428571428571427,0.22593559467919325,0.13450975280852231,1.0,0.19047619047619047,0.15217391304347827,0.1864406779661017,0.21428571428571427
Protocatechuic Acid,Protocatechuic Acid,0.14742055186612932,0.08134590599938374,0.6571428571428571,0.140625,0.19607843137254902,0.24390243902439024,0.2978723404255319,0.12266955352845343,0.06620992413594007,0.5813953488372093,0.11764705882352941,0.16176470588235295,0.2,0.2459016393442623,0.12051105061638788,0.06552026816330993,0.5813953488372093,0.11428571428571428,0.1591567852437417,0.19642857142857142,0.2455478318437604,0.25150332186571855,0.11423255615573584,1.0,0.22857142857142856,0.1591567852437417,0.19642857142857142,0.2455478318437604
