,name,Morgan radius 2 tversky similarity average,Morgan radius 2 tversky similarity std,Morgan radius 2 tversky similarity max,Morgan radius 2 tversky similarity median,Morgan radius 2 tversky similarity percentile 80,Morgan radius 2 tversky similarity percentile 90,Morgan radius 2 tversky similarity percentile 95,Morgan radius 3 tversky similarity average,Morgan radius 3 tversky similarity std,Morgan radius 3 tversky similarity max,Morgan radius 3 tversky similarity median,Morgan radius 3 tversky similarity percentile 80,Morgan radius 3 tversky similarity percentile 90,Morgan radius 3 tversky similarity percentile 95,Morgan radius 4 tversky similarity average,Morgan radius 4 tversky similarity std,Morgan radius 4 tversky similarity max,Morgan radius 4 tversky similarity median,Morgan radius 4 tversky similarity percentile 80,Morgan radius 4 tversky similarity percentile 90,Morgan radius 4 tversky similarity percentile 95,custom fingerprint tversky similarity average,custom fingerprint tversky similarity std,custom fingerprint tversky similarity max,custom fingerprint tversky similarity median,custom fingerprint tversky similarity percentile 80,custom fingerprint tversky similarity percentile 90,custom fingerprint tversky similarity percentile 95
"2-(Acetyloxy)-3-carboxy-N,N,N-trimethylpropan-1-aminium","2-(Acetyloxy)-3-carboxy-N,N,N-trimethylpropan-1-aminium",0.08739593417231364,0.07092992285241727,0.5142857142857142,0.05714285714285714,0.14285714285714285,0.2,0.22857142857142856,0.08099386898999678,0.06402165924265794,0.46153846153846156,0.07692307692307693,0.1282051282051282,0.1794871794871795,0.20512820512820512,0.08151016456921588,0.06410797476069066,0.46153846153846156,0.07692307692307693,0.1282051282051282,0.1794871794871795,0.20512820512820512,0.27028073572120037,0.12142115303878084,0.8,0.25,0.1282051282051282,0.1794871794871795,0.20512820512820512
1-Amino-2-propanol,1-Amino-2-propanol,0.1286632051394878,0.08849375810590589,0.6363636363636364,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.13162017072956084,0.08906146744088313,0.6363636363636364,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.1325178209979759,0.08933788380552146,0.6363636363636364,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.47378993223620525,0.17881774649639137,1.0,0.5,0.18181818181818182,0.2727272727272727,0.2727272727272727
"1-Chloro-2,4-Dinitrobenzene","1-Chloro-2,4-Dinitrobenzene",0.206520129833153,0.13185743368429176,0.8529411764705882,0.20588235294117646,0.2647058823529412,0.3235294117647059,0.5,0.17769603097773473,0.11299674263793255,0.75,0.175,0.225,0.275,0.425,0.1739144806743324,0.11047300069972515,0.7317073170731707,0.17073170731707318,0.24390243902439024,0.2926829268292683,0.4146341463414634,0.4091965150048403,0.1542134391857486,1.0,0.3888888888888889,0.24390243902439024,0.2926829268292683,0.4146341463414634
9-Ethyladenine,9-Ethyladenine,0.17850919651500485,0.08835118147571236,0.7647058823529411,0.17647058823529413,0.23529411764705882,0.29411764705882354,0.3235294117647059,0.14427609806614286,0.07167106795960725,0.6744186046511628,0.13953488372093023,0.18604651162790697,0.23255813953488372,0.2558139534883721,0.13862536302032913,0.06889682450334106,0.6444444444444445,0.13333333333333333,0.17777777777777778,0.2222222222222222,0.24444444444444444,0.39045298260840533,0.18776207590960714,0.9655172413793104,0.3793103448275862,0.17777777777777778,0.2222222222222222,0.24444444444444444
"2,3-Dihydroxybenzoic Acid","2,3-Dihydroxybenzoic Acid",0.27136896217912343,0.13901608469869559,1.0,0.27586206896551724,0.3793103448275862,0.4482758620689655,0.5172413793103449,0.23389898069586013,0.11935114740790247,1.0,0.23529411764705882,0.3235294117647059,0.38235294117647056,0.4411764705882353,0.23430328568988099,0.11958859907236367,1.0,0.23529411764705882,0.3235294117647059,0.38235294117647056,0.4411764705882353,0.37136403448116906,0.1384872134925474,1.0,0.38095238095238093,0.3235294117647059,0.38235294117647056,0.4411764705882353
2-Chloroethanol,2-Chloroethanol,0.07718618909325589,0.0796101489891247,1.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.08000430246316018,0.08085650507477028,1.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.08064967193718403,0.08148408047410806,1.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.3873046604895588,0.1490300925501314,1.0,0.42857142857142855,0.1111111111111111,0.2222222222222222,0.2222222222222222
Tartronic acid,Tartronic acid,0.10510011718550977,0.13004290236324917,0.7894736842105263,0.05263157894736842,0.21052631578947367,0.2631578947368421,0.3684210526315789,0.10679166454374077,0.1301618163224021,0.7894736842105263,0.05263157894736842,0.21052631578947367,0.2631578947368421,0.3684210526315789,0.10712793600652162,0.1301965721816181,0.7894736842105263,0.05263157894736842,0.21052631578947367,0.2631578947368421,0.3684210526315789,0.28259653651715605,0.15179055425149526,1.0,0.2777777777777778,0.21052631578947367,0.2631578947368421,0.3684210526315789
2-Oxobutanoic Acid,2-Oxobutanoic Acid,0.15361311998177782,0.13144711771289447,1.0,0.11764705882352941,0.29411764705882354,0.35294117647058826,0.4117647058823529,0.15509367348100905,0.1312935131656804,1.0,0.11764705882352941,0.29411764705882354,0.35294117647058826,0.4117647058823529,0.15557200614999145,0.13135010042227624,1.0,0.11764705882352941,0.29411764705882354,0.35294117647058826,0.4117647058823529,0.31481122942884804,0.16661495927444692,1.0,0.23076923076923078,0.29411764705882354,0.35294117647058826,0.4117647058823529
2-Phosphoglyceric Acid,2-Phosphoglyceric Acid,0.08333154064034994,0.08967111344634385,0.48148148148148145,0.037037037037037035,0.14814814814814814,0.2222222222222222,0.2962962962962963,0.08287235513760198,0.08641483965869247,0.4642857142857143,0.03571428571428571,0.17857142857142858,0.21428571428571427,0.2857142857142857,0.08330106485963212,0.08653695526627851,0.4642857142857143,0.03571428571428571,0.17857142857142858,0.21428571428571427,0.2857142857142857,0.2662633107454017,0.13717441917983655,0.9,0.25,0.17857142857142858,0.21428571428571427,0.2857142857142857
"2,5-Dichlorophenol","2,5-Dichlorophenol",0.275621168118748,0.14368760025127097,0.8333333333333334,0.2916666666666667,0.375,0.4583333333333333,0.5,0.23930991564099016,0.12453882728061748,0.7142857142857143,0.25,0.32142857142857145,0.39285714285714285,0.42857142857142855,0.2397939427465081,0.12485268406531332,0.7142857142857143,0.25,0.32142857142857145,0.39285714285714285,0.42857142857142855,0.4576784299920796,0.18515751370007666,1.0,0.45454545454545453,0.32142857142857145,0.39285714285714285,0.42857142857142855
Protocatechuic Acid,Protocatechuic Acid,0.2644991153987382,0.1325563889956863,0.7931034482758621,0.27586206896551724,0.3448275862068966,0.4482758620689655,0.4827586206896552,0.22869426570240875,0.11448905245942541,0.7352941176470589,0.23529411764705882,0.3235294117647059,0.38235294117647056,0.4411764705882353,0.22917829280792662,0.11478398966399177,0.7352941176470589,0.23529411764705882,0.3235294117647059,0.38235294117647056,0.4411764705882353,0.3665883003733923,0.13702349509765743,1.0,0.3333333333333333,0.3235294117647059,0.38235294117647056,0.4411764705882353
