,name,Morgan radius 2 tversky similarity average,Morgan radius 2 tversky similarity std,Morgan radius 2 tversky similarity max,Morgan radius 2 tversky similarity median,Morgan radius 2 tversky similarity percentile 80,Morgan radius 2 tversky similarity percentile 90,Morgan radius 2 tversky similarity percentile 95,Morgan radius 3 tversky similarity average,Morgan radius 3 tversky similarity std,Morgan radius 3 tversky similarity max,Morgan radius 3 tversky similarity median,Morgan radius 3 tversky similarity percentile 80,Morgan radius 3 tversky similarity percentile 90,Morgan radius 3 tversky similarity percentile 95,Morgan radius 4 tversky similarity average,Morgan radius 4 tversky similarity std,Morgan radius 4 tversky similarity max,Morgan radius 4 tversky similarity median,Morgan radius 4 tversky similarity percentile 80,Morgan radius 4 tversky similarity percentile 90,Morgan radius 4 tversky similarity percentile 95,custom fingerprint tversky similarity average,custom fingerprint tversky similarity std,custom fingerprint tversky similarity max,custom fingerprint tversky similarity median,custom fingerprint tversky similarity percentile 80,custom fingerprint tversky similarity percentile 90,custom fingerprint tversky similarity percentile 95
"2-(Acetyloxy)-3-carboxy-N,N,N-trimethylpropan-1-aminium","2-(Acetyloxy)-3-carboxy-N,N,N-trimethylpropan-1-aminium",0.10892223629835947,0.1067731015474963,0.875,0.08,0.16666666666666666,0.23529411764705882,0.3333333333333333,0.09920158092723727,0.10301051488504777,0.875,0.06976744186046512,0.15,0.21428571428571427,0.32142857142857145,0.0978147047591356,0.10289743114933024,0.875,0.06896551724137931,0.14705882352941177,0.21212121212121213,0.32142857142857145,0.3172599824449606,0.1569624266579852,1.0,0.2857142857142857,0.14705882352941177,0.21212121212121213,0.32142857142857145
1-Amino-2-propanol,1-Amino-2-propanol,0.05360921025506118,0.05647590874890441,0.6666666666666666,0.04,0.07142857142857142,0.1,0.15,0.0483767053685085,0.05562928446833245,0.6666666666666666,0.03571428571428571,0.06382978723404255,0.09090909090909091,0.13793103448275862,0.04780081886393417,0.055699036647033656,0.6666666666666666,0.034482758620689655,0.0625,0.09090909090909091,0.13793103448275862,0.23077002555479473,0.12949267256078367,1.0,0.20588235294117646,0.0625,0.09090909090909091,0.13793103448275862
"1-Chloro-2,4-Dinitrobenzene","1-Chloro-2,4-Dinitrobenzene",0.21665472067469438,0.12327158276651226,0.8235294117647058,0.20833333333333334,0.2926829268292683,0.36363636363636365,0.45161290322580644,0.18469147988256515,0.10601499131645813,0.725,0.17647058823529413,0.25,0.3157894736842105,0.3877551020408163,0.18022618132850018,0.10459668957284302,0.7073170731707317,0.17073170731707318,0.24444444444444444,0.30589569160997754,0.3783783783783784,0.42185198983409167,0.14869697698601828,1.0,0.4090909090909091,0.24444444444444444,0.30589569160997754,0.3783783783783784
9-Ethyladenine,9-Ethyladenine,0.19680618886166196,0.09571881500640772,0.8387096774193549,0.1891891891891892,0.2631578947368421,0.3125,0.36363636363636365,0.16913637313692864,0.08135507473739186,0.7435897435897436,0.16129032258064516,0.22727272727272727,0.2727272727272727,0.3179600886917962,0.1655231677597256,0.08066330229800135,0.7073170731707317,0.15789473684210525,0.22580645161290322,0.2708333333333333,0.3111111111111111,0.6154924639951367,0.18880862953520386,1.0,0.625,0.22580645161290322,0.2708333333333333,0.3111111111111111
"2,3-Dihydroxybenzoic Acid","2,3-Dihydroxybenzoic Acid",0.25007916843715744,0.12126640255679459,1.0,0.24444444444444444,0.3333333333333333,0.4074074074074074,0.46875,0.21414233896838716,0.10598587168126043,1.0,0.20512820512820512,0.2857142857142857,0.35135135135135137,0.4117647058823529,0.20924075136112788,0.10618361494374655,1.0,0.2,0.28205128205128205,0.34615384615384615,0.4085227272727278,0.4556625910143525,0.1829141856391052,1.0,0.42105263157894735,0.28205128205128205,0.34615384615384615,0.4085227272727278
2-Chloroethanol,2-Chloroethanol,0.026501625476848336,0.040240101661626795,1.0,0.023809523809523808,0.04,0.058823529411764705,0.08333333333333333,0.024268383407258506,0.03922677865468037,1.0,0.0196078431372549,0.03571428571428571,0.05263157894736842,0.07692307692307693,0.024003793336232405,0.039208020795279325,1.0,0.018867924528301886,0.03571428571428571,0.05263157894736842,0.07692307692307693,0.17129993909114205,0.11047041879155906,1.0,0.14285714285714285,0.03571428571428571,0.05263157894736842,0.07692307692307693
Tartronic acid,Tartronic acid,0.06943950465655295,0.09716279119351173,0.7692307692307693,0.034482758620689655,0.11538461538461539,0.19230769230769232,0.2727272727272727,0.0626411261458635,0.09179877903628882,0.7692307692307693,0.029411764705882353,0.1,0.17456521739130473,0.2599777034559651,0.06167999357585891,0.09148958202436934,0.7692307692307693,0.028985507246376812,0.0967741935483871,0.16992426974395985,0.25,0.2987163486203915,0.17699356824090676,1.0,0.25,0.0967741935483871,0.16992426974395985,0.25
2-Oxobutanoic Acid,2-Oxobutanoic Acid,0.09225814493132067,0.09419201026373253,1.0,0.06060606060606061,0.14285714285714285,0.2089147286821709,0.2777777777777778,0.08249396666732914,0.09055633472785769,1.0,0.05172413793103448,0.125,0.19047619047619047,0.2631578947368421,0.08119705893144553,0.09047137740187532,1.0,0.05,0.12205077152812335,0.1891891891891892,0.2631578947368421,0.2473956337867445,0.15571722763110005,1.0,0.2,0.12205077152812335,0.1891891891891892,0.2631578947368421
2-Phosphoglyceric Acid,2-Phosphoglyceric Acid,0.08015966703662535,0.10214459812811355,0.7692307692307693,0.041666666666666664,0.13333333333333333,0.20833333333333334,0.28125,0.07330758520864679,0.09749148109555612,0.7692307692307693,0.04,0.11556350626118052,0.19230769230769232,0.2727272727272727,0.0722803004111464,0.09728958172947966,0.7692307692307693,0.038461538461538464,0.11376623376623364,0.19047619047619047,0.27202797202797263,0.30811035893191074,0.17037604795638703,1.0,0.2727272727272727,0.11376623376623364,0.19047619047619047,0.27202797202797263
"2,5-Dichlorophenol","2,5-Dichlorophenol",0.20782642728682518,0.10627557110239257,0.8333333333333334,0.20689655172413793,0.28125,0.3333333333333333,0.38461538461538464,0.17655889282493342,0.09009432444622843,0.7142857142857143,0.175,0.24,0.28205128205128205,0.32432432432432434,0.1722721706638638,0.08999042300369195,0.7142857142857143,0.16923076923076924,0.23809523809523808,0.28,0.3235294117647059,0.3037549992285227,0.1602691463264128,1.0,0.26666666666666666,0.23809523809523808,0.28,0.3235294117647059
Protocatechuic Acid,Protocatechuic Acid,0.24434306382210177,0.11664004234351988,0.7931034482758621,0.23529411764705882,0.3235294117647059,0.38461538461538464,0.45454545454545453,0.20984729724857729,0.10284452247097653,0.7352941176470589,0.2,0.28,0.3333333333333333,0.4,0.2050739576634188,0.10301926010569558,0.7352941176470589,0.1935483870967742,0.27586206896551724,0.3333333333333333,0.4,0.45027278301850837,0.1818839469661739,1.0,0.4117647058823529,0.27586206896551724,0.3333333333333333,0.4
3-Cyanopyridine,3-Cyanopyridine,0.16759297816639354,0.1044871966879332,1.0,0.17073170731707318,0.2413793103448276,0.2857142857142857,0.3333333333333333,0.14226675003404066,0.09113779317145282,1.0,0.14285714285714285,0.20588235294117646,0.2413793103448276,0.28205128205128205,0.1389805382700682,0.0909425753282731,1.0,0.13846153846153847,0.2,0.2413793103448276,0.28,0.36472032749969546,0.16605893911451206,1.0,0.3333333333333333,0.2,0.2413793103448276,0.28
