,name,Morgan radius 2 tanimoto similarity average,Morgan radius 2 tanimoto similarity std,Morgan radius 2 tanimoto similarity max,Morgan radius 2 tanimoto similarity median,Morgan radius 2 tanimoto similarity percentile 80,Morgan radius 2 tanimoto similarity percentile 90,Morgan radius 2 tanimoto similarity percentile 95,Morgan radius 3 tanimoto similarity average,Morgan radius 3 tanimoto similarity std,Morgan radius 3 tanimoto similarity max,Morgan radius 3 tanimoto similarity median,Morgan radius 3 tanimoto similarity percentile 80,Morgan radius 3 tanimoto similarity percentile 90,Morgan radius 3 tanimoto similarity percentile 95,Morgan radius 4 tanimoto similarity average,Morgan radius 4 tanimoto similarity std,Morgan radius 4 tanimoto similarity max,Morgan radius 4 tanimoto similarity median,Morgan radius 4 tanimoto similarity percentile 80,Morgan radius 4 tanimoto similarity percentile 90,Morgan radius 4 tanimoto similarity percentile 95,custom fingerprint tanimoto similarity average,custom fingerprint tanimoto similarity std,custom fingerprint tanimoto similarity max,custom fingerprint tanimoto similarity median
sm11-1,sm11-1,0.17481730413075125,0.04668876941609229,0.3103448275862069,0.16472868217054265,0.21666666666666667,0.2361111111111111,0.2671605603448275,0.14252816643201466,0.03712596256472083,0.24,0.13089675122385402,0.17559759827801066,0.19222222222222218,0.21395833333333325,0.13267254227385705,0.03679446303499047,0.24050632911392406,0.12092343140730238,0.16668331668331673,0.18501792917974003,0.20058252427184464,0.4128431369698193,0.11003635568155859,0.75,0.3934468524251806
sm11-2,sm11-2,0.22174798108925298,0.0761574230254427,0.4576271186440678,0.21806526806526805,0.28843650463924664,0.315556831228473,0.33949999999999997,0.17958037943247496,0.06361966610593675,0.4189189189189189,0.1771031701579478,0.23187830687830688,0.2624879149210441,0.28162118780096307,0.16560445387879455,0.05667832782379644,0.3780487804878049,0.16417112299465242,0.20913978494623658,0.23570478723404253,0.25216450216450215,0.46169255877972126,0.08771478760989591,0.782608695652174,0.44281045751633985
sm11-3,sm11-3,0.19817910426265703,0.07284146468598936,0.6153846153846154,0.19478852806606406,0.2485507246376812,0.2678117485400206,0.2970149253731342,0.16080404633207135,0.06263290106458616,0.5873015873015873,0.15765107212475632,0.19591792888602427,0.21277056277056278,0.23106572481572477,0.14729154530357957,0.057085240723184945,0.5428571428571428,0.14456738086875073,0.1783805031446541,0.19417262231995602,0.2108692885325187,0.4067809374425022,0.07803018814210985,0.6521739130434783,0.39379699248120303
sm11-4,sm11-4,0.09959246925060873,0.037828149765785246,0.25,0.09549006838163465,0.12619047619047621,0.14363636363636362,0.15627705627705624,0.08337202309911886,0.031136962242981247,0.20512820512820512,0.08108108108108109,0.10465116279069768,0.12080905423576871,0.1288509316770186,0.07895526184894462,0.02913770544767191,0.18681318681318682,0.07613871635610767,0.09901989901989902,0.11600408788962698,0.1258152173913043,0.30879551657350346,0.09465642626018975,0.5714285714285714,0.2838827838827839
sm11-5,sm11-5,0.16387341064271052,0.057313527362295565,0.46511627906976744,0.1512292738707833,0.19427860696517413,0.2164349376114082,0.22957393483709262,0.13550662775296507,0.048217121275519095,0.38461538461538464,0.12658227848101267,0.16270499355076473,0.1766939687267312,0.19134615384615383,0.12710047131519162,0.04526087194501196,0.35714285714285715,0.11861471861471862,0.15662337662337664,0.16839080459770114,0.1788690476190476,0.29160812152918264,0.08157618070456361,0.6086956521739131,0.274294670846395
sm11-6,sm11-6,0.17844005835821627,0.06272698542264461,0.5384615384615384,0.16455696202531644,0.21190476190476196,0.2571428571428571,0.28583333333333316,0.14294216402209406,0.05004409377222198,0.42028985507246375,0.12832274758880263,0.17456521739130434,0.20490636704119847,0.2313390313390313,0.13240971096075257,0.04650761107631668,0.38666666666666666,0.11952380952380952,0.1591578947368421,0.18584415584415584,0.21790713554114033,0.3521513322586775,0.10984951919457796,1.0,0.3333333333333333
sm11-7,sm11-7,0.16393967640789694,0.04124496186019308,0.3103448275862069,0.15881374722838137,0.18880763116057234,0.22418458117123796,0.2544444444444444,0.13357383754412225,0.03236605045292509,0.2465753424657534,0.12701662943658476,0.15229813664596276,0.17724358974358975,0.2026793431287813,0.12345716979753066,0.029680692669922945,0.22784810126582278,0.11787864752200092,0.1407697057007615,0.16089108910891087,0.18596725288053365,0.4026769977560986,0.09719093967087136,0.7727272727272727,0.3786764705882353
sm11-8,sm11-8,0.2298219078225055,0.07672691522589198,0.4117647058823529,0.23923192771084337,0.29822926374650516,0.3233064516129032,0.34407894736842093,0.18782691741847565,0.06233612052471364,0.31868131868131866,0.1935448336638026,0.2377025036818851,0.26484794275491946,0.28363534466654206,0.1709440896628146,0.0549993095643424,0.297029702970297,0.17543859649122806,0.21882465360726233,0.2382684426229508,0.25278128950695317,0.368290842017733,0.08548003948795448,0.5833333333333334,0.3699248120300752
sm11-9,sm11-9,0.15195159165720487,0.04748290379662993,0.3235294117647059,0.1421832884097035,0.18947960618846696,0.21352272727272725,0.23367088607594902,0.12784243594114578,0.04066894082497164,0.3,0.12053001277139208,0.15505955359823842,0.17740923352756607,0.2018913720461621,0.11722826172846357,0.03660809891698213,0.26666666666666666,0.10980561023622047,0.14115409931982742,0.16246728971962615,0.17784743991640525,0.38439026376577207,0.10193992522641167,0.75,0.3732142857142857
sm11-10,sm11-10,0.13905409798722218,0.05038430041196914,0.28169014084507044,0.13333333333333333,0.1825864276568502,0.21165413533834584,0.23620689655172408,0.11452798985292933,0.04093040401395752,0.22727272727272727,0.1077458843393837,0.15018107384663834,0.17521802325581395,0.18891205082390308,0.10755868717191024,0.038103858145124264,0.20833333333333334,0.10300618921308577,0.13990672884743505,0.1627198302001213,0.1820102432778489,0.31743062224355,0.083788847258321,0.5666666666666667,0.3042929292929293
