,name,Morgan radius 2 tanimoto similarity average,Morgan radius 2 tanimoto similarity std,Morgan radius 2 tanimoto similarity max,Morgan radius 2 tanimoto similarity median,Morgan radius 2 tanimoto similarity percentile 80,Morgan radius 2 tanimoto similarity percentile 90,Morgan radius 2 tanimoto similarity percentile 95,Morgan radius 3 tanimoto similarity average,Morgan radius 3 tanimoto similarity std,Morgan radius 3 tanimoto similarity max,Morgan radius 3 tanimoto similarity median,Morgan radius 3 tanimoto similarity percentile 80,Morgan radius 3 tanimoto similarity percentile 90,Morgan radius 3 tanimoto similarity percentile 95,Morgan radius 4 tanimoto similarity average,Morgan radius 4 tanimoto similarity std,Morgan radius 4 tanimoto similarity max,Morgan radius 4 tanimoto similarity median,Morgan radius 4 tanimoto similarity percentile 80,Morgan radius 4 tanimoto similarity percentile 90,Morgan radius 4 tanimoto similarity percentile 95,custom fingerprint tanimoto similarity average,custom fingerprint tanimoto similarity std,custom fingerprint tanimoto similarity max,custom fingerprint tanimoto similarity median,custom fingerprint tanimoto similarity percentile 80,custom fingerprint tanimoto similarity percentile 90,custom fingerprint tanimoto similarity percentile 95
sm11-1,sm11-1,0.14461781772465848,0.05822116918883155,0.4444444444444444,0.14705882352941177,0.1864406779661017,0.21428571428571427,0.24125159642401034,0.1210193001103871,0.04753964877422598,0.37037037037037035,0.12162162162162163,0.15625,0.1780821917808219,0.2,0.11501937661485043,0.04501656208760026,0.3508771929824561,0.11627906976744186,0.14814814814814814,0.1684920165582496,0.189873417721519,0.3275035562873912,0.12476743585884771,0.8275862068965517,0.32142857142857145,0.14814814814814814,0.1684920165582496,0.189873417721519
sm11-2,sm11-2,0.14326108130166104,0.08599030499713628,0.5,0.1282051282051282,0.22058823529411764,0.2676056338028169,0.3021779254337395,0.11677594324373733,0.06985833679213699,0.45454545454545453,0.10465116279069768,0.17567567567567569,0.21400832177531232,0.25,0.10984533621245983,0.06433721698171842,0.4069767441860465,0.0989010989010989,0.16483516483516483,0.2,0.23076923076923078,0.34798475126415995,0.11019515643397872,0.8260869565217391,0.3448275862068966,0.16483516483516483,0.2,0.23076923076923078
sm11-3,sm11-3,0.14553409765930506,0.09226277046547299,0.6808510638297872,0.1368421052631579,0.22807017543859648,0.26865671641791045,0.3,0.11916993669762697,0.07406792199078255,0.6379310344827587,0.11304347826086956,0.18181818181818182,0.21333333333333335,0.24050632911392406,0.11159126854861258,0.0685243195617485,0.59375,0.10714285714285714,0.17105263157894737,0.19767441860465115,0.2235294117647059,0.3310387126077195,0.1372852655205698,1.0,0.3181818181818182,0.17105263157894737,0.19767441860465115,0.2235294117647059
sm11-4,sm11-4,0.10601697097649807,0.05277842039929292,0.5,0.1044776119402985,0.14285714285714285,0.16666666666666666,0.1956521739130435,0.09049235415115567,0.044772809900762614,0.45,0.08888888888888889,0.12,0.14285714285714285,0.16627450980392192,0.08903548639361847,0.044478772513882166,0.45,0.08695652173913043,0.11846565566458514,0.14285714285714285,0.16326530612244897,0.32460194451959706,0.15787850605200862,1.0,0.2916666666666667,0.11846565566458514,0.14285714285714285,0.16326530612244897
sm11-5,sm11-5,0.13111911423655034,0.07132225338237551,0.7142857142857143,0.12962962962962962,0.1864406779661017,0.21852272727272748,0.24,0.11105450451706173,0.05955999404048011,0.6585365853658537,0.109375,0.15517241379310345,0.18292682926829268,0.20408163265306123,0.10765698447300566,0.057886917270340996,0.627906976744186,0.10526315789473684,0.1506849315068493,0.1774193548387097,0.2,0.2595887917317581,0.10273757900208107,0.7777777777777778,0.25,0.1506849315068493,0.1774193548387097,0.2
sm11-6,sm11-6,0.14472102691132602,0.06156418538635874,0.45652173913043476,0.14084507042253522,0.18333333333333332,0.21818181818181817,0.25,0.11848806788764146,0.04951801332273414,0.35,0.11494252873563218,0.1518987341772152,0.1774193548387097,0.20588235294117646,0.11232591754666715,0.04669595156075624,0.3333333333333333,0.109375,0.14285714285714285,0.16842105263157894,0.1917808219178082,0.28819461077878067,0.08819841345127427,0.6923076923076923,0.275,0.14285714285714285,0.16842105263157894,0.1917808219178082
sm11-7,sm11-7,0.1286612221469375,0.06881514943550786,0.43137254901960786,0.1346153846153846,0.18461538461538463,0.20689655172413793,0.23214285714285715,0.10849266825503387,0.05633245933305716,0.38095238095238093,0.11428571428571428,0.1527777777777778,0.17142857142857143,0.19318181818181818,0.10272351209330724,0.0528066832536226,0.34782608695652173,0.10869565217391304,0.14457831325301204,0.16216216216216217,0.18085106382978725,0.33052328476664183,0.12046267749295637,0.8636363636363636,0.32142857142857145,0.14457831325301204,0.16216216216216217,0.18085106382978725
sm11-8,sm11-8,0.14172070423733552,0.08950494568722311,0.6428571428571429,0.12307692307692308,0.22058823529411764,0.26865671641791045,0.3050847457627119,0.11590505302108352,0.07125202203332578,0.5342465753424658,0.1,0.17721518987341772,0.21649484536082475,0.24684593269068159,0.10748650852680759,0.06488439942215832,0.46987951807228917,0.09375,0.16483516483516483,0.1981642019377869,0.22549019607843138,0.26569594780647215,0.11015627541872226,0.9130434782608695,0.24242424242424243,0.16483516483516483,0.1981642019377869,0.22549019607843138
sm11-9,sm11-9,0.11622919838197315,0.0490215520397143,0.4444444444444444,0.1125,0.15,0.1780821917808219,0.20238095238095238,0.10043947183569771,0.041248498002798714,0.38666666666666666,0.0967741935483871,0.1282051282051282,0.1511627906976744,0.1724137931034483,0.09282137906710498,0.0377499964635327,0.3493975903614458,0.08928571428571429,0.11864406779661017,0.13978494623655913,0.15904842820730675,0.2910478425308899,0.08845811363755514,0.6666666666666666,0.28125,0.11864406779661017,0.13978494623655913,0.15904842820730675
sm11-10,sm11-10,0.12719621335874917,0.06250396816298336,0.5348837209302325,0.11864406779661017,0.16666666666666666,0.20689655172413793,0.24125159642401034,0.106668400872819,0.05077283377200441,0.41818181818181815,0.1,0.13846153846153847,0.17127819548872195,0.2,0.10361343627395644,0.049399827270981085,0.4107142857142857,0.09574468085106383,0.13432835820895522,0.16666666666666666,0.1947330447330448,0.2755077789127022,0.1278729957183262,0.9523809523809523,0.25,0.13432835820895522,0.16666666666666666,0.1947330447330448
