,name,Morgan radius 2 tversky similarity average,Morgan radius 2 tversky similarity std,Morgan radius 2 tversky similarity max,Morgan radius 2 tversky similarity median,Morgan radius 2 tversky similarity percentile 80,Morgan radius 2 tversky similarity percentile 90,Morgan radius 2 tversky similarity percentile 95,Morgan radius 3 tversky similarity average,Morgan radius 3 tversky similarity std,Morgan radius 3 tversky similarity max,Morgan radius 3 tversky similarity median,Morgan radius 3 tversky similarity percentile 80,Morgan radius 3 tversky similarity percentile 90,Morgan radius 3 tversky similarity percentile 95,Morgan radius 4 tversky similarity average,Morgan radius 4 tversky similarity std,Morgan radius 4 tversky similarity max,Morgan radius 4 tversky similarity median,Morgan radius 4 tversky similarity percentile 80,Morgan radius 4 tversky similarity percentile 90,Morgan radius 4 tversky similarity percentile 95,custom fingerprint tversky similarity average,custom fingerprint tversky similarity std,custom fingerprint tversky similarity max,custom fingerprint tversky similarity median,custom fingerprint tversky similarity percentile 80,custom fingerprint tversky similarity percentile 90,custom fingerprint tversky similarity percentile 95
sm11-1,sm11-1,0.22826718296224588,0.09165895358560498,0.5384615384615384,0.23076923076923078,0.3076923076923077,0.3333333333333333,0.38461538461538464,0.19729365714045202,0.07942495577656596,0.45652173913043476,0.1956521739130435,0.2608695652173913,0.30434782608695654,0.32608695652173914,0.1865144121540194,0.07522563807276393,0.42857142857142855,0.1836734693877551,0.24489795918367346,0.2857142857142857,0.30612244897959184,0.42708228460793807,0.16211891350481272,0.96,0.44,0.24489795918367346,0.2857142857142857,0.30612244897959184
sm11-2,sm11-2,0.20709099709583736,0.12453177920987925,0.6458333333333334,0.1875,0.3125,0.3958333333333333,0.4375,0.17285510361461598,0.10653162648945091,0.5932203389830508,0.15254237288135594,0.2542372881355932,0.3220338983050847,0.3728813559322034,0.16152287028073573,0.09891603048518183,0.546875,0.140625,0.234375,0.3125,0.359375,0.470597553462994,0.14358377019218535,0.9545454545454546,0.5,0.234375,0.3125,0.359375
sm11-3,sm11-3,0.22335607867211293,0.13994049082050192,0.7804878048780488,0.21951219512195122,0.34146341463414637,0.43902439024390244,0.4634146341463415,0.19011399332240156,0.11987791285153605,0.7551020408163265,0.1836734693877551,0.30612244897959184,0.3673469387755102,0.40816326530612246,0.17676304590038172,0.11136538893506139,0.7169811320754716,0.16981132075471697,0.2830188679245283,0.33962264150943394,0.37735849056603776,0.5069984625021354,0.18268051893884715,1.0,0.5294117647058824,0.2830188679245283,0.33962264150943394,0.37735849056603776
sm11-4,sm11-4,0.19694896017625263,0.08893686506630362,0.6551724137931034,0.20689655172413793,0.27586206896551724,0.3103448275862069,0.3448275862068966,0.17565783683886296,0.07935352974969331,0.5757575757575758,0.18181818181818182,0.24242424242424243,0.2727272727272727,0.30303030303030304,0.17614479744199008,0.07963467057407701,0.5757575757575758,0.18181818181818182,0.24242424242424243,0.2727272727272727,0.30303030303030304,0.5305066150371087,0.22339016048030522,1.0,0.5333333333333333,0.24242424242424243,0.2727272727272727,0.30303030303030304
sm11-5,sm11-5,0.23581155211358504,0.1225727671033714,0.8333333333333334,0.23333333333333334,0.3333333333333333,0.4,0.43333333333333335,0.21036956893115424,0.10925738746947185,0.7941176470588235,0.20588235294117646,0.3235294117647059,0.35294117647058826,0.38235294117647056,0.20536025445996406,0.10690391054794203,0.7714285714285715,0.2,0.3142857142857143,0.34285714285714286,0.37142857142857144,0.4286302032913843,0.13895095744431724,0.875,0.4375,0.3142857142857143,0.34285714285714286,0.37142857142857144
sm11-6,sm11-6,0.23153818719111427,0.09756399577416196,0.631578947368421,0.23684210526315788,0.2894736842105263,0.3684210526315789,0.39473684210526316,0.19221025313587775,0.08203510102133986,0.5319148936170213,0.19148936170212766,0.2553191489361702,0.2978723404255319,0.3404255319148936,0.18147144240077442,0.07759703919181912,0.5,0.18,0.24,0.28,0.32,0.40037038595900504,0.11883155010146301,0.8695652173913043,0.391304347826087,0.24,0.28,0.32
sm11-7,sm11-7,0.20942069598002752,0.11375647734669303,0.6052631578947368,0.21052631578947367,0.3157894736842105,0.34210526315789475,0.39473684210526316,0.18266537592771862,0.09881452668499355,0.5555555555555556,0.17777777777777778,0.26666666666666666,0.3111111111111111,0.3333333333333333,0.17220070990642142,0.09314854937549957,0.5208333333333334,0.16666666666666666,0.25,0.2916666666666667,0.3333333333333333,0.4613008804683539,0.16061241649748556,0.9523809523809523,0.42857142857142855,0.25,0.2916666666666667,0.3333333333333333
sm11-8,sm11-8,0.20258411205721402,0.12615423506148862,0.7551020408163265,0.1836734693877551,0.30612244897959184,0.3673469387755102,0.4489795918367347,0.17012262020006455,0.10636739044625733,0.65,0.15,0.26666666666666666,0.31666666666666665,0.38333333333333336,0.15610900877115785,0.09718323985884858,0.5909090909090909,0.13636363636363635,0.24242424242424243,0.2878787878787879,0.3484848484848485,0.37967966206107545,0.1413992455395827,0.9545454545454546,0.36363636363636365,0.24242424242424243,0.2878787878787879,0.3484848484848485
sm11-9,sm11-9,0.16209643178614497,0.06865193905484387,0.5964912280701754,0.15789473684210525,0.21052631578947367,0.24561403508771928,0.2807017543859649,0.1441872744873713,0.06033847303767412,0.5151515151515151,0.13636363636363635,0.19696969696969696,0.22727272727272727,0.24242424242424243,0.13140341338567013,0.05506606505050992,0.4657534246575342,0.1232876712328767,0.1780821917808219,0.2054794520547945,0.2328767123287671,0.38401221237620076,0.11642336528270651,0.8846153846153846,0.38461538461538464,0.1780821917808219,0.2054794520547945,0.2328767123287671
sm11-10,sm11-10,0.21513581231137177,0.09800748469364856,0.7058823529411765,0.20588235294117646,0.29411764705882354,0.35294117647058826,0.38235294117647056,0.18595837366892545,0.08409130018476664,0.6,0.175,0.25,0.3,0.325,0.1821264137133143,0.0823528208973132,0.5853658536585366,0.17073170731707318,0.24390243902439024,0.2926829268292683,0.3170731707317073,0.391499562070714,0.14510079792103775,0.9523809523809523,0.38095238095238093,0.24390243902439024,0.2926829268292683,0.3170731707317073
