,name,Morgan radius 2 tversky similarity average,Morgan radius 2 tversky similarity std,Morgan radius 2 tversky similarity max,Morgan radius 2 tversky similarity median,Morgan radius 2 tversky similarity percentile 80,Morgan radius 2 tversky similarity percentile 90,Morgan radius 2 tversky similarity percentile 95,Morgan radius 3 tversky similarity average,Morgan radius 3 tversky similarity std,Morgan radius 3 tversky similarity max,Morgan radius 3 tversky similarity median,Morgan radius 3 tversky similarity percentile 80,Morgan radius 3 tversky similarity percentile 90,Morgan radius 3 tversky similarity percentile 95,Morgan radius 4 tversky similarity average,Morgan radius 4 tversky similarity std,Morgan radius 4 tversky similarity max,Morgan radius 4 tversky similarity median,Morgan radius 4 tversky similarity percentile 80,Morgan radius 4 tversky similarity percentile 90,Morgan radius 4 tversky similarity percentile 95,custom fingerprint tversky similarity average,custom fingerprint tversky similarity std,custom fingerprint tversky similarity max,custom fingerprint tversky similarity median,custom fingerprint tversky similarity percentile 80,custom fingerprint tversky similarity percentile 90,custom fingerprint tversky similarity percentile 95
sm11-1,sm11-1,0.2856342547810651,0.10270365830003705,0.7727272727272727,0.28888888888888886,0.36363636363636365,0.4090909090909091,0.4566233766233771,0.2467201070047159,0.09146137729690149,0.75,0.24390243902439024,0.3181818181818182,0.36,0.4,0.2420238547138044,0.09232847878264819,0.75,0.2391304347826087,0.31274509803921546,0.35714285714285715,0.4,0.5941068541887634,0.16066270646674377,1.0,0.5833333333333334,0.31274509803921546,0.35714285714285715,0.4
sm11-2,sm11-2,0.30445534981790967,0.14204795668307615,0.782608695652174,0.30303030303030304,0.44,0.4827586206896552,0.53125,0.26242821551353546,0.12309404005177685,0.7272727272727273,0.2631578947368421,0.3695652173913043,0.41379310344827586,0.45714285714285713,0.25826035464825337,0.12025009698083984,0.7272727272727273,0.2571428571428571,0.3617021276595745,0.4060688405797103,0.45161290322580644,0.5916015612359401,0.15869705079594254,1.0,0.5882352941176471,0.3617021276595745,0.4060688405797103,0.45161290322580644
sm11-3,sm11-3,0.2786362857588701,0.14925951745918406,0.8421052631578947,0.2857142857142857,0.4090909090909091,0.4594594594594595,0.5,0.236444072476312,0.1257538587519888,0.8043478260869565,0.24528301886792453,0.34146341463414637,0.38461538461538464,0.4222222222222222,0.2307766249622831,0.12324213003698489,0.7755102040816326,0.2391304347826087,0.3333333333333333,0.3793103448275862,0.41364317841079473,0.49087569245635937,0.17000098834375632,1.0,0.47368421052631576,0.3333333333333333,0.3793103448275862,0.41364317841079473
sm11-4,sm11-4,0.18711920798740705,0.09101922432458444,0.7727272727272727,0.18181818181818182,0.25,0.2962962962962963,0.34375,0.16095538493484624,0.08157393229939658,0.72,0.15555555555555556,0.21428571428571427,0.26375372393247304,0.3,0.15747719595464937,0.08199272871360457,0.72,0.15,0.21428571428571427,0.25806451612903225,0.3,0.45207816750113283,0.169120870379986,1.0,0.42857142857142855,0.21428571428571427,0.25806451612903225,0.3
sm11-5,sm11-5,0.2253281402900075,0.10718960865488046,0.8333333333333334,0.2222222222222222,0.3103448275862069,0.35714285714285715,0.4074074074074074,0.1929038140698509,0.09346748776341324,0.7941176470588235,0.1891891891891892,0.2631578947368421,0.3142857142857143,0.35714285714285715,0.1888706901347591,0.09339796346008172,0.7714285714285715,0.18181818181818182,0.2571428571428571,0.3076923076923077,0.35714285714285715,0.4079410407702775,0.16331955749623656,1.0,0.38095238095238093,0.2571428571428571,0.3076923076923077,0.35714285714285715
sm11-6,sm11-6,0.2804855651384022,0.09986573994097334,0.75,0.2727272727272727,0.35,0.40540540540540543,0.4583333333333333,0.24376936688928114,0.08982699280860024,0.75,0.23529411764705882,0.3076923076923077,0.3548387096774194,0.4117647058823529,0.23840821884158125,0.09040445075487728,0.75,0.22857142857142856,0.30303030303030304,0.35294117647058826,0.4077806122448983,0.5304498537363628,0.14625575177613606,1.0,0.5263157894736842,0.30303030303030304,0.35294117647058826,0.4077806122448983
sm11-7,sm11-7,0.24521205264147924,0.1151133406230966,0.7272727272727273,0.25806451612903225,0.3333333333333333,0.375,0.41304347826086957,0.2120412817216263,0.09781678086749084,0.68,0.22413793103448276,0.2857142857142857,0.3225806451612903,0.35714285714285715,0.20698663785060648,0.09636562282504713,0.68,0.21428571428571427,0.28205128205128205,0.3181818181818182,0.3548387096774194,0.551367321513428,0.16267553651101424,1.0,0.55,0.28205128205128205,0.3181818181818182,0.3548387096774194
sm11-8,sm11-8,0.3043195805460665,0.15118128784884582,0.9,0.29411764705882354,0.4411764705882353,0.5,0.5508163265306124,0.2630198872547513,0.12850905099220697,0.8636363636363636,0.2553191489361702,0.375,0.42592592592592593,0.47368421052631576,0.25815658600636004,0.12574850340194269,0.8636363636363636,0.25,0.36363636363636365,0.4166666666666667,0.4634146341463415,0.4790318052157185,0.16779082491738334,1.0,0.45,0.36363636363636365,0.4166666666666667,0.4634146341463415
sm11-9,sm11-9,0.2965230949446766,0.10454576663237972,0.8666666666666667,0.2826086956521739,0.37037037037037035,0.42857142857142855,0.4827586206896552,0.26049428374672956,0.09707379582885284,0.8666666666666667,0.24390243902439024,0.3333333333333333,0.38680351906158383,0.44,0.25592308760395455,0.09819637241519936,0.8666666666666667,0.23809523809523808,0.32653061224489793,0.38461538461538464,0.44,0.5714200151001502,0.14800137236179803,1.0,0.5714285714285714,0.32653061224489793,0.38461538461538464,0.44
sm11-10,sm11-10,0.2380418109338453,0.10368033261820786,0.75,0.2222222222222222,0.3103448275862069,0.375,0.44,0.20625762088707977,0.09345446613810789,0.75,0.19047619047619047,0.2727272727272727,0.326150925486474,0.3870967741935484,0.2020485583651875,0.09403338653812009,0.75,0.18421052631578946,0.2702702702702703,0.32432432432432434,0.3870967741935484,0.4841550110274871,0.20117384048808376,1.0,0.4444444444444444,0.2702702702702703,0.32432432432432434,0.3870967741935484
